traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.7479730381125175e-05,0.0005973838673983564,2.31,65.85365853658537,-0.3745120820360594,18122567.97343493,0.24,2.25,1.68,2.25,,
13,5.943331156418806e-06,0.0010855413800371053,4.2,42.073170731707314,-1.1414736989273337,,0.6,3.54,2.85,3.54,3.66,3.84
39,1.8911825711556867e-05,0.0007035082914225808,2.37,62.19512195121951,-2.883696159962356,64761551.761020325,0.44999999999999996,2.2800000000000002,1.86,2.2800000000000002,,
49,8.691664007556349e-06,0.0002921026070654383,4.3500000000000005,60.36585365853659,-7.592590758136816,,0.24,3.66,1.8900000000000001,3.66,4.29,
57,5.8725670489618156e-05,0.0008804087258377282,4.5600000000000005,98.17073170731707,-3.9947454238488636,-93.50733318189147,0.06,0.21,0.15,0.21,3.7800000000000002,
58,5.1982190174314255e-06,0.0012847499766786355,4.47,45.73170731707317,-1.1598922986756948,,0.3,2.97,2.58,2.97,3.3000000000000003,3.75
104,7.762015567407177e-06,0.0007635272621836244,4.23,49.390243902439025,-1.842502506789516,,0.32999999999999996,2.88,2.37,2.88,3.42,
108,3.137316903925286e-05,0.0008373666390399494,2.25,70.73170731707317,0.24469599662355485,1609894.6296809842,0.15,1.86,1.3800000000000001,1.86,,
112,8.899164310411637e-06,0.00028582304032297634,3.75,56.707317073170735,-1.7910090063107906,57261655.92258343,0.18,2.46,2.04,2.46,,
136,2.0724169389511464e-05,0.0006628449708937893,2.31,62.80487804878049,-0.7133453382183133,12110141.835806383,0.18,2.22,1.56,2.22,,
179,3.264987955463657e-05,0.0008911437370828189,2.25,70.73170731707317,0.4692365706279184,1380013.212969622,0.15,1.92,1.44,1.92,,
183,8.781087283652182e-06,0.00045082278939834967,4.3500000000000005,51.829268292682926,-11.475272492553152,2322640955.493229,0.3,3.96,2.16,3.96,4.23,
189,9.18914164241479e-05,0.0013633343521911154,4.5600000000000005,98.17073170731707,7.034066070546399,-85.34595805366438,0.06,0.21,0.15,0.21,4.0200000000000005,
194,3.60133376402925e-05,0.0007726082921011887,2.16,76.21951219512195,1.0353277489791048,84498.33054664682,0.12,1.86,1.2,1.86,,
195,5.218738398595093e-06,0.0011588268242685809,4.2,74.39024390243902,-25.27764328548009,,0.32999999999999996,1.71,1.32,1.71,1.8900000000000001,2.58
196,6.134231734912537e-06,0.0009098555747916132,4.95,32.31707317073171,-0.9582185136161165,,0.39,3.45,3.09,3.45,3.54,3.75
197,5.8960462746047475e-06,0.0010633413858134578,4.95,42.073170731707314,-0.6968669843181216,,0.3,3.39,2.52,3.39,3.5700000000000003,3.84
208,6.167486395064614e-05,0.0011795614323468289,4.59,96.95121951219512,-25.73786346740055,-87.45478248015543,0.06,0.21,0.21,0.21,3.96,
217,1.387482414136544e-05,0.00038334971572128525,4.92,87.8048780487805,-6.349032471990258,2637.862587239648,0.09,1.47,0.5700000000000001,1.47,,
225,1.986866818270805e-05,0.0004904415234144706,2.16,73.78048780487805,-0.8421480119064897,101947.3883783797,0.12,1.8900000000000001,1.29,1.8900000000000001,,
229,0.00015574103171951583,0.0023674567550964302,4.5600000000000005,98.17073170731707,3.456179311208266,-79.16865825550451,0.06,0.21,0.15,0.21,4.86,
258,2.228934455007289e-05,0.0006728029551064287,2.31,60.97560975609756,-0.4225984212572559,10849765.615890786,0.18,2.22,1.56,2.22,,
