traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,4.5488716675288067e-05,0.000769140207655276,3.84,80.48780487804878,-12.778110575515113,29515822.20911764,0.18,1.71,0.63,1.71,2.79,
13,1.226288449555096e-05,0.001529801530552965,3.0300000000000002,56.707317073170735,1.6163752715315034,,0.42,2.46,1.77,2.46,2.64,3.84
39,4.8144812738939596e-05,0.0015956906700683746,3.24,75.60975609756098,1.5221996665548305,68154848.852004,0.36,1.8,1.11,1.8,2.64,
49,1.9990123641559166e-05,0.0006780805606070219,4.05,82.3170731707317,-19.599331270487472,2156729144.8974824,0.24,1.47,0.81,1.47,2.43,3.3000000000000003
57,0.00011541182616218235,0.0014778370905219203,4.5600000000000005,98.17073170731707,-11.712993441600888,-63.61480720136313,0.09,0.18,0.15,0.18,0.63,2.13
58,9.948167380765622e-06,0.0010314497423712793,3.0300000000000002,60.36585365853659,-7.666658980872061,,0.27,2.49,2.0100000000000002,2.49,2.73,2.94
104,1.7116533822738184e-05,0.0007802038362058803,4.26,67.6829268292683,-9.537683506915279,,0.24,2.67,1.59,2.67,3.21,
108,7.104661237267616e-05,0.0009776874321875805,2.5500000000000003,82.92682926829268,1.9433719045105005,2488600.882214467,0.42,1.47,0.5700000000000001,1.47,2.46,
112,3.9512693916431156e-05,0.0007351728052632208,4.29,84.14634146341463,-14.44559450496957,81719900.04875088,0.27,1.17,0.6900000000000001,1.17,1.86,
136,4.823651480222523e-05,0.0007196557284899611,3.63,78.65853658536585,-9.690536341500232,18770231.222758096,0.21,1.77,0.63,1.77,2.67,
179,8.182556014106942e-05,0.0012159131264228146,2.37,85.97560975609755,2.1219225927652428,2140900.4005188867,0.39,1.32,0.5700000000000001,1.32,2.37,
183,2.2193906439156958e-05,0.00080594845372164,4.11,79.26829268292683,-12.695760592809629,2152003431.838087,0.27,1.8900000000000001,0.87,1.8900000000000001,2.52,3.33
189,0.0001572413605832934,0.0023685436476261566,4.5600000000000005,98.17073170731707,-9.856179867875271,-78.87795659557013,0.09,0.18,0.15,0.18,1.68,3.12
194,9.386734428737746e-05,0.0011201447839611952,2.16,89.63414634146342,-3.652114914231906,206253.1511354543,0.15,1.17,0.45,1.17,,
195,9.85799190262668e-06,0.0006280813325004341,4.29,80.48780487804878,-63.59416237586798,,0.21,1.17,1.02,1.17,1.71,2.19
196,1.2340542195057325e-05,0.0010428898568950273,2.97,59.146341463414636,-6.32815700608379,,0.27,2.49,2.07,2.49,2.67,2.94
197,1.1805542997251365e-05,0.0011842229672271657,3.0,57.31707317073171,-5.760042612318443,,0.27,2.49,2.16,2.49,2.67,2.94
208,0.0001231427480960349,0.0021891077419689026,4.59,97.5609756097561,-7.489313559705977,-78.98083007982386,0.09,0.18,0.18,0.18,1.71,3.15
217,5.14697502361536e-05,0.0014797440236277311,4.89,93.90243902439025,-29.144507224115262,20659.504864236114,0.12,0.39,0.36,0.39,1.23,2.25
225,5.4925815492970224e-05,0.0009617986372482032,3.93,89.63414634146342,-2.7506740299325148,206544.02620173118,0.15,0.81,0.45,0.81,2.46,
229,0.0002137526504026641,0.0036401976009860356,4.5600000000000005,98.17073170731707,7.388011973854448,-87.8139769278119,0.06,0.18,0.15,0.18,2.19,
258,5.070420689127464e-05,0.0008159559745761541,3.18,79.8780487804878,-3.940035615076497,15989898.603901247,0.51,1.77,0.63,1.77,2.58,
322,5.149613974239498e-05,0.0012614855355265592,3.18,76.21951219512195,1.7018785935606082,40036878.65643067,0.48,1.83,1.05,1.83,2.61,
389,0.00010525333873689658,0.00159019687574424,4.92,92.07317073170732,-0.3131242529894643,6375.180715962848,0.12,0.87,0.39,0.87,2.07,
426,0.0001944899104413869,0.0032190021973125113,4.68,96.34146341463415,0.6268212941191315,-75.68254912666045,0.09,0.27,0.24,0.27,4.29,
447,3.12929891560142e-05,0.0011489713658106825,2.7600000000000002,66.46341463414635,-18.521495533562813,1904786121.1025715,0.24,2.25,1.71,2.25,2.7,
464,1.0292700321766462e-05,0.0007320801016644659,3.45,64.02439024390245,-13.165002613309976,,0.27,2.52,1.83,2.52,2.73,2.97
477,1.606823392118341e-05,0.0012363957567681507,4.95,56.09756097560975,-2.5660910670487844,,0.3,2.52,1.59,2.52,2.58,4.95
573,3.647323366049702e-05,0.0008849144995377777,3.63,90.85365853658537,-33.85405126253183,5265790.328299945,0.18,0.5700000000000001,0.51,0.5700000000000001,1.77,2.61
605,1.248074566763742e-05,0.000713809164461452,4.2,79.26829268292683,-31.181913330524438,,0.18,1.86,1.05,1.86,2.16,2.61
609,1.1332065280701307e-05,0.0013811510150017357,3.0300000000000002,54.26829268292683,-2.7854374177927825,,0.3,2.49,2.31,2.49,2.73,3.0
623,1.2419374472026153e-05,0.0006698116857813872,4.29,68.90243902439025,-14.254726689027837,,0.18,2.58,1.59,2.58,2.64,
687,3.2578942623537215e-05,0.0010283716605836996,2.43,71.95121951219512,-13.337783514521297,1685249792.611383,0.18,2.1,1.35,2.1,2.43,
698,6.388129091486585e-05,0.0014214642936992165,4.7700000000000005,95.73170731707317,-36.25160354848648,280.92450958074124,0.12,0.3,0.27,0.3,0.6900000000000001,1.83
709,9.75837980357817e-06,0.001223175466879757,3.09,57.926829268292686,-6.78374567610421,,0.27,2.52,2.13,2.52,2.73,2.94
711,8.60544543027651e-05,0.001902309770360476,4.86,93.29268292682927,-2.0980513637474694,696.5962466692597,0.12,0.39,0.33,0.39,3.63,
745,4.009953870090629e-05,0.0006365441567048711,2.19,79.26829268292683,-18.517764705905524,165593210.30368215,0.18,1.68,0.6900000000000001,1.68,2.04,
770,8.874714494969415e-06,0.0008899894411334968,4.7700000000000005,70.73170731707317,-20.49771206794226,,0.21,2.19,1.5,2.19,2.52,2.82
815,1.720536004186211e-05,0.000920856007627,4.32,59.75609756097561,-11.407383224512467,,0.21,2.7,1.59,2.7,4.05,
824,4.4037434728858135e-05,0.0009494920891405254,3.9,78.04878048780488,-9.830666322841044,59999011.95642765,0.21,1.74,1.05,1.74,2.7,
860,0.0002379391397537624,0.0035859300569592613,4.65,96.95121951219512,9.872285114920667,-77.81297775876023,0.06,0.24,0.21,0.24,3.81,
871,1.7033168128126473e-05,0.0009227160126349795,4.32,59.75609756097561,-11.352443103089255,,0.21,2.7,1.59,2.7,2.82,
876,3.2438767871583006e-05,0.0008230807242900326,3.69,89.63414634146342,-55.03296818058086,21671631.618459925,0.18,0.63,0.5700000000000001,0.63,1.2,2.49
891,3.132808589206932e-05,0.0016746092587341594,4.17,66.46341463414635,-21.524514988016033,3992523538.311264,0.21,2.34,1.29,2.34,2.82,3.33
899,1.7752565350852967e-05,0.0007053409904761998,3.93,85.97560975609755,-78.59556103744238,,0.18,0.87,0.75,0.87,1.44,2.34
910,4.953222793011989e-05,0.00120321012433963,4.95,92.07317073170732,-1.6493940271958958,136036.55222222963,0.15,0.51,0.45,0.51,2.4,
944,0.00015955729120655554,0.002586857386956634,4.8,94.51219512195122,7.086297133030973,-1.5935621001953322,0.09,0.33,0.33,0.33,4.17,
957,1.2190252815854996e-05,0.0013749157931084752,3.0300000000000002,55.48780487804878,0.8348955298851708,,0.32999999999999996,2.49,1.77,2.49,2.7600000000000002,3.81
961,0.00011756655002786788,0.002893897728965981,4.65,96.95121951219512,-3.9506715153362006,-63.94954211975003,0.09,0.21,0.21,0.21,1.92,3.48
965,3.9268164573922514e-05,0.0010434380713358394,3.96,75.60975609756098,-6.680895435418673,218061432.06325966,0.21,1.8,1.17,1.8,2.1,
971,1.3548007327470289e-05,0.0007158348289877498,4.11,82.3170731707317,-48.87169907093904,,0.18,1.56,0.93,1.56,1.71,2.52
991,2.528166378771115e-05,0.001050968541303902,4.0200000000000005,63.41463414634146,-18.06349203275561,,0.21,2.13,1.41,2.13,3.36,
1030,4.786801029772692e-05,0.0015028722517330339,4.95,93.29268292682927,-22.823516873549224,56754.165617768595,0.15,0.45,0.39,0.45,1.98,2.37
1047,1.569428416169449e-05,0.000689383595200541,3.99,84.7560975609756,-50.153954064696165,,0.18,1.47,0.81,1.47,1.62,2.49
1072,4.389546444356737e-05,0.0013306982567866347,4.95,92.07317073170732,-12.299471915475676,187582.80484805792,0.15,0.51,0.45,0.51,2.07,2.82
1082,1.9060884071612646e-05,0.0006861313164332123,3.93,84.7560975609756,-33.519972596272275,1784193334.9605174,0.24,1.41,0.81,1.41,1.68,3.09
1085,1.0719860911223018e-05,0.0007621844919861746,2.97,62.80487804878049,-11.20918648004565,,0.27,2.49,1.8900000000000001,2.49,2.7,2.97
1087,1.4996262111693098e-05,0.0006546243938371772,4.23,68.90243902439025,-11.296056795197789,,0.21,2.64,1.59,2.64,2.67,
1091,4.634279768368399e-05,0.001377368296690587,4.95,93.29268292682927,-41.692042816753045,128921.29074806106,0.15,0.45,0.39,0.45,1.05,2.31
1110,9.4756136615962e-06,0.0012808991734909766,3.09,57.31707317073171,-6.656578149374846,,0.3,2.52,2.16,2.52,2.73,2.97
1118,1.1189473047853461e-05,0.001032317306808317,3.0,59.75609756097561,-6.788880997374956,,0.27,2.49,2.04,2.49,2.67,2.91
1178,3.175606114144852e-05,0.0007568010239428387,3.93,76.21951219512195,-13.287789344501755,790155904.1006614,0.3,1.77,1.23,1.77,3.06,
1186,1.8759031729880914e-05,0.0007026589002332247,3.99,82.3170731707317,-24.591692939505826,,0.24,1.47,0.87,1.47,2.13,3.27
1192,2.899106499373509e-05,0.0007566396371707271,3.96,72.5609756097561,-14.236017134743761,2327737800.429074,0.32999999999999996,1.98,1.41,1.98,3.54,
1197,5.9592948738337486e-05,0.0010954064583823743,2.97,79.26829268292683,1.4763599563636625,12882320.998885669,0.48,1.71,0.99,1.71,2.52,
1237,2.4925717800940217e-05,0.000887560377943008,4.05,70.1219512195122,-15.25443890514588,5540972125.631656,0.3,2.13,1.53,2.13,3.42,
1280,9.389537987290055e-06,0.0006868886534989924,4.32,79.8780487804878,-63.59483787945818,,0.18,1.44,1.05,1.44,1.83,2.2800000000000002
1281,7.484054808381091e-06,0.0011568570338962574,4.89,68.90243902439025,-19.617117845483083,,0.27,2.31,1.59,2.31,2.67,2.91
1334,2.4622577223737543e-05,0.002540055499356328,4.41,62.80487804878049,-13.045893184387182,,0.21,2.1,1.41,2.1,3.36,4.32
1395,9.680335335147304e-06,0.00045533750566531815,4.7700000000000005,81.09756097560975,2.144956706011658,,0.44999999999999996,1.17,0.99,1.17,1.53,1.92
1412,9.176062412191047e-05,0.002499233611081375,4.71,96.34146341463415,-4.083082265279311,-60.00665070904575,0.09,0.27,0.24,0.27,2.64,
1413,0.00018567922755791002,0.002835517848706019,4.8,95.1219512195122,7.061374450446957,-46.30724456542803,0.12,0.33,0.27,0.33,3.0300000000000002,
1422,7.486757734258817e-05,0.0015278958265809157,4.71,96.34146341463415,-17.15171133977174,57.96475467456152,0.12,0.27,0.24,0.27,0.81,2.07
1429,7.636398965772982e-05,0.0008062577600977876,2.19,87.1951219512195,-8.288522972834045,278729.45713489264,0.15,0.81,0.45,0.81,,
1485,1.8422736321873056e-05,0.0007350271986846088,4.26,60.97560975609756,-8.708681500229261,,0.21,2.52,1.53,2.52,4.14,
1499,1.4700012575347412e-05,0.0006828340912042548,3.99,84.7560975609756,-81.8081418414776,,0.15,0.93,0.81,0.93,1.5,2.4
1565,2.540474830950253e-05,0.001101058885473548,3.96,62.19512195121951,-24.57144894000296,8121540579.72499,0.24,2.52,1.8,2.52,2.94,
1602,2.9422381014407342e-05,0.0007209167393334874,3.69,89.63414634146342,-79.54277804696937,41812954.704786636,0.18,0.63,0.5700000000000001,0.63,1.17,2.22
1629,1.8828992672491987e-05,0.0007444537413406655,4.11,78.65853658536585,-15.990984216985819,,0.27,1.95,0.93,1.95,2.52,3.5100000000000002
1640,3.9985282732152886e-05,0.0006825362536175975,4.23,86.58536585365853,-7.336219300134677,44772567.98321621,0.24,1.11,0.63,1.11,1.8,
1651,2.9365141828878165e-05,0.0015401718606974318,3.33,65.85365853658537,-20.626328174687252,6707044692.7998295,0.21,2.0100000000000002,1.29,2.0100000000000002,2.88,3.33
1728,5.0287995490805655e-05,0.0019585363373186932,4.95,72.5609756097561,2.1907017154881805,176146406.52002868,0.36,1.68,1.41,1.68,1.95,2.97
1732,4.463484936967741e-05,0.0008019188684763342,4.11,87.1951219512195,-13.709153064351725,14804227.824439393,0.18,0.99,0.5700000000000001,0.99,2.61,
1739,1.624899606220731e-05,0.001065414665999569,4.95,58.53658536585366,-9.573514532379164,,0.21,2.64,1.59,2.64,2.82,
1750,4.187658073849878e-05,0.000646298874197977,4.23,81.09756097560975,-13.167801624699422,76805099.40681225,0.27,1.56,0.6900000000000001,1.56,2.73,
1797,3.192130923336632e-05,0.0009567340590756947,2.43,72.5609756097561,-14.668908368189605,1765378534.4140263,0.21,2.1,1.35,2.1,2.43,
1813,3.7750724888886956e-05,0.0016507302050745415,4.95,69.51219512195122,-13.223024029621284,1009087123.8359188,0.24,2.04,1.17,2.04,2.19,3.18
1843,4.8419867760463134e-05,0.0009139473422931032,3.84,79.8780487804878,-10.932304074642527,21306087.278414186,0.18,1.77,0.63,1.77,2.67,
1854,2.5583595607204062e-05,0.0008935752538050009,4.05,74.39024390243902,-8.403934812228488,2097311865.2600482,0.27,1.95,1.11,1.95,3.0,3.96
1859,1.1491793998189915e-05,0.0012377890537823503,3.0300000000000002,56.707317073170735,-5.625590716556823,,0.27,2.49,2.19,2.49,2.7,2.94
1863,1.2873500354245526e-05,0.0006301003401232389,4.08,83.53658536585365,-79.9138736871333,,0.15,0.99,0.87,0.99,1.59,2.25
1875,6.012441134692844e-05,0.0016489847966309969,4.92,93.29268292682927,-3.1865237381686735,7800.95629550458,0.12,0.45,0.39,0.45,2.25,
1877,3.49617952340322e-05,0.0013577721155900546,2.7,67.07317073170732,-14.754540158577916,1187538249.325946,0.24,2.07,1.23,2.07,2.61,3.24
1885,7.895012438550157e-06,0.0010531361823495468,4.95,64.63414634146342,-16.24166279075684,,0.32999999999999996,2.5500000000000003,1.8,2.5500000000000003,2.79,2.97
1887,9.449110997393934e-05,0.0019384183735614384,4.83,93.90243902439025,-1.9327302310029517,237.1934887841523,0.09,0.39,0.33,0.39,3.6,
1899,0.00010667456337388116,0.0019269420660427763,4.65,96.95121951219512,-20.60220025311247,-52.206986785121074,0.09,0.21,0.21,0.21,1.11,2.37
1935,2.1742458146536363e-05,0.0006708261509646557,3.9,85.97560975609755,-31.330393512568968,894597472.7585843,0.24,1.35,0.75,1.35,1.6500000000000001,3.06
1973,2.0490497928770998e-05,0.0009270194241290451,4.2,65.2439024390244,-12.355304171600997,,0.24,2.67,1.6500000000000001,2.67,3.27,
1974,8.869381188086116e-05,0.0014895274449309125,4.89,91.46341463414635,-0.6366544883071957,3384.72555820814,0.12,0.39,0.39,0.39,2.25,
