traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,0.0006244510181785381,1587.4914012233842,4.95,88.41463414634147,-48558717.241557725,2.9223443913351695e+18,0.3,0.75,0.63,0.75,0.99,1.11
13,2.6132699662383185e-05,234.1390280639196,4.95,72.5609756097561,-4763250.870609719,,0.27,1.53,1.41,1.53,1.6500000000000001,1.77
39,0.0006778736458802387,1790.2526343285099,4.95,87.1951219512195,-41662416.256608166,7.110975160159733e+18,0.3,0.81,0.6900000000000001,0.81,1.02,1.1400000000000001
49,0.00011222958461729899,369.51228515620676,4.95,82.3170731707317,-22967728.568030123,7.202764714584363e+19,0.3,1.05,0.93,1.05,1.2,1.32
57,0.000437682854514679,869.4298954264823,4.95,98.17073170731707,-86316228.14806512,39451094542797.64,0.3,0.18,0.15,0.18,0.63,0.81
58,1.6550665520173753e-05,148.775090978298,4.95,72.5609756097561,-4739877.424909091,,0.27,1.53,1.41,1.53,1.6500000000000001,1.77
104,6.575958175852275e-05,313.57466544851934,4.95,78.65853658536585,-12095477.811463002,,0.3,1.23,1.11,1.23,1.41,1.53
108,0.0010750589816865689,2610.970939222971,4.95,89.63414634146342,-60676186.871491864,5.722518265268276e+17,0.3,0.63,0.5700000000000001,0.63,0.9,1.02
112,0.0003175100825536511,844.7727628227453,4.95,87.1951219512195,-40551913.66666016,8.187567618482108e+18,0.3,0.81,0.6900000000000001,0.81,1.02,1.1400000000000001
136,0.0007127897611613788,1793.088162485637,4.95,88.41463414634147,-50902278.64881158,2.1479497508104563e+18,0.3,0.6900000000000001,0.63,0.6900000000000001,0.96,1.08
179,0.001179197086016171,2861.253013820132,4.95,89.63414634146342,-60980975.85002576,5.485314001194097e+17,0.3,0.63,0.5700000000000001,0.63,0.9,1.02
183,0.0001301733676268805,436.5383178722674,4.95,82.3170731707317,-22115082.131316453,7.989493099636022e+19,0.3,1.05,0.93,1.05,1.23,1.35
189,0.0007432944522645578,1474.1891621053078,4.95,98.17073170731707,-86270569.62632564,39962424158919.51,0.3,0.18,0.15,0.18,0.63,0.81
194,0.0012950930949864351,3038.7927909435157,4.95,91.46341463414635,-74198371.88467646,8.0794365829882e+16,0.3,0.5700000000000001,0.48,0.5700000000000001,0.81,0.96
195,1.538067023452339e-05,75.8135235084947,4.95,78.04878048780488,-11502710.934307385,,0.3,1.26,1.11,1.26,1.41,1.53
196,2.740865502275926e-05,210.2547504040735,4.95,73.78048780487805,-6007708.242641558,,0.27,1.44,1.35,1.44,1.59,1.71
197,2.448032202186857e-05,201.76291711185414,4.95,73.78048780487805,-5401395.466536443,,0.27,1.47,1.35,1.47,1.62,1.74
