,mean,std
"u(t,j-10)",8.266268e-08,8.143215e-07
"u(t,j-9)",7.549337e-08,7.7718306e-07
"u(t,j-8)",6.8324056e-08,7.381089e-07
"u(t,j-7)",6.115475e-08,6.9677344e-07
"u(t,j-6)",5.3985435e-08,6.527472e-07
"u(t,j-5)",4.6816393e-08,6.054434e-07
"u(t,j-4)",3.965147e-08,5.5402296e-07
"u(t,j-3)",3.2512467e-08,4.972098e-07
"u(t,j-2)",2.546626e-08,4.3289373e-07
"u(t,j-1)",1.8680586e-08,3.571631e-07
"u(t,j)",1.2617462e-08,2.6193499e-07
"u(t,j+1)",8.5819885e-09,1.3793596e-07
"u(t,j+2)",9.184616e-09,1.5167463e-07
"u(t,j+3)",1.1461283e-08,1.8129016e-07
"u(t,j+4)",1.43615555e-08,2.0809163e-07
"u(t,j+5)",1.757003e-08,2.3197154e-07
"u(t,j+6)",2.1140757e-08,2.5437228e-07
"u(t,j+7)",2.5562468e-08,2.8208692e-07
"u(t,j+8)",3.2245865e-08,3.608719e-07
"u(t,j+9)",3.8929393e-08,4.2519957e-07
"u(t,j+10)",4.5612914e-08,4.809069e-07
"u(t-1ndt,j-10)",1.8429846e-08,1.6406811e-07
"u(t-1ndt,j-9)",1.6824801e-08,1.5659178e-07
"u(t-1ndt,j-8)",1.5219756e-08,1.4872279e-07
"u(t-1ndt,j-7)",1.3614712e-08,1.4039517e-07
"u(t-1ndt,j-6)",1.2009667e-08,1.3152182e-07
"u(t-1ndt,j-5)",1.0404624e-08,1.2198367e-07
"u(t-1ndt,j-4)",8.799578e-09,1.11610454e-07
"u(t-1ndt,j-3)",7.195624e-09,1.0014292e-07
"u(t-1ndt,j-2)",5.6043428e-09,8.7150504e-08
"u(t-1ndt,j-1)",4.0703814e-09,7.183225e-08
"u(t-1ndt,j)",2.7050229e-09,5.248596e-08
"u(t-1ndt,j+1)",1.8022471e-09,2.6579242e-08
"u(t-1ndt,j+2)",1.959946e-09,2.9458109e-08
"u(t-1ndt,j+3)",2.4880138e-09,3.5269817e-08
"u(t-1ndt,j+4)",3.150236e-09,4.0496733e-08
"u(t-1ndt,j+5)",3.878207e-09,4.514342e-08
"u(t-1ndt,j+6)",4.6821147e-09,4.949351e-08
"u(t-1ndt,j+7)",5.6741234e-09,5.486267e-08
"u(t-1ndt,j+8)",7.204933e-09,7.13229e-08
"u(t-1ndt,j+9)",8.735743e-09,8.461272e-08
"u(t-1ndt,j+10)",1.0266551e-08,9.6057185e-08
delta_u@1ndt,4.1705857e-08,9.152909e-07
delta_u@2ndt,2.0258618e-07,4.41364e-06
