traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,3.2111194806034034e-05,0.0003836370933349509,2.58,57.668711656441715,-11.088359446260199,27246767.665116288,0.54,2.5500000000000003,0.96,2.5500000000000003,,
13,3.9727233039318095e-06,0.0009322657987930038,4.08,55.214723926380366,0.08872217220192474,,0.51,3.33,2.22,3.33,3.42,3.9
39,2.6570805212998137e-05,0.0005758598913996418,4.8,53.374233128834355,-4.267572326939634,77457970.8710196,0.32999999999999996,3.45,1.1400000000000001,3.45,,
49,7.629749079675256e-06,0.0001972001388050712,4.68,42.94478527607362,-8.395823510573523,,0.36,4.2,1.8900000000000001,4.2,4.5600000000000005,
57,4.641275259072498e-05,0.0012165895483027887,0.24,97.54601226993866,-103.75712493064594,-98.43472621010805,0.06,0.21,0.15,0.21,2.82,
58,3.669042671361675e-06,0.0004662882770336658,3.81,45.39877300613497,-0.8885991343788013,,0.3,3.27,2.67,3.27,3.42,
104,6.038750291633974e-06,0.00039619540620801363,4.71,33.74233128834356,-10.776576584546971,,0.21,4.29,2.19,4.29,4.65,
108,3.930173210629126e-05,0.00047381400790891064,3.48,69.32515337423312,-5.947245064889365,2371446.1084899814,0.51,3.12,0.96,3.12,,
112,1.7212272640314812e-05,0.00027312984133650865,3.93,50.306748466257666,-8.236559882634978,99408040.03379497,0.51,3.9,1.05,3.9,,
136,3.1634838840651036e-05,0.0003783845184998822,3.33,52.760736196319016,-5.3257179561919745,17509670.340048313,0.54,3.12,1.05,3.12,,
179,3.919595889604402e-05,0.00048815825750425255,3.36,61.96319018404908,-4.757362067102283,1825483.7851244134,0.54,3.33,0.96,3.33,,
183,7.797369161480695e-06,0.0002901111340364855,4.47,36.809815950920246,-13.547100929829684,,0.39,3.87,2.07,3.87,4.3500000000000005,
189,7.638131800602795e-05,0.001439719815239068,4.5600000000000005,97.54601226993866,-63.928216985122205,-93.43766433269882,0.06,0.21,0.15,0.21,3.93,
194,4.682182233060272e-05,0.0008690277615821473,4.8,77.30061349693251,-5.628785101841249,72238.30804118713,0.18,1.98,1.08,1.98,,
195,4.120474696371408e-06,0.0004629482747577446,4.83,73.00613496932516,-25.718159352793165,,0.36,1.74,1.3800000000000001,1.74,1.98,3.5100000000000002
196,4.299292932047517e-06,0.00043652058236838965,3.33,45.39877300613497,-0.28931743375806085,,0.3,3.24,2.58,3.24,3.36,
197,3.7306023552374272e-06,0.0006139643664646935,3.69,50.306748466257666,0.07622828431296971,,0.36,3.27,2.49,3.27,3.39,
208,7.110837596111123e-05,0.001320094676062482,4.59,96.93251533742331,-28.902159954217453,-91.02277204680495,0.06,0.21,0.21,0.21,3.7800000000000002,
217,1.5666020616395847e-05,0.0007011072897824295,4.92,85.2760736196319,-2.614558384986597,1967.1622043429834,0.12,0.51,0.42,0.51,2.31,3.84
225,2.8574297558674682e-05,0.0006789430970462387,3.5700000000000003,76.68711656441718,-9.644656355615988,77331.90837286306,0.21,2.31,0.6900000000000001,2.31,3.12,
229,0.0001896081201557437,0.0029484587160566057,4.5600000000000005,98.15950920245399,-1.8635630048902567,-88.05899491219961,0.06,0.21,0.15,0.21,3.99,
258,3.3313208048724784e-05,0.00046320096292958284,3.33,65.6441717791411,-4.33384514218044,15821225.046371581,0.54,2.91,1.05,2.91,,
322,3.402305874856958e-05,0.0006603011332648001,4.8,64.41717791411043,-6.223315677798893,49996992.41656648,0.54,3.12,1.05,3.12,,
389,3.3717171008606814e-05,0.0009324241740971038,4.68,73.61963190184049,-6.718921971763773,4734.153708094502,0.39,1.8900000000000001,0.54,1.8900000000000001,2.91,
426,0.00022052890929700537,0.0026035481120814273,4.68,96.31901840490798,0.3458381227542084,-52.79062802302295,0.06,0.24,0.24,0.24,,
447,1.2525784855135879e-05,0.0005240121395481958,4.0200000000000005,54.60122699386503,-0.4266878053815087,3157052104.2029915,0.15,3.96,1.41,3.96,4.7700000000000005,
464,3.5049294932276903e-06,0.0003520476390276618,3.69,43.558282208588956,-0.38712872137995996,,0.32999999999999996,3.27,2.34,3.27,3.42,
477,4.7630288776814494e-06,0.0010767771736327316,4.92,53.987730061349694,0.15694044069675175,,0.44999999999999996,3.21,2.22,3.21,3.33,
573,1.025749655252054e-05,0.00025236359955685243,4.86,68.71165644171779,-2.2890250047890257,2567734.697211371,0.18,2.19,0.87,2.19,,
605,3.915608952637627e-06,0.00020734622586738623,3.06,59.50920245398773,-1.447603393939605,,0.21,2.5500000000000003,1.8,2.5500000000000003,4.7700000000000005,
609,3.4278732386969094e-06,0.0006767733719354402,3.87,52.147239263803684,-0.09539253218194253,,0.42,3.3000000000000003,2.4,3.3000000000000003,3.42,
623,4.711798675827781e-06,0.0002517481834298506,3.81,49.693251533742334,-0.7119529856204455,,0.36,2.7,2.07,2.7,3.54,
687,1.539813938525249e-05,0.0005121605692570757,4.92,57.05521472392638,-1.3210396299355167,1571613693.8793013,0.24,3.81,1.32,3.81,,
698,1.9690932752452038e-05,0.0005932073224122638,4.7700000000000005,94.47852760736197,-43.32631598727348,-19.515522756993086,0.15,0.33,0.3,0.33,2.07,2.7
709,3.665388751808794e-06,0.0006827364090491702,3.87,46.012269938650306,0.01773583481188727,,0.36,3.27,2.58,3.27,3.42,4.05
711,3.373001695031193e-05,0.0016167394157088236,4.83,73.00613496932516,-7.468366880863443,817.0828646415428,0.15,1.83,0.51,1.83,3.69,
745,2.3047051690401598e-05,0.00031006950370019186,2.73,53.987730061349694,-8.99265021108698,152321807.73128372,0.54,2.67,1.1400000000000001,2.67,,
