traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.9447014324016483e-05,0.001030565306214737,4.92,57.05521472392638,-1.0965136969138884,10874188.364819331,0.18,2.67,1.05,2.67,2.94,
13,2.9335034214058143e-06,0.0021762924957757085,4.53,59.50920245398773,1.7436133217195788,625720446.5174444,0.51,2.4,1.83,2.4,2.67,3.0300000000000002
39,2.69593735742147e-05,0.0013663538623145013,4.11,57.668711656441715,-0.6036090595723489,29737691.99968752,0.21,2.79,1.1400000000000001,2.79,3.0300000000000002,
49,6.871828608916975e-06,0.0006570624330200022,4.92,63.190184049079754,-1.0770505594246176,143391490.06128815,0.18,2.43,1.3800000000000001,2.43,2.91,3.42
57,4.8565295356417356e-05,0.0011031614557484026,0.24,97.54601226993866,-92.49607155572174,-94.578081003216,0.06,0.21,0.15,0.21,2.43,
58,2.205236151375065e-06,0.0010249572892867987,3.42,55.214723926380366,1.6206785802548447,596779426.1367028,0.44999999999999996,2.49,2.22,2.49,2.82,3.27
104,4.822571096079111e-06,0.0015251263051135643,4.92,58.282208588957054,-0.1657075142010269,1036669250.2672502,0.21,2.7,1.77,2.7,3.42,4.08
108,2.7686582468123933e-05,0.00153079336274082,4.92,69.93865030674847,-1.6970041038584331,892617.2872134862,0.15,2.07,1.53,2.07,3.84,
112,1.070018645856836e-05,0.0006939787363829304,4.83,58.282208588957054,-0.53201285188888,33247083.196231123,0.21,2.73,1.1400000000000001,2.73,2.94,4.23
136,2.2591452729797337e-05,0.001043388997818662,4.92,57.668711656441715,-1.290404140796406,8293067.529016984,0.21,2.67,1.02,2.67,3.21,
179,3.201324963999757e-05,0.0017333899073018774,4.92,70.5521472392638,-1.4059710971672599,679411.2188760176,0.15,2.07,1.5,2.07,3.84,
183,7.3057005689312015e-06,0.0007324397913906684,4.92,57.668711656441715,-0.8903123994315734,162405430.01534417,0.21,2.46,1.41,2.46,3.06,3.3000000000000003
189,7.685122740062898e-05,0.0013625517539672407,0.24,97.54601226993866,-61.713420804891214,-93.67808059739536,0.06,0.21,0.15,0.21,3.21,
