traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
5,0.00031795950237612967,0.0020834807073246697,4.44,97.57575757575758,3.554774067911993,-6.012466602978244,0.51,0.54,0.15,0.54,0.93,2.97
27,0.00027265774556010664,0.00268347843338319,4.38,99.39393939393939,-13.035996063854842,17.6740080237686,0.54,0.09,0.09,0.09,1.17,2.61
94,0.0010718876168790005,0.00736757987481736,4.41,99.39393939393939,34.156237661185074,-60.79353155102931,0.54,0.12,0.09,0.12,0.87,1.1400000000000001
100,0.00014047974796384922,0.0026643283809983306,2.58,84.24242424242425,34.063892951533255,20272.447939056772,0.32999999999999996,1.44,0.84,1.44,1.35,1.95
109,0.001983325779560658,0.019775567298777455,4.74,97.57575757575758,-60.33182035955833,315.50023570757844,0.87,0.27,0.18,0.27,0.39,0.5700000000000001
124,0.00046317195465398186,0.0038533731286660624,3.21,96.36363636363636,-2.6912771530232202,232.75108422647395,0.39,0.45,0.24,0.45,0.48,0.66
140,0.00025456768788898403,0.0031557837216662655,2.19,97.57575757575758,7.36749185202989,-24.596677801291197,0.36,0.33,0.15,0.33,0.75,1.8
151,0.000618915523955487,0.02515055736148497,4.5600000000000005,85.45454545454545,34.04801284366654,-40.95262201309347,0.9299999999999999,2.19,0.72,2.19,2.13,3.0
156,0.0007385739190027492,0.005483966221618175,3.24,96.36363636363636,18.69431616116368,-88.42724668089586,0.6599999999999999,0.42,0.24,0.42,0.51,0.72
183,0.0003245528841188603,0.0028277258351753903,4.2,99.39393939393939,4.688782347010863,311.6969457680099,0.69,0.12,0.09,0.12,0.78,1.32
192,2.881830343854222e-05,0.0014614574611186981,4.98,70.9090909090909,31.83399625938806,353.8491773245635,0.32999999999999996,1.95,1.5,1.95,1.86,2.22
237,0.0006030394479937597,0.02510492171237248,4.92,89.0909090909091,78.06688203411395,-79.62513535484652,1.02,1.44,0.45,1.44,1.6500000000000001,2.16
260,0.00022257671696735698,0.001557641718222788,4.44,96.36363636363636,0.20890159887977322,16.79820686560338,0.3,0.54,0.24,0.54,0.81,1.47
316,0.0014073955939644845,0.015818173572370142,4.17,95.75757575757575,-6.388603136289354,838.3474605584354,0.99,0.48,0.09,0.48,0.54,0.75
340,0.0003614401462224501,0.011170670181480019,4.98,85.45454545454545,89.82996844459817,4758.759444545566,1.02,1.6500000000000001,0.78,1.6500000000000001,1.26,1.8
368,0.0012931013762117775,0.010975058470648946,3.09,98.18181818181819,12.62118328624258,-7.30121581111379,0.3,0.36,0.15,0.36,0.6,1.29
416,0.0016175488736436387,0.009303401995566674,2.4,99.39393939393939,-184.66918486886857,175.13294764238267,0.69,0.24,0.09,0.24,0.27,0.39
449,0.0006562382579846446,0.007224811971190048,3.36,91.51515151515152,0.4787199850048932,-10.567644908947948,0.51,0.5700000000000001,0.42,0.5700000000000001,0.96,2.82
494,0.00012038429531788503,0.0016875755199591707,4.98,99.39393939393939,-18.730347872107032,577.8499807914915,0.21,0.15,0.09,0.15,0.33,0.5700000000000001
593,0.0015017834032648178,0.011046740668181121,4.53,99.39393939393939,15.880100967002695,-90.59810575975429,0.48,0.15,0.09,0.15,0.54,0.99
595,0.0005978349033652621,0.01592775806023044,4.83,89.0909090909091,82.12529905350358,99.26546044235138,1.05,0.93,0.6,0.93,1.32,1.8900000000000001
602,0.0008748096473262837,0.014519311567710247,3.72,93.93939393939394,38.7430388985717,174.7900818925661,1.05,0.45,0.36,0.45,0.72,1.26
636,8.491492087390806e-05,0.001132690600519958,4.98,38.78787878787879,2.5316051968761895,5638.707182596123,0.48,4.05,2.49,4.05,4.08,
640,0.0005399495918610917,0.004011154490650034,3.54,99.39393939393939,0.0,-30.463024170184646,0.21,0.18,0.09,0.18,0.5700000000000001,2.04
668,0.0007102091883295962,0.006058313081795448,4.68,99.39393939393939,3.687615303557604,-50.83009978916316,0.15,0.15,0.09,0.15,0.42,1.23
669,0.0005271541323190909,0.003978671889106446,4.3500000000000005,97.57575757575758,-18.507883636012977,536.0854842811792,0.36,0.36,0.18,0.36,0.84,1.11
692,9.855665576607941e-05,0.0007137234706515541,4.8,96.36363636363636,7.722161544719744,-99.99106718879399,0.48,0.39,0.24,0.39,0.33,0.45
