traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.8278243391552986e-05,0.0008629572376572937,3.87,56.441717791411044,-1.6930665516440524,13602452.64064538,0.15,2.4,1.05,2.4,4.2,
13,4.109872258248892e-06,0.0016210629135641817,3.93,36.19631901840491,-0.6257796610304611,,0.51,3.45,2.7600000000000002,3.45,3.48,3.6
39,1.646989756440821e-05,0.0012519568191313875,3.96,54.60122699386503,-1.2334593733257297,35205254.69450101,0.18,2.49,2.19,2.49,3.96,
49,4.018739007762512e-06,0.0004840842656291431,4.26,50.306748466257666,-1.262586169766339,,0.21,2.88,2.31,2.88,3.33,
57,3.778255000402493e-05,0.0009869769161647743,0.24,97.54601226993866,-80.96136024983511,-97.18268539015843,0.06,0.21,0.15,0.21,3.36,
58,4.497934292416264e-06,0.0009365991790089255,3.84,41.717791411042946,-1.3652326378700548,,0.44999999999999996,3.5100000000000002,2.67,3.5100000000000002,3.54,3.69
104,5.74587753187048e-06,0.0007579947714224638,4.65,44.785276073619634,-1.3381484601295874,,0.24,3.15,2.52,3.15,3.24,
108,2.4200992477541586e-05,0.0011520168991128962,4.92,57.668711656441715,-3.1638152637657924,375561.6859050665,0.18,2.31,2.0100000000000002,2.31,,
112,6.679236335355395e-06,0.0005737380640515523,3.99,53.987730061349694,-1.7515422650085621,41080562.30865039,0.18,2.49,2.19,2.49,3.99,
136,2.4075003283117453e-05,0.0009874915026686108,3.87,57.05521472392638,-1.672924073843312,6861647.391573565,0.18,2.4,2.0100000000000002,2.4,4.11,
179,3.004534565653368e-05,0.0013103562001729727,4.92,58.895705521472394,-3.217193323718849,313529.6186506886,0.15,2.2800000000000002,1.92,2.2800000000000002,,
183,5.386645789399728e-06,0.0005296294536831741,4.29,47.852760736196316,-2.098927263423733,1224457151.8119223,0.21,2.91,2.46,2.91,3.39,
189,5.764985224500362e-05,0.0011869866707398292,0.24,97.54601226993866,-51.43921876732796,-93.97568747430194,0.06,0.21,0.15,0.21,,
194,2.9720876906760293e-05,0.0012319418880099905,4.86,70.5521472392638,-2.378818631061717,33024.502439430646,0.15,1.98,1.35,1.98,,
195,2.9181915353968067e-06,0.00024541490674804704,4.53,63.190184049079754,-9.752160676462928,,0.42,2.49,1.05,2.49,3.66,3.93
196,3.844828080137513e-06,0.001100223909277843,4.92,38.03680981595092,-0.4870305416113956,,0.42,3.39,2.67,3.39,3.42,3.5700000000000003
197,3.992301493299792e-06,0.0010782265139427565,4.92,33.74233128834356,-0.8002438173587514,,0.42,3.45,2.97,3.45,3.48,3.69
208,4.8273719108276015e-05,0.0011542362055455002,4.59,96.93251533742331,-30.39959348286126,-94.09368125075856,0.06,0.24,0.21,0.24,4.14,
217,7.435700020315669e-06,0.00025942065052738023,4.92,73.61963190184049,-4.081286711764408,2191.679886916713,0.12,1.92,0.42,1.92,,
225,1.7716517901868148e-05,0.0008057498618400574,4.86,73.00613496932516,-2.135255563333907,24200.22616428453,0.12,1.8900000000000001,0.6,1.8900000000000001,,
229,0.0001213757575163279,0.0024278046782673576,4.59,97.54601226993866,3.2199599320587877,-93.63119751701586,0.06,0.24,0.15,0.24,,
258,2.354824831129124e-05,0.0010593971949868835,3.87,57.05521472392638,-1.9650514716660947,5943477.759270131,0.18,2.4,2.0100000000000002,2.4,4.11,
322,1.9723046554392022e-05,0.0011211745700671688,3.96,54.60122699386503,-2.1518409295832477,23150716.428093184,0.15,2.43,2.16,2.43,3.96,
389,2.9824973812346365e-05,0.0010079415759288047,4.7700000000000005,67.48466257668711,-4.714670056160358,2780.3299478791773,0.09,1.92,0.42,1.92,,
426,0.0001222795123441002,0.0025382472791215926,4.68,94.47852760736197,3.0656035669374804,-57.84685879935904,0.06,0.42,0.24,0.42,,
447,1.2067305683486163e-05,0.0012502176608035812,4.38,47.852760736196316,-5.275797228032207,1459793366.4247897,0.27,2.85,2.13,2.85,2.97,
464,3.8461843288793104e-06,0.0007624406837989843,4.92,50.920245398773005,-0.14226190603907202,,0.39,3.48,2.31,3.48,3.5100000000000002,3.69
477,5.376277017910677e-06,0.0016638499492861404,4.92,38.03680981595092,-0.2677484563417198,,0.44999999999999996,3.3000000000000003,2.88,3.3000000000000003,3.36,3.5100000000000002
