traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
5,0.00022625942025370337,0.0027252797240124174,4.38,88.41463414634147,12.384810398805609,-40.19313067336008,0.15,1.11,0.45,1.11,1.1400000000000001,2.22
27,0.0003426451953484361,0.0026630999809661156,4.32,98.78048780487805,10.617097483918727,-78.46922074076626,0.54,0.12,0.12,0.12,0.87,1.26
94,0.0007356966938985598,0.005576329843347918,4.62,97.5609756097561,31.36591649077339,-76.66448323880257,0.57,0.63,0.18,0.63,0.96,1.23
100,5.8561775076100934e-05,0.010416410222810722,4.95,62.19512195121951,-87.52404489526971,295904.4406084038,0.6599999999999999,2.16,1.32,2.16,2.22,2.49
109,0.000510204128606085,0.08142692318880419,4.95,96.34146341463415,-760.4032406179989,2384.956857998301,0.96,0.48,0.15,0.48,1.32,1.44
124,0.00012089743731961785,0.0016317594656873383,4.44,88.41463414634147,10.149162359220576,-29.601143138792796,0.44999999999999996,1.59,0.63,1.59,1.71,3.0300000000000002
140,9.582687006904487e-05,0.0019443040729783703,4.86,87.8048780487805,14.911582613624176,-20.11533814484906,0.44999999999999996,1.32,0.27,1.32,1.92,4.14
151,0.0001778223378103677,0.015739960337694744,4.83,60.36585365853659,31.360132203938946,-79.5129835536103,0.8999999999999999,2.7600000000000002,2.0100000000000002,2.7600000000000002,2.85,3.27
156,0.0002239851663103505,0.010979758987508578,4.95,90.85365853658537,-225.37846018824882,1537.8023812569866,1.17,0.78,0.51,0.78,1.05,1.32
183,0.00022096074109463366,0.0017622121673370578,4.95,98.78048780487805,5.295092229677919,-41.186214490159415,0.44999999999999996,0.27,0.12,0.27,1.02,4.41
192,6.632810379160483e-05,0.0029078390011818556,4.83,69.51219512195122,43.839253111517195,1306.1147154952591,0.78,1.77,1.32,1.77,1.59,3.75
237,0.0009209994311337653,0.05274108054875265,4.95,94.51219512195122,-196.8902640672193,1321.62149115757,1.02,1.11,0.18,1.11,1.32,1.86
260,9.532030165887212e-05,0.0021398354978936465,4.95,79.8780487804878,8.182596178481878,-0.6413117319218007,0.51,1.23,1.05,1.23,1.3800000000000001,1.6500000000000001
316,0.0008686308990139965,0.0700916406522164,4.95,90.2439024390244,-691.557038668063,18368.21778404919,1.02,0.75,0.12,0.75,0.78,1.05
340,0.00012496980424229215,0.005000606982704575,4.95,64.02439024390245,-9.001231498915915,279152.5969276472,0.75,2.46,1.83,2.46,2.34,3.69
368,0.0005564927738719316,0.009085550977033563,3.06,90.85365853658537,17.453188265163064,-69.1095101238386,0.3,0.75,0.48,0.75,1.29,1.83
416,0.00017167316234578556,0.0026996320302714594,3.06,92.07317073170732,6.046830927367546,-30.845656832643353,0.78,0.6900000000000001,0.45,0.6900000000000001,1.1400000000000001,2.58
449,0.00037731107005789614,0.0054924726349600776,4.62,79.8780487804878,1.1968049688913613,-37.933928115794636,0.54,1.71,0.84,1.71,1.53,2.88
494,6.777006564579237e-05,0.0006083494320074452,4.92,98.78048780487805,3.733203793000492,-17.44413018543327,0.3,0.24,0.12,0.24,0.63,1.83
593,0.0015129828087462151,0.0650990706452141,4.95,98.78048780487805,-365.7219405306145,837.1815555436639,0.63,0.42,0.12,0.42,0.87,1.17
595,0.0005334927350723674,0.006619704956281823,2.7600000000000002,85.36585365853658,2.6813407459998793,5967.487924186009,0.96,1.08,0.78,1.08,1.32,2.79
602,0.00034361379034191945,0.006339582661894383,3.5100000000000002,87.1951219512195,33.86344509819022,-85.65326834405315,0.75,1.77,0.51,1.77,2.34,2.64
636,6.360659524108121e-05,0.0013264994372731973,4.95,65.85365853658537,2.909130603141131,4017.7056067745366,0.63,4.23,1.74,4.23,2.13,
640,0.0002745303090879834,0.003679676254301383,4.89,92.6829268292683,0.0,-48.097805255946355,0.18,1.02,0.21,1.02,1.02,1.98
668,0.0008538838696648215,0.05258425372052705,4.95,98.78048780487805,-437.11956729374936,106.50907108041385,1.02,0.12,0.12,0.12,0.66,0.9
669,9.40482873810623e-05,0.0021975445922666707,4.32,85.97560975609755,10.421189432571957,5.681742341574905,0.6,1.47,0.75,1.47,2.2800000000000002,2.58
692,5.455603383575377e-05,0.0011020788534447678,4.3500000000000005,92.6829268292683,-101.89911242628817,234.38360618818638,0.44999999999999996,0.51,0.42,0.51,0.87,1.11
697,0.00011927502802393583,0.002245116768896149,4.29,73.17073170731707,10.097902456404462,-49.44531830000386,0.32999999999999996,1.71,1.3800000000000001,1.71,2.16,
763,0.000535462228742143,0.005773015636688702,4.32,98.78048780487805,25.020394471327823,-84.97802404932767,0.48,0.18,0.12,0.18,1.17,1.44
769,0.0006647771065475369,0.00843543438531924,3.06,95.73170731707317,7.396455879694787,-61.39846202314472,0.18,0.51,0.18,0.51,0.99,1.59
781,0.0024107568211057784,0.07410495412910602,4.95,98.17073170731707,-462.9870616884335,3020.747968434488,1.02,0.21,0.15,0.21,0.6900000000000001,0.84
788,0.00011198654970418725,0.0029012866366612032,4.41,35.97560975609756,1.5037495922850757,318.15992745470976,0.75,3.6,3.21,3.6,3.5100000000000002,4.11
806,0.00020166521511141277,0.0015767806446579241,4.32,98.78048780487805,30.235869237813976,-84.28706706090331,0.48,0.48,0.12,0.48,1.02,2.07
818,0.00018220878498414455,0.0025542395667016247,4.95,95.73170731707317,35.534397754443226,-79.35721979128594,0.36,1.3800000000000001,0.27,1.3800000000000001,1.26,2.97
