traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,8.307815228029072e-06,0.0008709530012710465,4.44,65.85365853658537,0.1609304393109575,1740.087329457528,0.63,2.2800000000000002,1.59,2.2800000000000002,2.5500000000000003,2.85
13,6.468605553704934e-06,0.0015580374463839758,4.92,42.68292682926829,0.16819868686343378,35269078.86268826,0.51,3.15,2.88,3.15,3.24,3.5100000000000002
39,2.421987474893789e-05,0.0010109411696931274,3.9,60.97560975609756,0.29106047890850434,13134.134052277692,0.63,2.31,1.8900000000000001,2.31,2.67,
49,3.256077506731447e-06,0.0003264272896013889,4.29,49.390243902439025,-1.1766498621014672,,0.39,2.67,2.49,2.67,2.88,
57,5.6415937036157266e-05,0.0007389931864001775,4.5600000000000005,98.78048780487805,30.295528266879543,-79.70551995302995,0.06,0.18,0.12,0.18,4.0200000000000005,
58,2.348822282876599e-06,0.0007852726081722649,4.95,39.02439024390244,-1.512793925352524,,0.44999999999999996,3.21,3.0,3.21,3.3000000000000003,3.5700000000000003
104,6.941790539779484e-06,0.0005326421524312741,3.99,43.292682926829265,-0.9462393573109374,2940.6926529584607,0.24,3.09,2.85,3.09,3.36,
108,1.0848712957278578e-05,0.0013951809874506692,4.32,62.80487804878049,0.38881159084889166,1092.4505695672137,0.63,2.19,1.8900000000000001,2.19,2.49,2.73
112,1.0524390053713744e-05,0.00042170295950193595,4.7700000000000005,63.41463414634146,0.06580946372098588,13943.25998060414,0.6,2.37,1.53,2.37,2.67,4.47
136,3.0224105469166784e-05,0.0019501951893660869,4.95,52.4390243902439,4.074172665416202,168.56152253257665,0.57,3.36,1.35,3.36,2.88,4.26
179,2.2900362499287465e-05,0.001039388657923739,3.72,64.63414634146342,-1.6092080254040844,1183221.663147006,0.15,2.22,0.87,2.22,,
183,5.909651334637677e-06,0.00044704359340220763,4.2,52.4390243902439,-0.024821951136375864,606122.0259514111,0.54,2.58,2.4,2.58,2.82,3.12
189,0.00010523494248767004,0.0017975636725339169,4.5,97.5609756097561,21.478444749140888,-77.19031727870131,0.09,0.21,0.18,0.21,2.64,
194,4.7549849440826856e-05,0.0023564712624619304,4.95,60.36585365853659,6.5946476239490694,122.56490628717589,0.51,3.06,0.39,3.06,3.87,4.08
195,8.27600732420225e-06,0.00045980705484862424,4.95,59.75609756097561,-13.910533564725144,968.1594190108159,0.39,2.16,1.8900000000000001,2.16,3.42,4.53
196,1.5289569666504553e-05,0.0026375553876764246,4.08,52.4390243902439,-9.923052887449085,874.8108786008488,0.57,3.3000000000000003,2.19,3.3000000000000003,2.64,3.45
197,1.3830460925418823e-05,0.0021118649073108998,4.95,51.829268292682926,-6.307692226411857,1846.3783195236367,0.48,3.36,2.2800000000000002,3.36,2.64,3.72
208,6.759378181496459e-05,0.0013079330872882802,4.59,96.95121951219512,-7.150569863950395,-91.7167303692737,0.06,0.27,0.21,0.27,3.36,
217,1.779890637189258e-05,0.0005416636742058294,4.8,64.63414634146342,8.253136676997752,38.144263837594,0.39,0.33,0.33,0.33,3.69,3.96
225,2.6017218794805104e-05,0.0013033311487884603,4.95,58.53658536585366,5.9501067226772015,111.75995205220252,0.51,3.3000000000000003,0.39,3.3000000000000003,3.87,4.05
229,0.00014351669035750358,0.002567939439252353,4.53,96.34146341463415,23.698461849640793,-69.45923544635849,0.06,0.15,0.15,0.15,4.8,
