traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
9,7.990296952381825e-05,0.0008089637568823205,2.64,72.5609756097561,3.8651702338574436,312.3438867687609,0.6,2.37,1.32,2.37,2.25,
11,3.425880398931923e-05,0.0005439353362044143,4.3500000000000005,82.3170731707317,-44.47890231840597,16808466.68917594,0.57,1.11,0.93,1.11,1.26,1.47
24,0.00010379918264585477,0.0017600198092741666,4.8,53.65853658536585,-3.0476428333474215,141.56239765917397,0.48,2.7600000000000002,2.34,2.7600000000000002,2.88,3.33
32,4.776892126411521e-05,0.0007077768242110937,3.69,75.60975609756098,-4.856812252937791,22616889.958195653,0.24,2.46,1.26,2.46,2.19,
35,9.772560241219389e-05,0.001152857720824364,3.96,40.24390243902439,-1.7141633211725287,1500.5032007529846,0.48,3.3000000000000003,1.59,3.3000000000000003,3.33,
51,0.00010298293409749305,0.0007621391052847577,4.0200000000000005,92.07317073170732,-10.272360646676749,16.326055322226082,0.54,0.96,0.15,0.96,1.2,3.69
52,3.1746564427777293e-05,0.0009988151996683193,4.68,35.36585365853659,-3.6117561284894757,19538687.346053574,0.63,3.99,1.71,3.99,3.99,
142,9.646671370325959e-05,0.0011423862387502778,3.33,65.85365853658537,-2.3716362639215394,287.43027842209915,0.48,2.46,1.44,2.46,2.64,
143,5.2397326173506735e-05,0.0010087430029197043,4.62,84.14634146341463,-6.40072389228678,20.459554858997652,0.09,1.32,0.39,1.32,,
211,9.930480980714677e-05,0.0010651236696996023,4.89,71.34146341463415,4.58553216090859,264.86282994561105,0.32999999999999996,2.2800000000000002,0.45,2.2800000000000002,2.34,
275,3.2491212686116946e-05,0.0008287327655315384,4.68,75.0,-14.735616893359467,4523821.953833129,0.6,1.68,1.29,1.68,1.68,4.32
361,2.4364950879196206e-05,0.0008972959257421716,4.23,70.1219512195122,-7.043963262222707,520526151.5196521,0.84,2.04,1.53,2.04,2.04,4.0200000000000005
369,0.00010245026830739895,0.0014388148736987968,4.17,57.31707317073171,-1.059304343022921,2559.4250189751765,0.51,3.24,0.81,3.24,3.54,
390,6.932332113973518e-05,0.0006319771422328615,3.84,82.3170731707317,-7.557270041196318,12900.758663243494,0.48,1.47,0.93,1.47,1.35,3.45
