wave,excitation,A_T_max_5pct_median,A_T_max_5pct_std,A_T_max_5pct_pct_reached,A_E_max_mean,A_E_max_std,B_T_max_5pct_median,B_T_max_5pct_std,B_T_max_5pct_pct_reached,B_E_max_mean,B_E_max_std,C_T_max_5pct_median,C_T_max_5pct_std,C_T_max_5pct_pct_reached,C_E_max_mean,C_E_max_std,D_T_max_5pct_median,D_T_max_5pct_std,D_T_max_5pct_pct_reached,D_E_max_mean,D_E_max_std
Gaussian,R,2.55,0.9782760346650632,100.0,0.0006060290390029492,0.0005919846006342365,2.2800000000000002,1.0052137832322037,100.0,0.0007233621651881971,0.0006712622822332045,1.335,0.49409007276001815,100.0,0.000764161993887886,0.00044597545158136143,1.05,0.6433776107388257,100.0,0.0012135567202694025,0.0007644626055131843
Chirp,R,0.12,2.7755575615628914e-17,100.0,2029326308991750.5,6485431209355935.0,0.12,2.7755575615628914e-17,100.0,0.002388053401071763,0.001481239163485029,0.12,0.006538348415311011,100.0,0.0015168207165576265,0.0008255215224143668,0.12,0.2846484674119993,100.0,0.0015152522597103573,0.00101205529360761
Tanh shock,R,1.83,0.48167520176982326,100.0,136278696.68615252,592981852.8909342,2.955,0.44096938669254576,100.0,0.000579136613963298,0.00029930986682254277,1.605,0.4655585355248038,100.0,0.0005288468185354839,0.00011760206732063654,1.65,0.518757168625167,100.0,0.0007567536685464487,0.0003157565634822671
Filtered rand. walk,R,0.675,0.4163303976411043,100.0,33278561.540816862,145057634.0026605,1.815,1.0403513829471271,100.0,0.0010963677309756199,0.00044232437256082064,1.065,0.26696629000680966,100.0,0.0006527397790758445,0.00021215426583341286,1.71,0.5574755600024095,100.0,0.0009785534351654137,0.0005344210261914576
Sawtooth,R,1.47,0.5744745425168987,100.0,0.0037695656206960864,0.004513534107446145,1.98,0.9106606118637175,100.0,0.0008388190038955745,0.0004199706042294791,0.78,0.29277294957014044,100.0,0.0007421530513364359,0.00035485323263411225,1.185,0.33659879678929333,100.0,0.0009657359906868843,0.0007324324691388341
Sinusoids,R,0.12,0.006538348415311011,100.0,449260961377424.8,1419635478174340.0,0.12,0.006538348415311011,100.0,0.0022254562762619593,0.0012974073813122316,0.12,0.04576843890717708,100.0,0.001384899802561079,0.0007304546918017784,0.12,0.21562467391279694,100.0,0.0014615013662623215,0.000903854553453608
Gaussian,RL,0.96,0.39530336451894765,100.0,986.518100576154,3414.8568787269214,0.96,0.3600343733589892,100.0,0.0012432229839931161,0.000779220298563119,1.11,0.5060049406873416,100.0,0.0008453118225390929,0.0004635583131916533,1.02,0.5573786863524655,100.0,0.0012837005995466316,0.0007373070627625793
Tanh shock,RL,1.35,0.4609932212082949,100.0,214155246.023993,828137737.0884126,1.2,0.48155373531933066,100.0,0.0009359365970166174,0.0005571185642108706,1.59,0.4129878932850211,100.0,0.0005842491699141434,0.00010390749177889962,1.38,0.468372447951414,100.0,0.0008526839784808483,0.00032358740594506886
Filtered rand. walk,RL,0.585,0.3858937677651713,100.0,2871735.046643186,12500714.718292136,0.44999999999999996,0.666869365018367,100.0,0.0008146612063464068,0.00029888136782594025,0.84,0.22501999911119014,100.0,0.000579271752690055,9.606139990883981e-05,1.35,0.6053220217371909,100.0,0.0004762278429250276,0.0002206076156703394
Sawtooth,RL,0.7949999999999999,0.35160204777560666,100.0,25836660.093201354,96337520.2433124,0.72,0.5838912569991094,100.0,0.001209209657667408,0.0008372135982135112,0.75,0.2532247025864578,100.0,0.0006855237123736561,0.00035993331940063354,0.825,0.4528509688628258,100.0,0.0008968594180088227,0.0007086744369092728
Sinusoids,RL,0.12,2.7755575615628914e-17,100.0,261799638264779.56,770145338697780.9,0.12,2.7755575615628914e-17,100.0,0.00257063702179242,0.0015431122145636554,0.12,0.006538348415311011,100.0,0.0016325520260903532,0.000837885901274398,0.12,0.13120499228306826,100.0,0.00147354537686495,0.0008742281459084635
