traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.4088502008631418e-05,0.0004105217201054484,4.95,53.048780487804876,-0.42076160012532726,19512297.77857228,0.15,3.54,2.16,3.54,,
13,2.319520589217599e-06,0.0011226839490172018,4.14,44.51219512195122,-0.7783826949003589,,0.48,3.33,2.79,3.33,3.48,3.7800000000000002
39,2.2196836174496484e-05,0.0006887540440290618,3.9,51.829268292682926,-0.3693544911177458,62451493.49921887,0.15,2.7,2.4,2.7,,
49,5.241194788583295e-06,0.00032154312599935167,4.68,48.170731707317074,-5.307315797289333,,0.21,2.7600000000000002,2.61,2.7600000000000002,4.5,
57,5.003209499879509e-05,0.0010528575585060907,0.27,98.17073170731707,-67.11212515172423,-97.89375032482519,0.06,0.18,0.15,0.18,3.5100000000000002,
58,1.8102241394815074e-06,0.0006829450155376783,4.11,46.951219512195124,-2.074649250147711,,0.48,3.39,2.67,3.39,3.48,3.7800000000000002
104,3.1053822163659867e-06,0.00042595305946985804,4.95,44.51219512195122,-1.771732449312342,,0.36,3.0,2.7600000000000002,3.0,3.36,
108,3.0080156942574954e-05,0.0009407151247360873,4.95,66.46341463414635,-0.7707552366800666,1904759.3907068092,0.15,2.31,1.62,2.31,,
112,8.54545462556866e-06,0.00031759290238032287,3.87,51.829268292682926,-1.6534761631788335,80827745.69172019,0.15,2.7,2.4,2.7,,
136,1.8503636038370595e-05,0.0005777420274162949,3.81,56.09756097560975,-0.8693241541802276,12851699.288081875,0.15,2.4,2.1,2.4,,
179,3.102749563887001e-05,0.0010494595180355376,4.95,66.46341463414635,-0.4605238711654903,1744734.7147171814,0.15,2.2800000000000002,1.62,2.2800000000000002,,
183,6.0847448715863215e-06,0.0003426035960451049,4.17,47.5609756097561,-2.2348658709564413,,0.18,3.09,2.64,3.09,4.5600000000000005,
189,7.872729351388573e-05,0.0013622244695051223,0.27,98.17073170731707,-40.76978270627463,-95.48648138994032,0.06,0.18,0.15,0.18,4.95,
194,4.363588078359042e-05,0.0011342909474408203,4.86,70.1219512195122,-1.7426821915240653,77239.61924540374,0.15,1.98,1.41,1.98,,
195,2.485594765224219e-06,0.0001925896388975615,3.33,64.63414634146342,-4.922607790727966,,0.32999999999999996,2.34,1.62,2.34,3.06,3.42
196,2.1488069971120404e-06,0.0007071660793562945,4.05,38.41463414634146,-1.9377821068361303,,0.44999999999999996,3.33,3.0,3.33,3.42,3.84
197,2.228249140326163e-06,0.0008065334454251749,4.05,38.41463414634146,-1.884373174495837,,0.44999999999999996,3.3000000000000003,3.06,3.3000000000000003,3.45,3.7800000000000002
208,9.339756384396212e-05,0.001203466768375159,4.59,97.5609756097561,-41.529533490418274,-96.60396545114281,0.06,0.18,0.18,0.18,3.84,
217,2.1312783154653858e-05,0.00032581722704488035,4.7700000000000005,90.85365853658537,-6.795374055363929,3240.098787182857,0.12,0.54,0.45,0.54,,
225,2.5060094414236185e-05,0.0006062438162376964,4.86,71.34146341463415,-2.8972636731700385,138362.89315595757,0.12,1.83,0.87,1.83,,
229,0.00014737605374706602,0.002403238030958643,4.59,97.5609756097561,-10.490552913470024,-94.64383769652176,0.06,0.18,0.18,0.18,4.86,
258,2.1296302087947675e-05,0.000654281136717036,3.81,56.707317073170735,-0.7987805016287552,11830667.266207697,0.15,2.37,1.98,2.37,,
322,1.6521002113140087e-05,0.0005564221497264162,4.95,50.0,-0.6422140300953062,35526792.62666905,0.18,2.97,2.43,2.97,,
389,3.618914825170039e-05,0.0012607207820442253,4.95,73.78048780487805,-0.4511506287238978,4036.624884330642,0.12,1.77,1.23,1.77,,
426,0.0001936292198579902,0.0030263461617155143,4.5600000000000005,95.73170731707317,2.1618156656625978,-73.45922241362736,0.09,0.27,0.27,0.27,4.26,
447,6.718255706615415e-06,0.0004931398780341264,4.7700000000000005,42.073170731707314,-0.042334946530720216,2768749801.2433705,0.21,3.81,2.79,3.81,,
