traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,6.167247399243916e-06,0.00025372600471447395,4.71,29.26829268292683,-2.207127674360741,17973192.4299293,0.21,,3.09,,,
13,1.2789548407874112e-06,0.003491796958098974,4.23,45.73170731707317,0.11199841691827377,,0.32999999999999996,2.91,2.67,2.91,3.27,3.81
39,7.523272461251793e-06,0.0003599469411170362,4.65,19.51219512195122,-1.9930494018276195,54662975.27361441,0.3,,4.0200000000000005,,,
49,2.7606109867479607e-06,9.090550145155136e-05,4.7700000000000005,14.634146341463415,-1.2048863778222645,,0.18,,2.49,,,
57,4.0915616809067496e-05,0.0006383227442376433,4.5600000000000005,98.17073170731707,-31.68599216101701,-77.70619087336571,0.06,0.21,0.15,0.21,4.7700000000000005,
58,1.191250334357411e-06,0.0032242340460173816,4.11,49.390243902439025,0.14581990701647377,,0.48,2.64,2.5500000000000003,2.64,2.82,2.94
104,2.1931455450138885e-06,0.0004577017608845213,4.29,43.90243902439025,-7.753434044990635,,0.44999999999999996,4.05,2.82,4.05,4.41,
108,1.0587833581688481e-05,0.0002817149007333804,4.95,17.073170731707318,-1.555090648750927,890194.469884455,0.15,,3.5100000000000002,,,
112,3.362323712594908e-06,0.00017746784388146856,4.26,23.78048780487805,-3.2907034379510383,82225641.84976971,0.39,,3.75,,,
136,5.932984194048111e-06,0.00039584216479132293,4.32,26.21951219512195,-0.45153806294883886,9460414.456436027,0.21,4.05,3.54,4.05,,
179,1.211932371004741e-05,0.0003233425546618088,4.59,23.170731707317074,-2.058012498938772,855660.4079171377,0.15,,3.5100000000000002,,,
183,2.7234764667598265e-06,0.0001237169248052665,4.89,17.682926829268293,-0.9261240091578674,1946931229.9742768,0.18,,2.49,,,
189,4.387778467550394e-05,0.0011018576328857643,4.5600000000000005,96.95121951219512,-14.502695225817526,-76.21975505816671,0.06,0.21,0.15,0.21,,
194,1.0846210608994053e-05,0.000516702601961436,4.86,43.292682926829265,-0.08420861357568545,81999.02531874621,0.12,3.42,2.7,3.42,,
195,1.1688243479912734e-06,0.00038474071121839,4.95,50.609756097560975,-9.393565215628035,,0.15,3.0300000000000002,2.37,3.0300000000000002,3.6,4.92
196,1.4079001826905774e-06,0.0012523656260976122,4.74,51.21951219512195,-2.295715992706388,,0.48,2.61,2.46,2.61,3.18,4.59
197,1.3224172979837413e-06,0.005930256275939642,4.11,50.0,-27.65077219232435,,0.27,2.67,2.52,2.67,2.88,3.27
208,4.298980686358218e-05,0.0010002661788711094,4.59,97.5609756097561,8.58212262151927,-75.31833223544427,0.06,0.21,0.18,0.21,,
217,6.530652086089334e-06,0.0001822464512858203,4.92,70.1219512195122,-0.011702060585555694,3608.5559568438525,0.12,2.13,1.35,2.13,,
225,6.764228767704972e-06,0.0003131841886473059,4.83,45.1219512195122,-0.07861049129485462,76344.62849024856,0.12,3.42,1.95,3.42,,
229,0.00011091646363783499,0.0022557854064454196,4.5600000000000005,97.5609756097561,9.882805024439753,-74.76767204588572,0.06,0.33,0.15,0.33,,
258,6.783936706767559e-06,0.000441280630191217,4.5,25.609756097560975,-1.0486327788718386,8479102.353311924,0.3,4.23,3.54,4.23,,
322,7.788848818216258e-06,0.0003726152881911131,4.41,20.73170731707317,-2.1740536279881284,30840550.838531565,0.21,,3.96,,,
389,1.545830358609401e-05,0.0007235240247533696,4.92,60.97560975609756,-0.7494494983633958,4755.747959011543,0.09,2.85,1.68,2.85,,
426,7.772854357590786e-05,0.002109255282647158,4.68,86.58536585365853,0.13394998552373505,13.086469938894522,0.06,0.99,0.6,0.99,,
447,3.7631078830218906e-06,0.0007385672988382878,4.05,40.853658536585364,-3.65662054132315,2500710232.790135,0.18,3.87,2.79,3.87,4.5,
464,1.199796599673688e-06,0.000752432704960778,4.95,42.68292682926829,-1.371127293006437,,0.44999999999999996,4.23,2.49,4.23,4.68,4.92
477,1.562205172473877e-06,0.003923532406635504,4.95,42.68292682926829,-0.7204110985734372,,0.24,3.81,2.79,3.81,4.29,4.5
573,6.167498641097434e-06,0.0002153380963406874,4.74,60.97560975609756,-0.0799056175004403,1980203.7895280642,0.3,3.42,1.5,3.42,,
605,1.690429134749595e-06,0.0003078308806213826,4.47,45.1219512195122,-3.9724833080150086,,0.21,3.45,2.61,3.45,3.87,
609,1.2124471162589814e-06,0.004421879234903041,4.41,48.78048780487805,0.2015022457071554,,0.44999999999999996,2.73,2.5500000000000003,2.73,2.91,3.0300000000000002
623,1.4840832211299108e-06,0.0005044327254867823,4.95,45.1219512195122,-10.826337919223818,,0.27,3.63,2.61,3.63,3.72,
687,2.6408954665498763e-06,0.0004422815195935623,4.95,25.0,-0.7003775356667662,1191239673.4204755,0.3,4.38,3.15,4.38,,
698,9.273865746071218e-06,0.00027327957314340613,4.74,83.53658536585365,-1.22969998087864,28.978915849295554,0.09,1.3800000000000001,0.33,1.3800000000000001,,
709,1.1646298095162196e-06,0.003572951796544196,4.11,48.78048780487805,-0.03306252427364011,,0.51,2.7,2.58,2.7,2.85,2.97
711,2.3180569220191197e-05,0.0005963139009751703,4.29,75.0,-2.747932975860108,978.2104237858622,0.15,1.62,1.26,1.62,,
745,3.754070093784572e-06,0.00015933777675718056,4.59,1.829268292682927,-0.3363181834536259,107278516.02161567,0.15,,4.0200000000000005,,,
770,1.053336854780228e-06,0.0002572106580466897,3.5100000000000002,43.292682926829265,-5.999556183127535,,0.12,3.45,2.61,3.45,4.92,
815,1.5812239552406067e-06,0.0023241079842545387,4.83,38.41463414634146,-22.96353244508846,,0.3,3.5700000000000003,2.88,3.5700000000000003,3.69,4.47
824,5.851129405672781e-06,0.00027669070299866667,4.44,23.78048780487805,-1.8077754033605482,39498573.40192476,0.15,,3.66,,,
860,0.00010323266445540648,0.002592791939963949,4.65,93.90243902439025,-1.4192974495168373,-31.803000000063435,0.06,0.63,0.27,0.63,,
871,1.5683971763256537e-06,0.001885935860898017,4.62,34.75609756097561,-13.551442559668681,,0.18,3.69,2.91,3.69,3.81,4.47
876,4.623916986397051e-06,0.00022376079111011203,4.83,57.31707317073171,0.711386759829428,5683184.912954285,0.32999999999999996,2.4,2.0100000000000002,2.4,3.9,
891,3.6738762734071458e-06,0.000997734690644311,4.7700000000000005,20.121951219512194,-1.79685390018251,4866186877.482477,0.32999999999999996,4.26,3.87,4.26,4.41,4.86
899,2.2563674544792817e-06,0.00014555609229969065,4.95,49.390243902439025,-1.3255074499945243,,0.42,2.67,2.46,2.67,4.26,
910,8.011167481232657e-06,0.0002756273670275443,4.83,45.1219512195122,-0.029407080838075302,54876.21673458437,0.12,3.99,1.95,3.99,,
944,3.832273777891352e-05,0.001127633735768381,4.8,78.04878048780488,-0.44592010794153475,150.48352858999547,0.12,1.71,1.05,1.71,,
957,1.3002745979765531e-06,0.0065009035628964375,4.38,47.5609756097561,-10.909484836179836,,0.32999999999999996,2.79,2.64,2.79,3.0300000000000002,3.27
961,6.14356323155398e-05,0.0015830836495838224,4.65,90.85365853658537,3.3322674226187288,-44.83703656330985,0.06,0.78,0.48,0.78,4.08,
965,3.6703615050060043e-06,0.00038451151629713756,4.5,19.51219512195122,-0.23057609809091598,155599501.84041938,0.32999999999999996,4.5,4.0200000000000005,4.5,,
971,1.9841459015617846e-06,0.00024379097307444336,4.83,50.609756097560975,-6.1179881814933115,,0.3,2.97,2.31,2.97,4.3500000000000005,4.83
991,2.660263472315116e-06,0.0005592702281039552,3.87,21.951219512195124,-1.2072992338755495,,0.36,3.87,3.24,3.87,,
1030,7.134696558597611e-06,0.0001497105040505764,4.74,61.58536585365854,-1.3846162537264444,10957.486072662428,0.15,3.5700000000000003,1.59,3.5700000000000003,,
1047,2.1980062385268256e-06,0.0001527179575188069,4.95,45.1219512195122,-3.836535695455587,,0.36,4.26,2.46,4.26,4.44,
1072,4.562966638206821e-06,0.0001640728586030679,4.7700000000000005,51.829268292682926,-1.8559255288090106,34697.57920222795,0.12,3.54,1.95,3.54,,
1082,2.419744418580423e-06,7.436595209584125e-05,3.87,9.146341463414634,-0.4798963403638073,,0.18,,3.84,,,
1085,1.2137921496574226e-06,0.0054564200850409405,4.95,51.829268292682926,-69.00637805061024,,0.27,2.58,2.43,2.58,3.15,3.72
1087,1.8420354225159388e-06,0.004633056997346325,4.3500000000000005,45.73170731707317,-84.3942575692511,,0.27,3.0300000000000002,2.73,3.0300000000000002,3.93,3.99
1091,7.8736583518901e-06,0.00018228678091119474,4.95,76.82926829268293,-0.253005071803414,13018.880999684752,0.15,2.19,0.87,2.19,,
1110,1.1197114385755774e-06,0.00572076169794528,4.3500000000000005,47.5609756097561,0.05040037680900701,,0.48,2.7600000000000002,2.61,2.7600000000000002,2.91,3.0300000000000002
1118,1.2511396472289385e-06,0.005777084456418407,4.53,51.829268292682926,-43.42130088850868,,0.39,2.58,2.43,2.58,2.85,3.27
1178,3.0290734413302468e-06,0.00019670813345452085,4.7700000000000005,25.609756097560975,-2.8874184987095517,795432182.4953903,0.21,,3.36,,,
1186,2.5685124968497257e-06,8.507292362252335e-05,2.49,1.829268292682927,-0.6113934972798238,,0.18,,2.49,,,
1192,2.6437123779845882e-06,0.00043821174751965553,4.53,18.29268292682927,-1.0775829085335042,1795424745.3253286,0.3,4.32,3.81,4.32,4.5,
1197,8.998801547854534e-06,0.0004597831509803481,4.59,25.609756097560975,-1.9232351149005225,7290827.417999483,0.3,4.5600000000000005,3.5700000000000003,4.5600000000000005,,
1237,2.5641698429152966e-06,0.00036875799932811195,4.89,15.853658536585366,-1.2892412245900633,,0.32999999999999996,4.5600000000000005,2.5500000000000003,4.5600000000000005,4.62,
1280,1.1469746023556928e-06,0.0002259763763088861,4.3500000000000005,54.8780487804878,-14.994003428481689,,0.24,2.7600000000000002,2.19,2.7600000000000002,3.54,
1281,9.876312281165347e-07,0.0007239326574691393,4.05,51.829268292682926,-1.6444355159784791,,0.32999999999999996,2.73,2.43,2.73,3.3000000000000003,3.84
1334,2.637222962486646e-06,0.00039005379172361165,4.3500000000000005,29.26829268292683,-0.2316173452302818,,0.51,,3.3000000000000003,,,
1395,1.2246340803752331e-06,0.0009771731469799287,4.95,59.146341463414636,-28.19390980481563,,0.21,2.2800000000000002,2.07,2.2800000000000002,2.46,2.58
1412,4.2769022722218716e-05,0.0015288702949164113,4.71,84.7560975609756,-1.4428180683241014,-1.866040055038337,0.09,1.2,0.66,1.2,3.99,
1413,5.139643927356069e-05,0.0014843092419798529,4.7700000000000005,80.48780487804878,-3.6974767948821055,76.46311872120303,0.12,1.44,0.78,1.44,,
1422,1.7420626961080247e-05,0.0004326620801139713,4.71,91.46341463414635,-3.021559356709519,-8.504498756713122,0.09,0.96,0.42,0.96,,
1429,8.872379873828464e-06,0.0005094095575468379,4.86,40.24390243902439,-0.12045533817210344,86791.4936950524,0.12,3.42,1.98,3.42,,
1485,1.8120319873935009e-06,0.00102880100228422,4.44,35.36585365853659,-12.552202302874855,,0.48,4.23,2.85,4.23,4.29,
1499,1.9994806124315316e-06,9.956219975870744e-05,4.89,42.073170731707314,-1.2845315518614822,,0.44999999999999996,3.09,2.7600000000000002,3.09,4.47,
1565,2.60090505943261e-06,0.0008867743962566381,4.86,31.097560975609756,-1.769854007374349,,0.32999999999999996,3.93,3.42,3.93,4.41,4.86
1602,3.2495247807490487e-06,0.00024829043752687657,4.83,61.58536585365854,-0.05416572076805468,6371296.652254482,0.32999999999999996,2.07,1.86,2.07,2.5500000000000003,
1629,2.471468699110603e-06,0.0013760509006745696,4.89,39.02439024390244,-2.100151775529332,,0.24,4.32,2.52,4.32,4.41,4.65
1640,3.232129800721239e-06,6.758719885392262e-05,2.61,0.0,-0.38027444531189225,50922615.46488043,0.18,,,,,
1651,3.4785924738012357e-06,0.0012520629287174115,4.83,34.146341463414636,-1.661398459658848,9245326248.43621,0.36,4.5,3.3000000000000003,4.5,4.62,
1728,5.825570770735716e-06,0.0006434271421067806,4.92,26.21951219512195,-2.074865760349446,190521157.79743332,0.39,4.11,2.91,4.11,,
1732,4.580736760150585e-06,0.0001254338393467851,4.65,19.51219512195122,-2.037082419786025,10991904.664752819,0.21,,3.84,,,
1739,1.5404190625804156e-06,0.0014892112123757492,4.95,39.02439024390244,-0.18111017659289178,,0.42,3.69,2.79,3.69,3.9,4.5600000000000005
1750,3.998600956545847e-06,0.00016092133645932423,3.75,20.73170731707317,-0.12777778280069818,59614648.62855044,0.18,,3.69,,,
1797,2.6398549088809437e-06,0.00037921247955915484,4.71,18.902439024390244,-1.556445014887485,1300725140.174484,0.27,4.68,3.81,4.68,,
1813,4.118762031954725e-06,0.0008607916290495577,4.7700000000000005,23.78048780487805,-0.42573188579818166,1690028367.6914384,0.3,3.87,3.6,3.87,4.44,
1843,5.873551258573149e-06,0.0002861349697343596,3.87,26.21951219512195,-0.47125881488409405,11180003.066282513,0.15,,3.5700000000000003,,,
1854,2.6593014848634933e-06,0.00027769835380105925,4.89,15.853658536585366,-0.7170208551082634,2041739005.1395786,0.24,4.53,2.49,4.53,,
1859,1.2636914400086306e-06,0.004177460113947729,4.14,50.0,0.03278074038320432,,0.42,2.67,2.52,2.67,2.85,3.0
1863,1.761691342041407e-06,0.0001014968684145339,3.36,40.853658536585364,-2.1851194877410665,,0.39,3.12,2.58,3.12,3.18,
1875,1.001004940827186e-05,0.0005514307224050385,4.92,61.58536585365854,-0.6292541279706388,5167.545339217533,0.12,3.09,1.83,3.09,,
1877,3.69202701038194e-06,0.0029858319574788666,4.89,29.26829268292683,-1.7447041911967132,5401771722.159408,0.18,3.87,3.21,3.87,4.59,
1885,1.031147663672413e-06,0.0028636685284757213,3.87,51.21951219512195,-0.005233397736133561,,0.48,2.58,2.43,2.58,2.73,2.82
