=== beamsurrogate [run] run_id=p3_pinn_0 model=mlp regime=pushforward stabilizer=none dataset=simple features=['U'] ===
[mem] start: 0.58 Go
Loaded 2000 trajectories from /home/aph25/Code_GH/data/beam_dataset_simple.h5
Split distribution (from dataset):
  train : 1817 simulations (90.8 %)
  val   :   84 simulations (4.2 %)
  test  :   99 simulations (5.0 %)
[mem] after load_hdf5_dataset: 28.96 Go
[mem] after compute_norm_stats: 28.96 Go
MLP(
  (net): Sequential(
    (0): Linear(in_features=69, out_features=512, bias=True)
    (1): GELU(approximate='none')
    (2): Linear(in_features=512, out_features=256, bias=True)
    (3): GELU(approximate='none')
    (4): Linear(in_features=256, out_features=64, bias=True)
    (5): GELU(approximate='none')
    (6): Linear(in_features=64, out_features=2, bias=True)
  )
)
Parameters: 183,746
[mem] after make_dataloaders: 54.62 Go
[mem] after trimming df to test split: 28.18 Go
Epoch    1/100  --  data: 0.0110  |  pushforward: 0.3340  |  physics: 0.0000  |  comparable loss (val): 0.0069
Epoch    2/100  --  data: 0.0052  |  pushforward: 0.1576  |  physics: 0.0000  |  comparable loss (val): 0.0360
Epoch    3/100  --  data: 0.0047  |  pushforward: 0.1196  |  physics: 0.0000  |  comparable loss (val): 0.1329
Epoch    4/100  --  data: 0.0043  |  pushforward: 0.0955  |  physics: 0.0000  |  comparable loss (val): 0.0489
Epoch    5/100  --  data: 0.0046  |  pushforward: 0.0935  |  physics: 0.0000  |  comparable loss (val): 0.0724
Epoch    6/100  --  data: 0.0039  |  pushforward: 0.0747  |  physics: 0.0000  |  comparable loss (val): 0.0268
Epoch    7/100  --  data: 0.0037  |  pushforward: 0.0668  |  physics: 0.0000  |  comparable loss (val): 0.0162
Epoch    8/100  --  data: 0.0036  |  pushforward: 0.0631  |  physics: 0.0000  |  comparable loss (val): 0.0567
Epoch    9/100  --  data: 0.0037  |  pushforward: 0.0641  |  physics: 0.0000  |  comparable loss (val): 0.0173
Epoch   10/100  --  data: 0.0031  |  pushforward: 0.0508  |  physics: 0.0000  |  comparable loss (val): 0.0199
Epoch   11/100  --  data: 0.0030  |  pushforward: 0.0469  |  physics: 0.0000  |  comparable loss (val): 0.0128
Epoch   12/100  --  data: 0.0029  |  pushforward: 0.0460  |  physics: 0.0000  |  comparable loss (val): 0.0121
Epoch   13/100  --  data: 0.0026  |  pushforward: 0.0419  |  physics: 0.0000  |  comparable loss (val): 0.0067
Epoch   14/100  --  data: 0.0026  |  pushforward: 0.0409  |  physics: 0.0000  |  comparable loss (val): 0.0263
Epoch   15/100  --  data: 0.0024  |  pushforward: 0.0381  |  physics: 0.0000  |  comparable loss (val): 0.0302
Epoch   16/100  --  data: 0.0024  |  pushforward: 0.0370  |  physics: 0.0000  |  comparable loss (val): 0.0034
Epoch   17/100  --  data: 0.0026  |  pushforward: 0.0396  |  physics: 0.0000  |  comparable loss (val): 0.0123
