traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,8.075019841977614e-06,0.0036633894646788236,4.59,43.90243902439025,-0.1506709574228515,2980718.617556758,0.32999999999999996,3.87,2.52,3.87,4.17,4.26
13,1.327010919659309e-06,0.0006950262902403448,4.95,25.609756097560975,-0.8161051523836736,,0.39,4.38,3.0,4.38,,
39,8.44770212279312e-06,0.0005297122265319576,4.53,29.878048780487806,-0.9318873310744122,29552843.61024949,0.24,3.99,2.88,3.99,,
49,2.3027561462248756e-06,0.00034303437346684164,4.71,44.51219512195122,-4.909084082022945,,0.39,4.08,2.31,4.08,4.26,
57,3.9779200564247136e-05,0.0007194294939799299,3.12,97.5609756097561,-55.43922040020849,-91.77906063829195,0.06,0.21,0.15,0.21,4.95,
58,1.2082253147258594e-06,0.0004755918114202064,4.95,37.19512195121951,-10.7596499522969,,0.39,3.45,2.94,3.45,3.54,
104,1.969541081378073e-06,0.0012259575595584377,3.5100000000000002,48.170731707317074,-1.9762651252429764,,0.39,2.94,2.61,2.94,3.27,3.45
108,1.45304156991502e-05,0.0007120824784265546,4.95,52.4390243902439,-0.23572777636142597,525348.8564728926,0.15,3.54,1.98,3.54,,
112,5.186388018845878e-06,0.0002626072665629646,4.41,32.926829268292686,-0.4786758007734646,61032335.966857575,0.18,3.93,2.16,3.93,,
136,8.914318222513915e-06,0.0004526460191798202,3.87,42.073170731707314,-0.18978695440933532,2222943.114456089,0.15,3.81,2.04,3.81,,
179,1.462657143316307e-05,0.0008053406939122149,4.95,51.829268292682926,-0.30752294283075443,496417.8703618725,0.12,3.5100000000000002,1.86,3.5100000000000002,,
183,2.5623314209957496e-06,0.0003354525156309897,4.71,48.78048780487805,-5.066791299932743,1617990347.631514,0.42,4.23,2.31,4.23,4.3500000000000005,
189,6.64928174940294e-05,0.0012180175274865675,4.5600000000000005,97.5609756097561,-28.69577930334042,-89.2879975012017,0.06,0.21,0.15,0.21,4.7700000000000005,
194,1.7739599770983144e-05,0.0005687484489178764,4.83,48.170731707317074,-0.8879825204758741,71152.16568982558,0.12,3.6,1.68,3.6,,
195,1.077167115168343e-06,0.0003636199361037181,2.73,54.26829268292683,-4.707090553179329,,0.24,2.49,2.31,2.49,2.7,3.5700000000000003
196,1.319578970367077e-06,0.004278519346757046,4.95,36.58536585365854,-79.17049519183264,,0.39,3.21,3.0,3.21,3.5700000000000003,3.69
197,1.2758588878506534e-06,732701779891.9147,4.95,38.41463414634146,-1.961574589270546e+16,,0.03,3.21,2.91,3.21,3.5700000000000003,3.6
208,7.241728248273731e-05,0.0010378556731984773,4.59,96.95121951219512,-3.0988000304472707,-89.93760637100594,0.06,0.21,0.21,0.21,,
217,1.5056740816151094e-05,0.00029697566640414443,3.48,88.41463414634147,-3.807265707181574,2917.7496434106447,0.09,1.3800000000000001,0.39,1.3800000000000001,,
225,1.189029807797518e-05,0.0004298766152358081,4.86,69.51219512195122,-0.3376208894535728,64470.82794377686,0.12,2.22,1.26,2.22,,
229,0.00011898209079767338,0.002272697572061882,4.5600000000000005,95.73170731707317,9.404148379479302,-84.28485378409461,0.06,0.27,0.27,0.27,,
258,8.695913728879845e-06,0.0004673298713228852,3.87,40.853658536585364,-0.389865180932024,2419903.972927519,0.15,3.81,2.04,3.81,,
322,8.239909045558275e-06,0.00041648177426286456,3.93,30.48780487804878,-1.3949551154913693,10228402.909970975,0.15,,1.98,,,
389,2.524830204392904e-05,0.0009327019648306071,4.92,71.95121951219512,-0.05830609304289142,4388.189266337145,0.09,2.07,1.23,2.07,,
426,9.144471864587374e-05,0.002597310048502766,4.68,87.8048780487805,0.7952498058392502,-41.78727995699009,0.06,0.87,0.27,0.87,,
447,4.146117255078066e-06,0.0007580501077412904,4.59,37.19512195121951,-2.380797500765194,2729640420.224266,0.44999999999999996,4.3500000000000005,2.91,4.3500000000000005,4.44,
464,1.1354876164679977e-06,1.386820976483304e+24,4.95,35.36585365853659,-5.3450938269888696e+28,,0.06,3.24,3.24,3.24,3.45,3.54
477,1.711535782039593e-06,0.0007356213972571613,4.95,29.26829268292683,-1.6716799193846898,,0.18,4.86,3.12,4.86,,
573,4.976106602637201e-06,0.00020237952872893664,4.59,59.75609756097561,0.5372786697220936,665624.9734804587,0.21,2.7600000000000002,1.6500000000000001,2.7600000000000002,,
605,1.4778333506619464e-06,0.000343611740396385,4.95,47.5609756097561,-3.451053493555846,,0.27,2.7,2.49,2.7,4.38,4.7700000000000005
609,1.170644995480993e-06,0.0004926561605563509,4.59,26.21951219512195,-1.0298912560492484,,0.32999999999999996,3.99,3.21,3.99,,
623,1.2618275846634502e-06,0.0002817954081241221,4.41,37.80487804878049,-6.05792078201876,,0.21,4.08,2.67,4.08,,
687,4.534448544063643e-06,0.0004328205752204095,4.89,31.097560975609756,-3.1064150745246004,1235437986.6036339,0.42,4.38,2.46,4.38,,
698,1.5648105023779637e-05,0.0002272533783702606,3.33,94.51219512195122,2.685120018025347,25.137706328101956,0.09,0.33,0.27,0.33,,
709,1.2597029275553048e-06,0.0006407829940382492,4.05,42.68292682926829,-13.53585277163085,,0.36,3.0300000000000002,2.85,3.0300000000000002,3.39,3.87
711,3.6097896736939794e-05,0.0009889873112705716,4.86,81.09756097560975,-0.36014479157193563,632.8366392763761,0.09,1.56,0.93,1.56,,
745,6.1958153735655036e-06,0.0003697164441078351,4.59,39.63414634146341,-1.2818082278171998,90342412.42355898,0.3,4.14,2.52,4.14,,
770,1.1563187627709263e-06,0.0016581116321387648,4.89,39.63414634146341,-4.1422296054982075,,0.06,3.81,2.82,3.81,3.81,4.89
815,1.609958494706606e-06,0.0011277201195633252,4.95,32.926829268292686,-2.118505994206138,,0.15,4.86,2.73,4.86,4.89,
824,7.926645771950774e-06,0.0003444844781325157,3.93,44.51219512195122,-0.5137961532202346,20705819.401968673,0.15,,2.1,,,
860,0.00011960088110312233,0.0025697803394491322,4.65,95.73170731707317,-2.4974717215233415,-55.61922451786235,0.06,0.51,0.21,0.51,,
871,1.600277096473585e-06,0.00189418734371112,4.95,32.926829268292686,-1.7530219051791776,,0.12,4.8,2.73,4.8,4.83,4.89
876,3.6545513252231623e-06,0.00012155212229652884,4.95,62.19512195121951,-2.0395504569193776,6163963.149256093,0.15,2.22,1.6500000000000001,2.22,,
891,3.722701516629896e-06,0.0028079127048277874,4.95,33.53658536585366,-1.635722376094309,5747587967.070766,0.27,4.44,2.5500000000000003,4.44,4.5600000000000005,4.68
899,1.7045397181864421e-06,0.00012750154418032518,4.41,41.46341463414634,-3.873640144200901,,0.36,4.11,2.85,4.11,4.29,
910,1.2006786872493889e-05,0.0004230663660661229,4.86,68.90243902439025,1.0042228000861448,49719.84646627973,0.12,2.19,1.26,2.19,,
944,5.179083914120329e-05,0.0015804590779123881,4.8,79.8780487804878,0.45632672205720054,56.80104112907452,0.09,1.23,0.84,1.23,,
957,1.3169918456514793e-06,0.0005299945421583965,4.47,21.341463414634145,-0.8921105462403892,,0.27,3.99,3.75,3.99,,
961,7.71259136668292e-05,0.0014672825274518893,4.65,96.34146341463415,3.3997226315197064,-54.966648510597985,0.06,0.63,0.21,0.63,,
965,6.2883748613122485e-06,0.0004291806236427645,4.83,37.19512195121951,-1.9186557991392053,127327451.10169418,0.27,4.05,2.85,4.05,,
971,1.6942662753465485e-06,0.0012109877866092384,4.89,55.48780487804878,-5.775219893767935,,0.3,2.61,2.19,2.61,3.0,4.5
991,2.9904209688236235e-06,0.0003682746376097146,4.89,14.634146341463415,-2.187031198728298,,0.21,,2.61,,,
1030,6.422932372231583e-06,0.00021730678654747235,4.8,67.07317073170732,-3.4804558773254053,11143.517397518373,0.15,1.98,1.44,1.98,,
1047,1.6947150573808556e-06,0.00020720681703386562,4.86,53.65853658536585,-7.136683074343247,,0.36,2.43,2.0100000000000002,2.43,4.32,
1072,7.2482555571310345e-06,0.00024343543375021507,3.5700000000000003,63.41463414634146,-0.41926598008671456,25958.74039372087,0.12,3.33,1.53,3.33,,
1082,2.0628525421474843e-06,0.00028870366677300526,4.7700000000000005,46.951219512195124,-3.809788062038637,,0.39,4.08,2.31,4.08,4.23,
1085,1.127854792731663e-06,0.00797650720334063,4.83,41.46341463414634,-204.88993188124172,,0.09,3.5100000000000002,2.79,3.5100000000000002,3.69,3.84
1087,1.4313012799487678e-06,0.00022001281066736647,3.99,37.19512195121951,-8.502790617188127,,0.3,,2.61,,,
1091,6.035079194869771e-06,0.00016682781832037732,4.8,72.5609756097561,0.22841906451934552,12016.907697092289,0.12,1.98,1.35,1.98,,
1110,1.2285823520895694e-06,0.0004956208010503198,3.99,37.19512195121951,-7.267797504335019,,0.32999999999999996,3.45,3.0,3.45,3.45,
1118,1.1410416442694503e-06,0.0003386340157340539,4.83,31.097560975609756,-2.0805333217423043,,0.42,4.83,3.0,4.83,,
1178,3.932510788685588e-06,0.0005282645905892245,4.65,45.73170731707317,-2.0309443453140705,668833615.2661445,0.44999999999999996,4.14,2.64,4.14,4.29,
1186,2.3380618495749068e-06,0.00038964655093967464,4.71,51.21951219512195,-4.946004744238331,,0.42,2.88,2.31,2.88,3.5100000000000002,4.47
1192,3.635249951761917e-06,0.001316523314014441,4.95,43.292682926829265,-3.2757077426915426,1632820915.7887442,0.42,4.23,2.7600000000000002,4.23,4.32,4.5
1197,8.928306449764488e-06,0.0005246136869112138,3.84,35.36585365853659,-1.2591854324427292,3849993.534464018,0.15,3.81,2.04,3.81,,
1237,3.0596849753158755e-06,0.002479505174493063,4.95,41.46341463414634,-2.626285715649409,,0.18,4.5600000000000005,2.5500000000000003,4.5600000000000005,4.59,4.8
1280,1.0880784632500688e-06,0.0008112690162046291,4.95,49.390243902439025,-5.890279483185434,,0.15,2.67,2.5500000000000003,2.67,3.48,4.8
1281,1.3169231144816437e-06,0.000369708239581254,3.15,42.68292682926829,-10.555466208070587,,0.21,3.0,2.79,3.0,4.05,
1334,2.564908554706108e-06,0.0032462361855775017,4.95,28.048780487804876,-2.3845985754884915,,0.24,4.5600000000000005,2.67,4.5600000000000005,4.65,4.7700000000000005
1395,1.0204360923994337e-06,0.0007705392421351488,4.95,55.48780487804878,-4.712897725825137,,0.36,2.31,2.25,2.31,2.58,3.3000000000000003
1412,5.144785243445864e-05,0.0013678485433190131,4.71,87.8048780487805,1.7612516376876828,-27.72529483333593,0.06,0.9,0.5700000000000001,0.9,,
1413,8.206785372445433e-05,0.002139117783457799,4.65,85.36585365853658,-0.06830580609484017,5.450782952011124,0.09,1.05,0.78,1.05,,
1422,1.832648223285348e-05,0.00038712560271260323,4.71,93.90243902439025,0.5287090879738335,-34.20253089036327,0.06,0.27,0.27,0.27,4.95,
1429,1.472219028378163e-05,0.0005629428414736818,4.86,65.85365853658537,-0.38135481248169584,81794.17056722436,0.12,3.42,1.41,3.42,,
1485,1.8744442799817281e-06,0.004714489273298848,4.95,45.73170731707317,-5.308025613692058,,0.21,3.75,2.61,3.75,4.68,4.8
1499,1.489069460476074e-06,0.00017672036446872354,4.86,59.75609756097561,-8.82861109020824,,0.32999999999999996,2.37,1.8900000000000001,2.37,3.0,
1565,3.128647747815353e-06,0.0004825540319084551,4.95,21.951219512195124,-1.1237608171740991,,0.18,4.59,2.5500000000000003,4.59,4.83,
1602,3.089333058005417e-06,0.00011711509388481647,3.63,68.29268292682927,0.4693316141288028,9295111.546262763,0.18,2.07,1.47,2.07,,
1629,2.3028710804982317e-06,0.0003387575925518163,4.89,49.390243902439025,-3.4404792793236636,,0.42,2.91,2.5500000000000003,2.91,3.18,
1640,4.867816247527594e-06,0.00025610882102434737,4.53,31.097560975609756,-0.415326369803307,39903683.45907337,0.21,3.93,2.16,3.93,,
1651,3.489707766368489e-06,0.0005966818728398182,4.83,34.146341463414636,-2.4887394168728343,6241797119.819422,0.32999999999999996,4.5600000000000005,3.12,4.5600000000000005,4.65,
1728,7.3038766799992925e-06,0.0007458541270427646,4.53,23.78048780487805,-2.9801263894151946,173737440.64536446,0.42,4.05,3.63,4.05,4.29,
1732,6.313527780655958e-06,0.00030764888554440863,3.84,46.34146341463415,0.07192789861378285,3528554.652671336,0.15,3.5700000000000003,1.98,3.5700000000000003,,
1739,1.6531481589901706e-06,0.0007409941314367526,4.95,31.097560975609756,-1.958127256203384,,0.15,4.8,2.79,4.8,4.95,
1750,6.3866173159227715e-06,0.00036702909002583016,4.47,31.70731707317073,-0.16982342159383396,42342787.27554603,0.21,3.9,3.0,3.9,,
1797,4.362918561657607e-06,0.00047995157180035354,4.41,34.146341463414636,-3.430513726220391,1330957933.0256917,0.44999999999999996,4.32,3.09,4.32,4.41,
1813,4.95682154101263e-06,0.0007080651805174616,4.7700000000000005,35.36585365853659,-3.2463690642206875,1835114712.5750108,0.39,4.32,3.06,4.32,4.44,
