traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,8.3811439454391e-06,0.0004971332813788464,4.62,42.073170731707314,1.4014955906690287,2566.057108867402,0.36,3.66,1.83,3.66,4.59,
13,7.709461606094721e-06,0.0005350774811647601,4.95,23.170731707317074,-2.013538109140652,73699242.88400644,0.12,4.92,3.5100000000000002,4.92,,
39,2.1558569417629062e-05,0.0006443623832206352,3.7800000000000002,52.4390243902439,-1.9352025908917847,17981.023310337383,0.12,3.33,1.59,3.33,,
49,2.9454292500950094e-06,0.0001103926151713756,3.93,15.853658536585366,-0.7531572595445867,,0.21,,3.87,,,
57,3.954361578327022e-05,0.000532619615637838,4.5600000000000005,98.78048780487805,8.353978069188221,-78.85249439737545,0.06,0.15,0.12,0.15,4.89,
58,1.924996416553007e-06,0.00018261137800779786,4.47,6.097560975609756,-3.0824782599533926,,0.3,,4.3500000000000005,,,
104,7.172803732200862e-06,0.000287853564255942,4.95,14.024390243902438,-0.44102507872662716,4911.713526158722,0.24,4.89,4.23,4.89,,
108,1.3762213837383525e-05,0.0011929237448713363,4.3500000000000005,52.4390243902439,1.2713748263634437,1202.2958540668917,0.54,2.85,2.1,2.85,4.05,4.26
112,6.905322805524454e-06,0.0004044091003756559,3.7800000000000002,61.58536585365854,-9.520233238674724,18945.842206582885,0.54,3.36,1.95,3.36,4.08,
136,2.654170313170219e-05,0.0007566985733617614,4.89,43.90243902439025,6.809509313232337,266.2434222840149,0.27,3.75,2.25,3.75,,
179,1.7693496673970887e-05,0.0006811726332122507,4.95,52.4390243902439,-1.4515833768981001,887791.7039341504,0.12,3.48,2.07,3.48,,
183,7.123441949232221e-06,0.00030706949469005323,4.05,56.09756097560975,-8.330511511074398,721667.9348454253,0.51,2.7,2.07,2.7,4.29,
189,7.65890610321755e-05,0.0010814962449939936,4.65,96.34146341463415,11.27196886141631,-40.60454281778204,0.06,0.21,0.21,0.21,,
194,4.705097357659644e-05,0.00136031276170415,4.95,51.829268292682926,7.532409122647738,170.06422463540517,0.36,3.54,0.39,3.54,,
195,7.329875811546293e-06,0.0003083131973101638,4.41,59.75609756097561,13.661206527017892,540.6921297622209,0.51,2.94,1.95,2.94,3.87,
196,1.3196798366387481e-05,0.0005540796118214918,4.47,22.5609756097561,-5.428400167028793,797.4490760116278,0.36,,3.48,,,
197,1.4920770627751795e-05,0.0008349275175822167,4.7700000000000005,17.073170731707318,-7.199104613788259,1700.8807558026153,0.39,4.68,4.14,4.68,4.62,
208,3.7043185451289603e-05,0.0010550554018196956,4.59,95.1219512195122,-14.257098384575851,-89.78853843507198,0.06,0.27,0.21,0.27,,
217,1.658805792565058e-05,0.00041947190126108685,4.86,60.97560975609756,8.383100561480287,35.34896661215044,0.12,0.33,0.33,0.33,,
225,2.182457242597641e-05,0.0007214786015854718,4.95,36.58536585365854,7.071245899423324,182.22053133575304,0.24,4.08,0.39,4.08,,
229,0.00014987348513211717,0.0018441164989585475,4.5,96.34146341463415,13.903282064328483,-49.10050046903772,0.06,0.15,0.15,0.15,,
258,1.3463172794962014e-05,0.0004915308767514416,3.63,52.4390243902439,-0.9695146225313165,12232047.905684736,0.15,3.54,2.13,3.54,,
322,1.2956682613708528e-05,0.0005177963419466906,3.69,49.390243902439025,-0.39174306835348105,38835912.37945714,0.18,3.63,2.43,3.63,,
389,5.328408081840999e-05,0.0011928917689971001,4.86,53.048780487804876,7.1285342288834475,69.32205359615635,0.18,0.33,0.33,0.33,,
426,0.0001206719976454958,0.002480654405065419,4.68,94.51219512195122,-0.9023801221259866,-15.30426147023364,0.06,0.39,0.33,0.39,,
447,1.937566195082056e-05,0.0009740937746614949,4.89,23.78048780487805,-1.3910814146971615,338.28763946173666,0.3,4.8,3.09,4.8,4.8,
464,1.1469970229947675e-05,0.0008608346751427147,4.74,20.121951219512194,-13.794550524771532,1901.8607488754935,0.51,4.3500000000000005,3.33,4.3500000000000005,4.41,
477,9.713539253415511e-06,0.0005365754539804011,4.8,29.878048780487806,-4.142468209596234,34623502.88829437,0.18,4.74,3.27,4.74,,
573,7.302526981968886e-06,0.0002929035764179995,3.5700000000000003,64.63414634146342,-13.221968554141833,920.5605751855966,0.15,2.07,1.71,2.07,3.75,
605,9.9595413052969e-06,0.00024374233960052915,4.38,29.26829268292683,0.9791645201130507,415.69476306161715,0.21,,2.97,,,
609,1.587543807492202e-05,0.0011878878885635703,4.8,15.853658536585366,-6.2290863924603475,1774.9667567208392,0.39,4.65,4.2,4.65,4.62,
623,1.687811140289427e-05,0.00035570184767517044,4.5,32.926829268292686,-2.576860623024646,1126.0230376418729,0.84,,2.46,,,
687,5.024547632752702e-06,0.0002625750018698965,3.99,20.73170731707317,-1.4319007163258275,1549615744.158589,0.21,,3.9,,,
698,1.5835008654957735e-05,0.0003947079380782263,4.41,68.90243902439025,4.198828273042923,51.29308879366182,0.21,1.95,1.5,1.95,3.5100000000000002,
709,4.7970458731373835e-06,0.00028930292930506906,4.92,8.536585365853659,-0.9049352398484009,85899807.7435015,0.12,,3.48,,,
711,5.1730157180464615e-05,0.0006505134623038824,4.41,23.170731707317074,4.3902294752953495,209.38497354536287,0.12,4.41,1.53,4.41,,
745,2.1227178959014398e-05,0.00039313839632879434,4.71,10.975609756097562,-0.5315486714775578,285.5534341163966,0.15,,3.87,,,
770,8.187858931352746e-06,0.0005115138656930592,4.71,27.4390243902439,-12.485533456932547,1876.0754120662768,0.57,4.29,3.06,4.29,4.32,
815,1.7851886957693986e-05,0.000840031938331913,3.93,28.048780487804876,-3.505669208799946,649.0789676509982,0.36,,3.33,,4.92,
824,8.993883659533914e-06,0.0004264923909604152,3.69,48.78048780487805,-0.4380595456839184,45140981.2103486,0.18,3.63,2.46,3.63,,
860,0.0001565664915407868,0.002633333871778808,4.59,87.1951219512195,12.727728297487442,-34.55346656716083,0.09,1.6500000000000001,0.15,1.6500000000000001,,
871,1.7634345041426577e-05,0.00080922909037076,3.93,26.829268292682926,-3.8083086640783703,656.4745984821283,0.36,,3.33,,4.92,
876,4.496457583364314e-06,0.00022267358010225893,4.44,61.58536585365854,-0.6047072750739974,1359.2052587481066,0.51,3.21,1.47,3.21,4.05,4.29
891,2.4872299254122854e-05,0.0009763554575288394,4.26,26.21951219512195,4.065514025711072,509.87029994643433,0.54,4.26,2.7600000000000002,4.26,,
899,4.6341077933245195e-06,0.00021942397502080775,4.86,65.85365853658537,-7.795747015864265,228214.69002024198,0.18,2.04,1.6500000000000001,2.04,4.2,4.5600000000000005
910,1.039442937394887e-05,0.00045973984063380716,4.86,61.58536585365854,-2.1907816599056993,37694.02466049153,0.12,3.36,1.8,3.36,,
944,4.554290405636119e-05,0.0015629561885203685,3.69,85.36585365853658,2.576386161873509,329.75672824221164,0.32999999999999996,1.92,0.78,1.92,3.5700000000000003,3.84
957,6.8654424548864644e-06,0.0004919017059785962,4.95,21.951219512195124,-2.005795915307768,69628547.06072141,0.12,4.89,3.5100000000000002,4.89,,
961,5.397849456265933e-05,0.0015357101181835543,4.65,93.29268292682927,-7.572370547706722,-68.08819551005509,0.06,0.33,0.27,0.33,,
965,7.191623634640719e-06,0.0003575086812796918,3.7800000000000002,43.90243902439025,-0.7925909169937017,182270683.7749332,0.21,,2.79,,,
971,7.483464499664385e-06,0.0004610300211828845,4.23,38.41463414634146,2.17598725741131,377.4131536679741,0.32999999999999996,3.75,2.16,3.75,3.81,
991,6.742449513440201e-06,0.0004541803648447117,4.95,25.0,-0.5382198204187622,4925.186244488687,0.75,4.95,2.5500000000000003,4.95,,
1030,1.3805757008870654e-05,0.000405481820090743,4.59,62.80487804878049,3.859403491473188,206.70361503489013,0.42,2.94,1.56,2.94,3.75,
1047,7.454202348161965e-06,0.0004329655623632777,4.14,46.34146341463415,2.3671262844062824,265.78569269043965,0.32999999999999996,3.54,1.77,3.54,3.72,
1072,7.038782833730626e-06,0.0003500856344859775,4.83,63.41463414634146,-1.6883976218406032,29010.549585250163,0.12,2.0100000000000002,1.77,2.0100000000000002,,
1082,3.028210856857704e-06,0.00014790880645644392,3.9,48.170731707317074,-0.3418739762504326,,0.24,3.87,2.31,3.87,,
1085,1.1932788356614021e-05,0.0008811269912011744,4.71,18.902439024390244,-12.52057619320918,1832.7109773068544,0.48,4.38,4.05,4.38,4.44,
1087,2.294325746455872e-06,0.00014883563790374886,4.17,7.926829268292683,-3.3828130010268667,,0.39,,3.27,,,
1091,6.5127910893033715e-06,0.0003085038957410518,4.8,70.73170731707317,-4.798790533926756,8496.560150720812,0.12,1.92,1.47,1.92,4.29,
1110,4.776685000427759e-06,0.00029765430128962027,4.92,6.7073170731707314,-0.03650833150318306,92078979.71179272,0.12,,3.6,,,
1118,4.745488310940604e-06,0.00033681263950136996,4.89,14.024390243902438,-1.4499139801798226,61033028.82162937,0.18,4.89,3.3000000000000003,4.89,,
1178,1.247307243700527e-05,0.00041585420727741377,4.89,18.29268292682927,4.5578199691052745,414.1262610789348,0.39,,2.61,,,
1186,6.387497855607761e-06,0.00015886918846778818,4.95,18.902439024390244,0.2394110545042149,4290.026362106071,0.09,4.92,3.69,4.92,,
1192,1.5190150105142243e-05,0.0006336148370756098,4.8,17.682926829268293,-2.187359426365375,353.3445973896107,0.39,4.7700000000000005,3.27,4.7700000000000005,4.74,
1197,1.537904341694552e-05,0.0005063671747512271,3.6,50.609756097560975,-0.9629791314084502,11165301.601809949,0.15,3.54,2.37,3.54,,
1237,3.1969533715825295e-06,0.00023012361987626733,4.41,14.634146341463415,-4.005253671095698,,0.36,,4.26,,,
1280,3.076654686904731e-06,0.00014501748007824067,3.18,57.31707317073171,-5.126346338085947,12097853.770791082,0.24,2.34,2.16,2.34,4.7700000000000005,
1281,1.0149931085494538e-05,0.0002677109421081222,4.08,26.829268292682926,-1.2416641628518303,716.1474121868254,0.3,,3.33,,,
1334,1.9851024583874653e-05,0.001323161953880736,4.95,32.31707317073171,-1.871626071667373,386.4929842387935,0.39,3.69,3.3000000000000003,3.69,4.8,
1395,2.0345054899420066e-06,0.00013516301553105262,4.08,52.4390243902439,-1.1720377112085756,,0.24,2.7,2.31,2.7,3.6,
1412,4.422185075035426e-05,0.0014246775540418448,4.71,89.02439024390245,-9.424228809749374,-23.175559400425712,0.06,0.39,0.39,0.39,,
1413,0.00011786795596742355,0.001960309627368005,4.71,70.1219512195122,9.392916239154497,84.2311245429281,0.15,2.94,1.3800000000000001,2.94,,
1422,2.1429311741846954e-05,0.0003716526692307085,4.65,89.02439024390245,11.660128537247052,-3.4705159907063177,0.09,0.5700000000000001,0.21,0.5700000000000001,,
1429,1.4446805303431856e-05,0.0008611972682477022,4.89,43.90243902439025,1.956018982446276,1078.2733561745465,0.57,1.41,1.23,1.41,3.96,4.2
1485,6.247113426521252e-06,0.00030680817952595096,2.85,9.75609756097561,0.7415660939569402,3594.0573462993266,0.8099999999999999,,2.85,,,
1499,6.524875473026448e-06,0.0002782387995813064,4.23,60.97560975609756,2.2374598053675694,211.48581714164914,0.78,3.27,1.68,3.27,3.36,4.0200000000000005
1565,1.1878938712309107e-05,0.0004815789246395022,4.23,32.31707317073171,-4.472440383193897,2430165.741906905,0.21,4.17,2.79,4.17,,
