traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.6673958378939598e-05,0.0005359171125659118,4.65,56.707317073170735,-3.0484387407666307,2438.0721766851316,0.24,3.5100000000000002,1.83,3.5100000000000002,,
13,1.568954698497602e-05,0.0009147803046870502,4.71,59.146341463414636,0.7914464791504113,46126364.350965224,0.6,2.52,1.98,2.52,2.34,
39,3.644349661259904e-05,0.0009724053332150293,4.95,72.5609756097561,-3.0173550400689457,16480.243011918963,0.39,2.25,1.32,2.25,4.5600000000000005,
49,8.398815217439523e-06,0.00015036933401768398,4.95,35.97560975609756,-2.7926446387395014,,0.27,,1.62,,,
57,5.8257530861858705e-05,0.0005728967571906524,4.5600000000000005,98.78048780487805,26.21838049155902,-75.05982088073532,0.06,0.18,0.12,0.18,,
58,2.7042120231762116e-06,0.000531876822020926,4.89,27.4390243902439,-2.6790312906852813,,0.36,4.53,2.46,4.53,4.59,
104,8.516682993679236e-06,0.000332431943290534,4.17,35.36585365853659,-0.05173565608448561,5282.611597887449,0.63,3.75,2.67,3.75,3.99,
108,2.7625684178691126e-05,0.0007866301703605642,4.89,59.75609756097561,-0.5247381422461667,1961.6130127557285,0.21,3.6,1.74,3.6,,
112,2.5366203226026828e-05,0.0002829371461651013,4.95,81.70731707317073,-9.860986651348929,13642.348974585448,0.15,1.8,0.84,1.8,,
136,4.5262889233912593e-05,0.001152671677171446,4.7700000000000005,31.70731707317073,1.211652968196399,428.03803593986237,0.51,3.75,1.35,3.75,4.23,
179,4.619451791434554e-05,0.0007399142594016542,4.95,71.95121951219512,-0.39603754135494373,1131790.1861022974,0.21,1.95,1.2,1.95,,
183,1.7048353235824065e-05,0.0002380619577786367,4.95,72.5609756097561,-8.486905496835323,1101171.5017870276,0.39,3.69,1.2,3.69,,
189,7.511039198253106e-05,0.001036146586704491,4.7700000000000005,92.6829268292683,7.0299710839675225,-15.693047971407283,0.09,0.39,0.15,0.39,,
194,6.383249084686736e-05,0.0010808626144844257,4.71,46.34146341463415,3.303814851241989,235.39585973032868,0.21,3.54,1.56,3.54,,
195,9.650798888552463e-06,0.00032920046935560335,4.86,48.78048780487805,1.4001312101736099,1077.1014608264325,0.36,4.38,1.71,4.38,4.5,4.8
196,2.4231325066788705e-05,0.0013521961476670886,4.95,31.097560975609756,0.4744476527773429,829.7579736157809,0.42,3.75,3.33,3.75,3.66,
197,2.7876504911552715e-05,0.0006727500792466689,4.92,5.487804878048781,3.7630348190865472,1645.981071807548,0.54,,4.71,,,
208,4.377755785060919e-05,0.0009216911829000169,4.59,96.95121951219512,2.891322874807536,-80.43236730646099,0.06,0.21,0.21,0.21,,
217,2.3107961645003463e-05,0.00020509391130385394,4.71,68.29268292682927,5.039566835605175,124.08097421480352,0.44999999999999996,0.33,0.33,0.33,,
225,3.3281546530568464e-05,0.0006021669396255791,4.65,42.073170731707314,2.502291834152704,266.6573704197009,0.3,4.47,0.39,4.47,,
229,0.0001804393563780215,0.0019567603767504166,4.3500000000000005,97.5609756097561,9.072257351083158,-34.62728470882618,0.09,0.15,0.15,0.15,,
258,2.6225094909051308e-05,0.00043232939600180157,4.95,56.09756097560975,-0.3288276002392864,13266458.65794422,0.27,4.53,1.3800000000000001,4.53,,
322,2.6335693175976306e-05,0.0004768381942187479,4.95,48.170731707317074,-0.10383314671461527,39626016.028329894,0.3,4.7700000000000005,1.47,4.7700000000000005,,
389,6.986243613404701e-05,0.0010451707501726373,4.95,56.09756097560975,3.9431638117060146,117.74678745874645,0.15,3.39,0.33,3.39,,
426,0.0001321217934811737,0.0022162387458094335,4.5600000000000005,93.90243902439025,3.73023268145148,-30.814492583024133,0.06,0.66,0.27,0.66,,
447,4.313684733780621e-05,0.0021792646536822487,4.95,29.878048780487806,-1.1518195324480405,482.92098605502406,0.42,4.2,3.27,4.2,4.3500000000000005,4.62
464,2.3921675306766494e-05,0.0006568029382940112,4.95,36.58536585365854,4.872037788743731,1771.4310344427242,0.51,4.05,3.15,4.05,3.93,
477,1.7817291544654462e-05,0.001057526476118863,4.59,61.58536585365854,0.6986845598451067,23606612.611318488,0.63,2.4,1.92,2.4,2.22,4.3500000000000005
573,1.996178474783943e-05,0.00020711824263176917,4.86,92.07317073170732,-10.100548297290889,805.6857996101267,0.09,1.17,0.39,1.17,,
