traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,3.105835300312237e-06,0.00046272493894498716,4.53,40.60606060606061,-1.2237339289517406,2171.415049574679,0.18,4.53,1.56,4.53,,
13,3.4638491424712247e-06,0.0003865236739527861,4.68,6.0606060606060606,0.015609571118363308,37014542.01946233,0.57,,4.53,,,
39,1.5299760930193256e-05,0.0007020584904032126,3.75,54.54545454545455,-0.005550814858563817,18176.238197085648,0.12,3.36,1.8900000000000001,3.36,,
49,1.9285733635453445e-06,0.00014832554993828538,3.96,24.242424242424242,-0.32858660648637206,,0.24,,3.81,,,
57,3.994107607946304e-05,0.0010418137687395303,0.18,98.78787878787878,-53.32057786360459,-68.18457720038411,0.06,0.12,0.12,0.12,,
58,1.158819525685182e-06,0.00011329808262087082,4.98,0.0,-0.13369630759995554,,0.18,,,,,
104,1.1583289486989927e-06,0.0001555792085129997,4.26,13.333333333333334,0.4339154078089174,3791.450560567795,0.27,,4.26,,,
108,6.938629750626575e-06,0.0005778626618400382,4.98,49.696969696969695,-1.1224025407823786,1803.9961000401106,0.12,1.3800000000000001,1.3800000000000001,1.3800000000000001,,
112,6.9773420424966424e-06,0.00034011798735357696,3.7800000000000002,52.72727272727273,-0.15175392089494394,23580.542852003757,0.12,3.36,2.2800000000000002,3.36,,
136,1.5286095703883948e-05,0.0004914916925017236,3.75,18.78787878787879,4.948970718181453,349.098862178939,0.12,,3.09,,,
179,1.1880437380117579e-05,0.0007426399213623872,4.95,44.84848484848485,-0.2564846276326674,1025491.4023239609,0.15,3.48,2.07,3.48,,
183,3.990410082721764e-06,0.00025147223171248663,4.05,31.515151515151516,-0.4811035209503371,553623.8828778842,0.24,3.99,3.45,3.99,,
189,4.8874316082726934e-05,0.0012390658219629176,4.5,86.66666666666667,17.592576014298135,-59.08278161361965,0.06,1.47,0.36,1.47,,
194,3.0512322131509196e-05,0.001000803797251558,4.98,32.121212121212125,6.110440635695256,206.56076990524855,0.12,4.98,2.1,4.98,,
195,2.4304232887847293e-06,9.581351514632093e-05,4.38,10.303030303030303,-0.7438110898631946,962.8585943791962,0.48,,2.97,,,
196,7.793759989738393e-06,0.00036452666189652847,4.98,0.6060606060606061,-0.3274823376840371,729.6365216182413,0.44999999999999996,,4.98,,,
197,6.508789252468567e-06,0.00032224994520532995,4.7700000000000005,0.0,2.377297342712651,1445.531568434785,0.51,,,,,
208,4.307412469368316e-05,0.0009390261374650797,4.59,97.57575757575758,-1.5874195260404782,-83.61313414648795,0.06,0.18,0.18,0.18,,
217,9.52602951465987e-06,0.00023763538446146758,4.86,49.696969696969695,6.373025451243181,91.68336437174472,0.12,3.42,0.36,3.42,,
225,1.6952421671188417e-05,0.0005734029652513148,4.98,35.15151515151515,5.878261677922946,198.2086227536699,0.12,4.98,2.1,4.98,,
229,0.00011438653855614853,0.002328478247575366,4.53,96.96969696969697,20.014494055966463,-59.0334983733177,0.06,0.36,0.18,0.36,,
258,6.722332596413717e-06,0.0004494573109158455,4.98,29.09090909090909,-0.5193172021254523,9839809.002842637,0.15,4.98,3.48,4.98,,
322,6.9746419976703545e-06,0.00039737893365651526,3.69,26.060606060606062,-0.4529395243937643,33186797.290739458,0.18,,3.54,,,
389,3.6160979969769205e-05,0.0010190718465215003,4.86,52.121212121212125,7.5327435233987075,124.5178911683226,0.12,3.42,1.59,3.42,,
426,8.513155184192222e-05,0.0023535907378443633,4.68,87.27272727272727,-4.138609025042864,-39.82957583663111,0.06,0.3,0.3,0.3,,
447,1.318224585537364e-05,0.0005089445744878931,4.89,10.909090909090908,0.38038984044644036,362.50159553692896,0.48,,3.36,,,
464,5.120281438911177e-06,0.00020329613062184792,4.8,0.0,0.9177562977125114,1460.5366315482318,0.54,,,,,
477,4.169883999424404e-06,0.0004922019392295674,4.53,20.0,0.020912070198898704,17966532.70677665,0.57,,3.99,,,
573,6.126231860925588e-06,0.00020230782065698962,4.98,63.63636363636363,-0.6812631690072392,876.1547438512584,0.09,3.24,1.8,3.24,,
605,4.170528388785965e-06,0.00016381950202170388,4.95,4.242424242424242,-2.128501894509976,548.6283889747655,0.39,,4.8,,,
609,7.494789033565379e-06,0.0003844562155197783,4.83,0.0,2.778185919508601,1448.5622180210082,0.51,,,,,
623,4.562036307041404e-06,0.00015998742886525657,4.74,0.0,1.0046195978919383,1133.2823509672098,0.42,,,,,
687,2.744644867942985e-06,0.0002687213050133947,3.93,6.0606060606060606,-0.27256179470911074,1394996292.38818,0.21,,3.81,,,
698,1.0263962408710478e-05,0.00019403336244773386,4.8,60.60606060606061,3.78769878437598,114.38203565493069,0.09,3.0,0.84,3.0,,
709,2.6334754095143285e-06,0.00022326083453639125,4.71,3.6363636363636362,0.006318551762371642,52219529.035619676,0.18,,4.65,,,
711,2.9358406326367473e-05,0.000725989016386847,4.89,44.24242424242424,3.04078031919527,196.82644661618278,0.12,4.47,1.92,4.47,,
745,1.1642027492007953e-05,0.0004316719948851604,4.7700000000000005,16.96969696969697,1.1099508750722515,306.6997496368253,0.51,,3.15,,,
770,3.0988787339429704e-06,0.00013961338103133216,4.5600000000000005,0.0,-0.6107155582275973,1486.1364915733934,0.6,,,,,
815,9.943502416506516e-06,0.0004941878100039963,4.98,3.0303030303030303,-0.09088037127413676,692.4618182990109,0.42,,4.86,,,
824,5.79480234313402e-06,0.00032070909631420116,3.69,27.272727272727273,0.4016381819079902,40877432.03269675,0.18,,3.54,,,
860,0.00010212668754510566,0.0020636052234184734,4.59,71.51515151515152,10.383172576234022,-15.489689323332321,0.09,1.74,1.44,1.74,,
871,9.839534811888159e-06,0.0004935825050944231,4.98,3.0303030303030303,-0.11604519955526918,695.6345537361599,0.42,,4.86,,,
876,2.8351898536710927e-06,0.00013219189551205246,4.98,52.72727272727273,1.4733827916165252,1923.9641894862682,0.24,1.74,1.5,1.74,,
891,1.1926140278037545e-05,0.0005564574191376129,4.68,6.666666666666667,3.1155550978807893,638.7334886952576,0.42,,4.26,,,
899,2.845086947067237e-06,0.00010268805780427301,3.93,55.75757575757576,-1.9456657415241405,283090.82197820325,0.36,3.84,1.98,3.84,,
910,7.861796294153152e-06,0.0004183408189200569,4.86,58.18181818181818,-2.9794212779553173,34250.911092923336,0.12,3.36,1.95,3.36,,
944,2.7678840630001025e-05,0.0010048230581740768,3.66,79.39393939393939,-1.7636812012228527,638.1239855766347,0.06,0.78,0.78,0.78,,
957,3.2912604977539096e-06,0.0003609443442307914,4.68,5.454545454545454,0.01131725780289891,35179017.31867426,0.57,,4.53,,,
961,5.154220110896052e-05,0.0014143445621035535,4.65,89.0909090909091,-12.761911565183699,-73.04027321435227,0.06,0.3,0.24,0.3,,
965,3.5004201225705956e-06,0.00028011617074098685,3.75,20.606060606060606,-0.3480924785074434,169517730.663803,0.21,,3.66,,,
971,2.804719966951989e-06,8.857782692170825e-05,2.1,0.0,0.9469338563655251,700.6656154745057,0.39,,,,,
991,2.440391097819162e-06,0.00031331718905699534,4.17,17.575757575757574,0.5933511237633916,3883.9556188909282,0.32999999999999996,,4.14,,,
1030,9.080849282409525e-06,0.0002082822542079666,4.53,35.75757575757576,2.4646461847441192,222.4779953370272,0.15,,2.04,,,
1047,3.5453051476019256e-06,9.80015233715732e-05,0.72,0.6060606060606061,1.6021373585883263,638.4397079044462,0.32999999999999996,,0.72,,,
1072,5.033615192780795e-06,0.00025679434522844205,4.83,55.75757575757576,-1.9758683460767021,44529.29157562489,0.12,3.36,1.95,3.36,,
1082,1.8722518669833935e-06,0.00012696320756378312,3.93,24.848484848484848,0.11529782147202472,,0.21,3.93,3.7800000000000002,3.93,,
1085,5.348549226044364e-06,0.00023935750988784976,4.8,0.0,1.0039079672801174,1446.5919203923745,0.54,,,,,
1087,1.426467943379617e-06,0.00013169636680594667,4.29,3.0303030303030303,-0.2507915328607703,,0.3,,4.23,,,
1091,4.191142049074305e-06,0.0001805360753615883,4.8,61.21212121212121,-3.716691810235133,15896.96282337864,0.09,3.33,1.8900000000000001,3.33,,
1110,2.63275650112836e-06,0.0002238127782973247,4.74,3.0303030303030303,0.006440180218510925,56952340.85028735,0.18,,4.68,,,
1118,2.8215117238908058e-06,0.00026127525766125046,4.62,6.0606060606060606,0.007989208347618402,33868288.66592739,0.57,,4.47,,,
1178,8.715804515517884e-06,0.0003452878638142776,4.62,8.484848484848484,2.9468319733364408,505.9410075429199,0.36,,4.05,,,
1186,1.7213596573890838e-06,0.0001260612969349892,2.16,22.424242424242426,-1.137313008466033,3687.796462675596,0.44999999999999996,,2.16,,,
1192,9.62176768438806e-06,0.00043217149229430907,4.86,14.545454545454545,-0.030668795365344077,357.27162246843244,0.51,,3.27,,,
1197,8.273103182546056e-06,0.000534850352756171,4.98,30.303030303030305,-0.5783371299004785,9515339.255178351,0.15,3.63,3.45,3.63,,
1237,2.0865059641821602e-06,0.00024054850538971764,4.05,6.666666666666667,-0.06147277275071099,,0.24,,3.9,,,
1280,2.175034019346941e-06,8.987374554493305e-05,3.87,46.06060606060606,-0.09510971087704974,13014584.30713953,0.39,3.75,2.46,3.75,3.9,
1281,4.527931838537047e-06,0.00013297297761002454,4.11,0.0,-0.7418466135784595,707.3688427403611,0.54,,,,,
1334,1.2154788652557911e-05,0.0006064006129789651,4.98,6.0606060606060606,0.4462845284900692,513.3727760878321,0.42,,4.71,,,
1395,1.1424644397250074e-06,8.904704985470161e-05,4.17,48.484848484848484,-0.8668701156559496,,0.27,4.0200000000000005,2.52,4.0200000000000005,4.62,
1412,4.0088285554828955e-05,0.0012926781128905192,4.71,82.42424242424242,-3.850200097287409,-36.733184606881245,0.06,1.47,0.3,1.47,,
1413,6.901253576883412e-05,0.001441826041140899,4.8,61.21212121212121,3.763089532977193,118.80963355088383,0.09,2.97,1.47,2.97,,
1422,1.3880025838164942e-05,0.0003185087637786368,4.68,75.75757575757575,12.14191251992102,20.98341588294319,0.09,1.77,0.24,1.77,,
1429,6.79316736546465e-06,0.0005516140532592787,4.14,58.18181818181818,-1.306821175111503,1437.9114033095386,0.09,1.2,1.2,1.2,,
1485,1.9545485767227653e-06,0.0002499496625814582,4.47,10.909090909090908,0.17716401761296818,3348.9192546673853,0.42,,4.47,,,
1499,2.6432515940910977e-06,8.086100912384165e-05,4.26,7.878787878787879,-2.7640305059365318,379.68344472122766,0.21,,4.11,,,
1565,5.538990036965685e-06,0.00048467142018393094,4.2,26.666666666666668,0.002390671621746912,2021413.6459473062,0.21,4.17,3.5700000000000003,4.17,,
1602,3.7165330302202236e-06,9.142109344808483e-05,0.48,9.696969696969697,2.8741938743512563,364.5501288828,0.09,,0.48,,,
1629,6.210167352426629e-06,0.00024393454576731948,4.86,9.696969696969697,-0.907628351412486,388.10297674488544,0.44999999999999996,,3.39,,,
1640,8.595271362200615e-06,0.0002978460517526876,4.65,16.96969696969697,1.1621855176422218,305.0636044076087,0.51,,3.15,,,
1651,2.8132011809453346e-06,0.0003370171164133757,4.05,20.0,0.5060558696889751,3917.3292120995943,0.3,,4.0200000000000005,,,
1728,1.9231523812439522e-05,0.0006796808738786801,4.71,16.363636363636363,1.0338212593992724,316.07111868490125,0.44999999999999996,,3.18,,,
1732,4.88181155255456e-06,0.00026483178410613775,4.98,30.90909090909091,0.34930564393558,9669583.087026326,0.15,3.5700000000000003,3.45,3.5700000000000003,,
1739,8.19182346113968e-06,0.0004332756542700898,4.7700000000000005,0.6060606060606061,2.4717367090860374,1182.353031822031,0.39,,4.7700000000000005,,,
1750,2.0984197876541563e-06,0.0003113305886884715,4.68,36.96969696969697,-1.392266277476594,2420.212145842087,0.24,4.65,1.68,4.65,,
1797,9.97466665575806e-06,0.00041507903800525395,4.65,5.454545454545454,3.024483402778715,557.9944026368,0.39,,4.62,,,
1813,1.6305977320581784e-05,0.0006505484565094068,4.86,13.93939393939394,0.8621618934004449,350.33199236422746,0.48,,3.24,,,
1843,7.392006946512046e-06,0.00041373940356994763,4.98,32.121212121212125,0.038861590915818846,11990895.574964752,0.15,4.98,3.33,4.98,,
1854,8.550674385996815e-06,0.00031296045388106136,4.65,7.878787878787879,2.9198647310614647,600.9144130846479,0.42,,0.72,,,
1859,1.1646790792188442e-06,0.00016796798689646428,4.65,0.0,-0.22552693235834176,,0.21,,,,,
1863,2.226304985004418e-06,9.768686086684909e-05,4.11,53.333333333333336,-2.858753819335667,1584344.725026924,0.32999999999999996,3.63,2.07,3.63,,
1875,2.449735176081165e-05,0.0006859370006305373,4.8,80.0,2.862005016234208,14.536800818127833,0.06,1.71,0.42,1.71,,
1877,1.3584015450886426e-05,0.0005579428070654952,4.65,6.0606060606060606,3.7085081655248864,581.2387537165304,0.39,,4.62,,,
1885,1.0268676971291343e-06,7.241514323098148e-05,4.98,0.0,-0.15509956480796563,,0.18,,,,,
1887,2.451775019556721e-05,0.001019643172674614,4.68,70.3030303030303,-6.821842221869159,363.9387611563407,0.09,1.8,0.48,1.8,,
1899,2.8153471814127443e-05,0.0005931849724030336,4.5600000000000005,71.51515151515152,11.080378040627023,-33.862351264859754,0.09,2.88,0.6,2.88,,
1935,1.8666325925965658e-06,0.00013010378368248307,3.87,25.454545454545453,0.31550738673535306,599339440.3430746,0.21,3.87,3.75,3.87,,
1973,7.049124928673057e-06,0.00030442884927053956,4.68,1.2121212121212122,2.7213527455955107,746.6611726075937,0.39,,4.68,,,
1974,3.4172136973124775e-05,0.000887475797287985,4.7700000000000005,81.21212121212122,4.889033996061425,17.72493359416713,0.06,1.68,0.99,1.68,,
