traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,0.0005601763523171551,351548258.955379,4.47,88.34355828220859,-10753297715384.898,3.0401165171365732e+29,0.27,0.66,0.6,0.66,0.9,0.96
13,0.00017256146137297992,18782.99111778031,4.92,79.75460122699387,-382127062.001497,,0.12,1.11,1.05,1.11,1.23,1.47
39,0.0006020531684463526,553681865.5670561,4.92,85.88957055214723,-12885209206033.107,2.1698228731885437e+30,0.21,0.78,0.75,0.78,0.96,1.05
49,0.00015932738395744054,5808745755.383026,4.92,82.82208588957056,-361055073898348.75,7.769074989499847e+34,0.12,0.93,0.87,0.93,1.11,1.23
57,0.00010584256353232495,1355976881.5601735,4.92,98.15950920245399,-134620336942363.67,3.232617663424981e+26,0.06,0.21,0.15,0.21,0.6900000000000001,1.23
58,7.223812169582285e-05,0.1299981905460228,4.65,79.75460122699387,-4085.1910521117065,,0.06,1.1400000000000001,1.05,1.1400000000000001,1.32,1.56
104,0.00012905225479669348,2541217.552037462,4.83,80.3680981595092,-98023227575.64072,,0.06,1.05,1.02,1.05,1.29,1.3800000000000001
108,0.00044246932673635273,5778.25105422061,4.92,88.95705521472392,-134280528.44916737,1.1644962539149042e+19,0.12,0.78,0.6,0.78,0.96,1.11
112,0.0003476304527681323,288.3535420715042,4.92,85.88957055214723,-13841867.064831931,3.584494699503213e+18,0.12,0.75,0.75,0.75,0.96,1.05
136,0.0006502835966581053,89320.19834169184,4.92,88.34355828220859,-2535631246.670552,1.5273893652695366e+22,0.06,0.66,0.6,0.66,0.84,0.96
179,0.0006469941948938099,15547.624897348383,4.92,88.34355828220859,-331362017.6720473,6.114658278553756e+19,0.06,0.6,0.6,0.6,0.9,1.02
183,0.0002044991984404456,302269885.30345464,4.92,82.82208588957056,-15313098353250.129,1.6948953521488355e+32,0.12,0.93,0.87,0.93,1.11,1.23
189,0.00024443203187739,0.10963566312604585,3.66,98.15950920245399,-6315.909590158511,600460.1684408777,0.06,0.21,0.15,0.21,0.87,1.23
194,0.0005038695876991497,7472.322057453759,4.92,90.1840490797546,-182452247.44060498,2.5892061922769265e+18,0.12,0.6,0.51,0.6,0.84,1.05
195,0.00012375259260893738,358283.86211273045,4.92,81.59509202453988,-54360860179.33008,,0.03,1.02,0.96,1.02,1.08,1.1400000000000001
196,0.0001648937889249939,11509106.702337442,4.83,79.75460122699387,-328864403522.18317,,0.06,1.11,1.05,1.11,1.2,1.47
197,0.0001511238081560953,7.395712454862606,4.65,79.75460122699387,-197906.78139782508,,0.06,1.11,1.05,1.11,1.23,1.41
208,0.00015961502657686047,2714946362.607054,4.92,96.93251533742331,-182717654431254.44,5.414592142440874e+26,0.12,0.21,0.21,0.21,0.93,1.17
217,0.00029839967937034744,1782122.1318818652,4.83,92.63803680981596,-193480682690.62585,4.187458937743674e+22,0.06,0.51,0.42,0.51,0.78,0.9
225,0.0005470656034282387,172147.27092458575,4.92,90.79754601226993,-7374193602.128843,1.6294046227338756e+21,0.06,0.51,0.51,0.51,0.81,0.96
229,0.0009668692482841823,1866040334.4969947,4.92,98.15950920245399,-51621882491945.97,7.996989982164225e+25,0.03,0.21,0.15,0.21,0.78,0.96
258,0.0006993361169223395,107.17291907133276,4.92,88.34355828220859,-2825654.9750202973,1.407605331855134e+16,0.21,0.66,0.6,0.66,0.84,0.96
322,0.0007525468052758656,10510740.938390316,4.92,87.73006134969326,-243076661973.7256,4.439267349856821e+26,0.09,0.66,0.66,0.66,0.9,0.99
389,0.0009269232201321565,684.299549649851,4.92,93.25153374233129,-18801560.6012469,781744941056910.8,0.12,0.42,0.39,0.42,0.6900000000000001,0.81
426,0.0012449521812915821,4766440.2093049735,4.92,95.0920245398773,-97776072354.70282,7.888254186972828e+20,0.12,0.3,0.3,0.3,0.5700000000000001,0.6900000000000001
447,0.00040092343137032165,480.6436626785852,4.92,84.04907975460122,-11272454.509682555,1.493915010635554e+20,0.06,0.87,0.84,0.87,1.1400000000000001,1.26
464,0.0001259845727268749,4802.399068469297,4.92,81.59509202453988,-185094256.35070714,,0.06,1.02,0.96,1.02,1.29,1.3800000000000001
477,0.00020556269445048064,0.3276028110938549,4.5600000000000005,79.75460122699387,-6552.111422059168,,0.21,1.11,1.05,1.11,1.23,1.41
573,0.00018938150148958274,361572306.7747675,4.92,89.57055214723927,-34289400525037.027,5.041606520756198e+29,0.12,0.6,0.5700000000000001,0.6,0.87,1.05
605,8.457046937196581e-05,1733834.3230657359,4.92,78.52760736196319,-128801632712.10527,,0.06,1.1400000000000001,1.11,1.1400000000000001,1.26,1.32
