traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,2.44105755355587e-05,0.0005435410459785766,3.81,63.190184049079754,-3.2623772068478423,16755102.640805913,0.18,2.7,1.62,2.7,,
13,3.7009031072141646e-06,0.0015339688810216325,4.65,50.920245398773005,-0.8624552812184735,73927797.26740402,0.57,3.12,2.46,3.12,3.3000000000000003,4.3500000000000005
39,1.774476647620991e-05,0.000537332641716016,3.66,30.67484662576687,0.22013921674390807,41932592.32823537,0.24,3.36,2.67,3.36,,
49,8.50176087998137e-06,0.00030902240812527636,4.5600000000000005,55.214723926380366,-13.88016320855286,15436734.912331305,0.39,2.85,1.41,2.85,4.38,
57,5.7869434212551756e-05,0.0010815225317034383,0.24,97.54601226993866,-90.34777589845821,-87.95321194307657,0.06,0.21,0.15,0.21,2.1,
58,3.865178750691831e-06,0.0005868795022265386,4.92,26.993865030674847,-1.0159775241600013,43324995.4538468,0.15,3.45,3.0300000000000002,3.45,4.8,
104,6.00300591390745e-06,0.0006237411775418429,4.89,36.809815950920246,-17.902265004930648,34114410.387342446,0.27,3.99,2.79,3.99,4.68,4.83
108,4.609129811928017e-05,0.0005466703030322542,4.92,74.84662576687117,-4.060095829405456,891572.8768208495,0.12,2.1,1.1400000000000001,2.1,,
112,1.863536372375562e-05,0.00042505163512207393,4.26,71.77914110429448,-7.715066303867581,22429429.11568139,0.27,3.6,1.1400000000000001,3.6,4.2,
136,3.2932520687564065e-05,0.0004455290319201736,3.5700000000000003,68.71165644171779,-2.102903606529829,10590258.777855922,0.15,2.73,1.23,2.73,,
179,4.7775593445682606e-05,0.0006404804048665853,4.92,72.39263803680981,-3.7728258798997962,759168.4617912493,0.12,2.07,1.2,2.07,,
183,7.79201085550295e-06,0.0005156905145023184,4.5600000000000005,42.94478527607362,-20.72906455743812,25789285.105970953,0.39,2.94,1.5,2.94,4.3500000000000005,4.5
189,8.256065263473129e-05,0.001559638497516486,4.5600000000000005,97.54601226993866,-41.90758387671626,-87.1699716453924,0.06,0.21,0.15,0.21,3.45,
194,3.919722503309719e-05,0.0005520390050865452,3.63,73.00613496932516,-1.9649634991713412,65879.0302799382,0.12,2.0100000000000002,1.29,2.0100000000000002,,
195,3.7291132156690592e-06,0.00017925294055174887,4.65,75.4601226993865,-20.03588099316446,3004814.0128391427,0.18,2.31,1.2,2.31,4.44,
196,3.6335788162711014e-06,0.0006888410565818329,4.92,27.607361963190183,-0.8657062122109493,53161792.39158359,0.15,4.53,3.3000000000000003,4.53,4.8,
197,3.6731831026304332e-06,0.0009634028822869626,4.92,31.288343558282207,-0.7015841660253774,55011337.23331618,0.18,3.42,3.3000000000000003,3.42,4.3500000000000005,
208,5.883349505477982e-05,0.0012462798857769332,4.59,96.93251533742331,-34.668987127594484,-84.89224231145458,0.06,0.24,0.21,0.24,3.63,
217,2.3785202068326813e-05,0.0001611967322566459,1.95,90.1840490797546,-6.4111532419528,4295.588475795701,0.12,0.51,0.42,0.51,,
225,5.825013389736444e-05,0.0005931177255009018,4.53,90.79754601226993,-8.54403385462427,77812.80900640457,0.44999999999999996,1.1400000000000001,0.51,1.1400000000000001,3.81,
229,0.00015219845817915158,0.002916018519033396,4.5600000000000005,97.54601226993866,-11.30936315965286,-87.44105975061689,0.06,0.21,0.15,0.21,4.74,
258,3.484815647964985e-05,0.000515373315203117,3.5700000000000003,68.71165644171779,-2.161773878301722,9545020.973806022,0.15,2.73,1.23,2.73,,
322,4.510133371892847e-05,0.00045627025668672954,1.11,69.93865030674847,-0.8996254740848773,29760148.988005303,0.42,1.11,1.02,1.11,,
389,8.019774016064823e-05,0.0010464388329369093,3.45,90.79754601226993,-4.214868235372608,6152.112038318191,0.12,0.6900000000000001,0.42,0.6900000000000001,,
426,0.00013582554452349442,0.0024386916380997026,4.68,95.0920245398773,-9.727716619839892,-62.62286779943155,0.09,0.33,0.24,0.33,,
447,9.524701537959663e-06,0.0004981360952811629,3.93,30.67484662576687,-0.9280775828826349,79445614.09605613,0.21,3.87,3.3000000000000003,3.87,,
464,3.961937022767494e-06,0.00044910557836937105,4.92,26.380368098159508,-3.0808341659431644,31134009.905086707,0.18,4.8,3.09,4.8,4.83,
477,4.4150644316744e-06,0.0014642951433425332,4.92,50.920245398773005,-0.33217147150998855,81629184.8720449,0.39,3.0,2.4,3.0,3.27,4.83
573,1.5881477871736237e-05,0.0002794366715472497,4.53,87.11656441717791,-7.8620121408502595,2509873.7764690635,0.24,2.1,0.6,2.1,3.99,
605,4.2377554576130824e-06,0.00041170532246334515,4.92,34.969325153374236,-22.502174340644068,10210259.50125855,0.27,3.39,2.31,3.39,3.72,4.8
609,3.857325632650461e-06,0.0010329587551544937,4.65,46.012269938650306,-1.0002771108431974,60950581.70861883,0.54,3.36,2.58,3.36,3.42,4.7700000000000005
