traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,2.391323319331407e-05,0.0006154262899278796,3.7800000000000002,74.54545454545455,-2.6519107772501833,21641914.047463242,0.18,2.22,1.1400000000000001,2.22,4.26,
13,4.4212531908196706e-06,0.0011301367427039373,3.9,53.333333333333336,0.6458322522198466,,0.63,2.58,2.22,2.58,3.6,3.75
39,2.2635957045648727e-05,0.0009694196014745343,4.98,69.6969696969697,-0.8253754923498882,53728217.79792004,0.18,2.43,1.47,2.43,4.26,
49,6.206185949735712e-06,0.0003946725120408865,3.99,63.03030303030303,-1.7676717534259627,,0.18,2.43,1.74,2.43,3.96,
57,0.00021993016158494396,0.002085094602467707,0.3,98.18181818181819,-128.83680010015655,-93.42228589391148,0.09,0.18,0.15,0.18,0.3,
58,3.5709325728373175e-06,0.0006021004378790771,3.81,38.78787878787879,-0.9845140116437203,,0.75,3.42,3.09,3.42,3.54,3.84
104,5.125868255969554e-06,0.00045177031360856055,2.94,60.0,-5.844322679011028,,0.27,2.64,2.04,2.64,3.06,
108,3.6067215034138064e-05,0.0006983897601185217,3.75,77.57575757575758,-1.1098682121959451,2832451.775880905,0.15,2.2800000000000002,1.02,2.2800000000000002,,
112,1.28564316692348e-05,0.0006057245356077296,4.7700000000000005,76.96969696969697,-6.659371115390671,81520696.36642389,0.21,3.21,1.11,3.21,3.99,4.26
136,3.346677479779596e-05,0.000777909749344264,4.74,78.78787878787878,-3.3604766835980455,14023542.70309446,0.18,1.8,0.99,1.8,4.3500000000000005,
179,4.336073288303895e-05,0.0007562477167246413,4.89,77.57575757575758,-1.2880501819949226,2492245.3054204327,0.15,1.95,1.02,1.95,,
183,7.4864414510195204e-06,0.000985923854624736,4.5,66.66666666666667,-19.70232131583725,,0.21,2.46,1.3800000000000001,2.46,3.87,4.3500000000000005
189,0.00024283369329311196,0.002596154342619981,0.3,98.18181818181819,-72.61268563854465,-90.17309346701202,0.09,0.18,0.15,0.18,0.3,
194,2.8567212045588373e-05,0.0004186998008838339,3.3000000000000003,54.54545454545455,0.11220900080465993,125486.31002571978,0.12,3.3000000000000003,0.54,3.3000000000000003,,
195,2.808921743301225e-06,0.00041409925786586757,4.92,60.60606060606061,-0.4612608600793156,,0.44999999999999996,2.7,1.23,2.7,3.06,3.18
196,4.433083281950949e-06,0.0009359322277525004,4.14,42.42424242424242,-0.5430119547684188,,0.57,3.18,2.82,3.18,3.39,3.63
197,4.316120654489933e-06,0.0006366845072918064,3.87,38.18181818181818,-0.7711975821036555,,0.69,3.27,3.06,3.27,3.48,
208,0.0001324570472971366,0.0021579846135966283,0.3,97.57575757575758,-80.50109810398575,-94.29707099154588,0.06,0.18,0.18,0.18,0.3,
217,2.906961572194461e-05,0.00038156065876135723,4.92,91.51515151515152,-16.593963676132972,2314.4195265460476,0.12,0.54,0.42,0.54,,
225,3.793020858810394e-05,0.00045787997584396446,4.86,86.66666666666667,0.7360994658113861,179912.5095939822,0.12,0.66,0.63,0.66,,
229,0.00018752293884154538,0.0028419645595235054,4.5600000000000005,98.18181818181819,-2.6913078162634565,-85.01986658049655,0.06,0.18,0.15,0.18,,
258,3.642841993593298e-05,0.0008922947919669762,4.98,78.78787878787878,-3.197242011145677,13114493.82014627,0.18,1.8,0.99,1.8,4.23,
322,2.8802794424985363e-05,0.0007440535669056094,3.69,75.15151515151516,0.10632310654694713,36811960.75723172,0.15,2.22,1.1400000000000001,2.22,,
389,5.324191882484037e-05,0.0011655798432320728,4.92,87.27272727272727,-0.7861216865300205,6630.218664238704,0.12,0.78,0.42,0.78,,
426,0.0001231221765469097,0.0026261721905250167,4.68,95.75757575757575,-5.338235577343744,-13.42853315760546,0.06,0.3,0.27,0.3,,
447,1.123875000079651e-05,0.00130818899959716,4.26,58.18181818181818,0.5003919359590812,2274942322.6454806,0.24,2.58,2.1,2.58,2.88,
464,3.1068232177494614e-06,0.0007452170559502343,3.9,46.666666666666664,-3.043665850069426,,0.84,3.0300000000000002,2.7,3.0300000000000002,3.42,3.84
477,4.514587661475067e-06,0.000893116481108288,3.7800000000000002,39.39393939393939,-0.43752694757596816,,0.54,3.3000000000000003,2.58,3.3000000000000003,3.42,
573,7.92729711963548e-06,0.00033396193411335386,4.83,75.15151515151516,-1.4714375038183167,3182879.047327511,0.21,1.5,1.02,1.5,4.3500000000000005,
605,4.034497488805624e-06,0.0005823566113273568,4.98,58.18181818181818,-4.94966990206266,,0.24,2.64,2.1,2.64,3.09,4.74
609,3.9401879243792715e-06,0.0010731273190785627,4.62,53.333333333333336,0.27432037329056774,,0.72,3.54,2.22,3.54,3.6,3.84
623,4.104801422594629e-06,0.0003269927471287238,3.36,52.121212121212125,-1.955431047019464,,0.27,3.0,2.34,3.0,3.24,
687,1.2776718407339496e-05,0.0009566339084625688,4.2,64.24242424242425,-0.7959693100463577,1012957839.244795,0.21,2.64,1.35,2.64,3.09,
698,3.559501032120067e-05,0.0005194467857383613,4.7700000000000005,95.75757575757575,-73.41113203196954,-45.404072388072166,0.12,0.27,0.27,0.27,3.63,
709,3.8094461194247443e-06,0.0006359698137541731,3.99,38.18181818181818,-0.28478467421765713,,0.78,3.39,3.12,3.39,3.5700000000000003,3.81
711,5.745922155579492e-05,0.0008806789833967104,4.83,89.6969696969697,-1.504044592828445,1208.3138905325904,0.12,1.32,0.42,1.32,,
745,1.5534106570180507e-05,0.0005452558959761497,3.81,73.33333333333333,-1.349553264976621,110746681.43485145,0.15,2.52,1.1400000000000001,2.52,,
770,3.5074832760841885e-06,0.0007587185971678654,4.38,44.24242424242424,-3.2222598943689382,,0.51,3.06,2.82,3.06,3.54,3.72
815,5.0032631880795185e-06,0.000799987833053442,4.98,44.24242424242424,-0.5205389938947793,,0.32999999999999996,3.12,2.7,3.12,3.3000000000000003,
