traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.651335839506128e-05,0.0007327687481488122,4.86,68.29268292682927,-4.027914257004226,16515526.045698011,0.21,2.46,1.5,2.46,2.73,
13,2.106582876398104e-06,0.0008730642359500759,4.95,38.41463414634146,-0.8522994666981314,,0.3,3.6,2.73,3.6,3.54,3.87
39,1.9833598261651195e-05,0.000957089411553255,3.96,69.51219512195122,-5.173442449403064,50303688.27615609,0.21,2.52,1.47,2.52,2.73,
49,3.6983023034468313e-06,0.002126710850742859,4.95,53.65853658536585,-13.812804557527114,,0.27,3.09,1.71,3.09,3.24,4.47
57,3.4164047318049185e-05,0.0006332755839799577,3.12,97.5609756097561,-11.410962414223166,-86.95395260428408,0.06,0.21,0.15,0.21,,
58,1.7137763042466541e-06,0.0005274177780324482,4.95,41.46341463414634,-0.4254307771456082,,0.3,3.5100000000000002,2.73,3.5100000000000002,3.54,
104,2.913428057132523e-06,0.0012016524391238318,4.95,51.829268292682926,-4.479858391986756,,0.18,3.5100000000000002,2.25,3.5100000000000002,3.6,4.8
108,2.011248219667915e-05,0.0007952917224858559,3.7800000000000002,56.707317073170735,-2.15809731411458,613929.9580190365,0.12,3.42,2.04,3.42,,
112,1.0412586439073451e-05,0.0005422919388505586,4.95,70.73170731707317,-7.556421360770155,73859369.73051587,0.3,2.2800000000000002,1.44,2.2800000000000002,2.7,
136,1.682653084251782e-05,0.0007118787278888256,3.84,68.29268292682927,-1.52767521180675,9592958.900490172,0.18,2.46,1.56,2.46,,
179,2.319738000218857e-05,0.0009556217965968508,3.7800000000000002,57.31707317073171,-2.136657110678369,473411.8931154876,0.12,3.21,2.0100000000000002,3.21,,
183,4.404238257871222e-06,0.000795832223207273,4.95,65.85365853658537,-25.102254779706193,3022619247.3423395,0.21,3.12,1.47,3.12,3.21,4.59
189,5.252394997494591e-05,0.001274092658293128,4.5600000000000005,96.95121951219512,-0.294070925057378,-89.03378948903631,0.06,0.21,0.15,0.21,4.89,
194,1.9761691480318862e-05,0.0009495350294817378,3.63,59.75609756097561,-0.1928644390499693,51143.69350527953,0.12,2.7,1.95,2.7,,
195,1.8964986587103417e-06,0.0005634790415422415,4.65,66.46341463414635,-45.171604402532566,,0.3,1.8900000000000001,1.53,1.8900000000000001,2.61,4.32
196,2.1734966234719017e-06,0.0005583529516830889,4.95,37.80487804878049,-0.9381554228739486,,0.18,3.75,2.88,3.75,3.99,
197,1.9613957428502855e-06,0.0006776675165415216,4.95,35.36585365853659,-0.9223996732477504,,0.24,3.5700000000000003,2.94,3.5700000000000003,3.5700000000000003,
208,4.141641699588265e-05,0.0010472017785050352,4.59,95.73170731707317,-0.12322912383830127,-86.44971520849819,0.06,0.27,0.21,0.27,4.95,
217,1.5368722571085294e-05,0.0003715571536860289,4.95,87.8048780487805,-1.698871414397108,2215.152843430009,0.09,2.0100000000000002,0.63,2.0100000000000002,4.0200000000000005,
225,1.3005924621102063e-05,0.0007202067297325313,3.63,60.97560975609756,-1.6721402182126133,44097.58654337905,0.12,2.16,1.86,2.16,4.23,
229,0.00013419015889880182,0.0025058511058246415,4.5600000000000005,97.5609756097561,4.608030859002667,-86.73379503403042,0.06,0.27,0.15,0.27,,
258,1.835911632070234e-05,0.0007931710179420099,3.84,67.6829268292683,-1.2207263306493885,8214652.7802510755,0.15,2.49,1.53,2.49,,
322,1.8614301319085038e-05,0.0008490104066980237,3.93,68.29268292682927,-2.8255432556464575,31207280.62738188,0.18,2.49,1.56,2.49,2.79,
389,2.604941823424186e-05,0.001161824100520817,4.92,67.6829268292683,-0.22158654860389773,4139.844231779878,0.12,2.04,1.44,2.04,3.7800000000000002,
426,7.99382781557392e-05,0.0026420334179787764,4.68,92.07317073170732,1.1405835225621461,-39.4585244141351,0.06,1.23,0.27,1.23,,
