traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,4.233731173089174e-05,0.0009623353556657531,3.75,81.09756097560975,0.8295248426928775,16595793.125898069,0.18,1.8,0.63,1.8,3.66,
13,1.2466997316742508e-05,0.005439261567344806,4.65,57.926829268292686,1.4308989039375137,,0.54,2.37,2.13,2.37,2.43,2.94
39,3.8791266297680645e-05,0.0016505562267334088,3.75,70.1219512195122,1.6018251480221624,44975247.892359965,0.24,2.22,1.11,2.22,3.12,
49,2.4734293957759587e-05,0.0005218374575394317,2.61,81.09756097560975,-2.7004399608377185,1607708316.1683102,0.24,1.53,0.87,1.53,1.77,
57,0.00012237582765680508,0.001502347210300925,4.92,98.17073170731707,-7.371835078780699,-51.786492498936795,0.15,0.18,0.15,0.18,0.63,1.47
58,9.911984238325155e-06,0.002166312383122278,4.68,60.97560975609756,-9.812651389397534,,0.44999999999999996,2.52,1.98,2.52,2.7600000000000002,3.21
104,1.8980119489136655e-05,0.001161900893320782,4.47,70.1219512195122,-15.685743915797854,,0.24,2.73,1.53,2.73,3.0300000000000002,4.32
108,5.046122511529439e-05,0.0016863856745477856,4.95,78.04878048780488,-1.2885998277530495,1215124.8362050673,0.21,1.6500000000000001,0.93,1.6500000000000001,2.7600000000000002,
112,4.1858923450998135e-05,0.0006846399856560368,2.37,83.53658536585365,-15.886646112615592,80388410.89722048,0.18,1.11,0.6900000000000001,1.11,1.59,
136,4.3223741461245235e-05,0.0010067383774888402,3.69,78.04878048780488,0.41141337850088516,9328101.035702435,0.21,1.83,0.99,1.83,3.5700000000000003,
179,5.945828484813744e-05,0.0018479762726443475,4.95,78.65853658536585,-0.8293464863439743,1058493.1050008866,0.21,1.59,0.93,1.59,2.73,
183,2.639534026010009e-05,0.0006783324018296822,4.41,78.04878048780488,-18.510439827386044,2225077197.8771057,0.3,1.71,1.05,1.71,1.86,4.3500000000000005
189,0.00013830932300351346,0.0021250202297991407,4.5600000000000005,98.17073170731707,2.00190123036303,-93.48275171993767,0.06,0.18,0.15,0.18,1.68,4.17
194,6.782390999620677e-05,0.0017586165036486312,4.86,85.97560975609755,-2.398029465579522,116087.97375457408,0.18,1.29,0.45,1.29,3.99,
195,9.069110325596477e-06,0.00041615794412474866,4.95,79.8780487804878,-12.986805571396921,,0.27,1.35,1.05,1.35,1.83,2.67
196,1.2726910743359761e-05,0.00377668346562915,4.62,60.97560975609756,-14.079197693776873,,0.42,2.49,1.98,2.49,2.73,3.15
197,1.206970619333305e-05,0.0049874423972192565,4.62,59.146341463414636,-22.983977453865926,,0.44999999999999996,2.46,2.07,2.46,2.73,3.15
208,0.0001215073242843721,0.001909632774530123,4.59,97.5609756097561,-13.702618939224008,-92.84988416527362,0.06,0.18,0.18,0.18,1.41,3.87
217,4.763228317079332e-05,0.001361913519246665,3.81,93.90243902439025,-5.410112326135737,2985.2187512196015,0.21,0.39,0.36,0.39,1.23,2.0100000000000002
225,4.3523748409681894e-05,0.0006807145127530098,3.87,88.41463414634147,-3.680162049360647,160945.81973264733,0.18,0.81,0.45,0.81,3.87,
229,0.00017544584419946325,0.002339530777572916,4.5600000000000005,98.17073170731707,7.9656054102724,-68.76663697397201,0.06,0.18,0.15,0.18,,
258,4.236693682662443e-05,0.0010221711134744595,3.69,75.60975609756098,0.16427939113321172,8029500.84166097,0.21,1.8900000000000001,0.99,1.8900000000000001,3.06,
322,3.880268918288506e-05,0.001273776760871356,3.75,71.34146341463415,1.2396367166870117,27777787.44663105,0.21,2.16,1.05,2.16,3.66,
389,7.11762510304986e-05,0.001355301487618526,4.95,89.02439024390245,-1.560402602717908,4471.407547404771,0.12,0.93,0.39,0.93,4.95,
426,0.00013924259190089056,0.002142724657541075,4.59,95.73170731707317,3.6987862211041147,-16.108638681687168,0.06,0.27,0.24,0.27,,
447,3.093253813868655e-05,0.002761340996364741,4.0200000000000005,66.46341463414635,-12.721528152344884,2355072081.1177263,0.24,1.98,1.71,1.98,2.19,3.06
464,1.0319741943253607e-05,0.0015101622988962986,4.68,65.2439024390244,-9.321014702826822,,0.39,2.49,1.77,2.49,2.73,3.27
477,1.6279497517368585e-05,0.0037745063825686985,4.41,60.36585365853659,1.6135952947106484,,0.42,2.31,2.0100000000000002,2.31,2.37,2.85
573,4.064563046579846e-05,0.0007128754750799825,4.7700000000000005,90.85365853658537,1.0538950580403876,2016150.399786466,0.27,0.5700000000000001,0.51,0.5700000000000001,1.32,2.73
605,1.337073928120995e-05,0.0004079030177827896,2.79,76.82926829268293,-7.797574745569479,,0.18,1.71,1.05,1.71,2.1,4.92
609,1.1487092832946922e-05,0.004705392547753013,4.71,56.09756097560975,-7.832683212130531,,0.48,2.43,2.22,2.43,2.67,3.09
623,1.313694772730868e-05,0.0008270568778340475,4.62,70.1219512195122,-6.044470127881191,,0.21,2.25,1.53,2.25,2.34,4.5600000000000005
687,3.249887380577482e-05,0.0012881611195425518,3.99,72.5609756097561,-15.150601677982696,1258150538.3798978,0.24,1.83,1.35,1.83,2.07,
698,6.699229160480112e-05,0.0013315433162398326,3.63,95.73170731707317,-16.274126713572187,105.84847635698607,0.21,0.3,0.27,0.3,0.75,1.23
709,9.692142354561429e-06,0.002514062795932767,4.74,59.146341463414636,-6.775369753971035,,0.44999999999999996,2.52,2.07,2.52,2.7600000000000002,3.21
711,5.6050475313137604e-05,0.0012286785737502495,4.86,91.46341463414635,-0.054004737599285306,752.0615757543518,0.09,0.39,0.33,0.39,,
745,3.9383002647890607e-05,0.0011847296219510343,3.87,78.65853658536585,-20.69144988559877,145047323.37098786,0.24,1.59,1.11,1.59,2.73,3.99
770,8.58271059101e-06,0.0008550576077283132,4.7700000000000005,70.1219512195122,-8.777778259357762,,0.27,2.19,1.53,2.19,2.43,2.85
815,1.760870125322917e-05,0.0038872142733541535,4.95,60.36585365853659,-5.077193564409228,,0.44999999999999996,2.37,2.0100000000000002,2.37,2.67,3.0
824,4.101358768935541e-05,0.0011698038269947909,3.75,78.04878048780488,1.976415628925287,38308727.52235426,0.18,2.22,1.05,2.22,3.72,
860,0.0001418672839609848,0.002502968597728112,4.65,96.95121951219512,4.683675663003831,-22.317135430064447,0.06,0.27,0.21,0.27,2.7600000000000002,
871,1.7467000607879626e-05,0.0038775701862324334,4.95,60.36585365853659,-5.567544013782209,,0.44999999999999996,2.37,2.0100000000000002,2.37,2.67,3.0
876,3.3019317589148654e-05,0.0006481437674525073,4.83,89.63414634146342,1.229837330191448,7646811.882868492,0.27,0.63,0.5700000000000001,0.63,1.29,2.7
891,3.0210561870762455e-05,0.003351147845985552,4.7700000000000005,67.6829268292683,-1.4222999981244682,5295828740.219051,0.27,2.0100000000000002,1.6500000000000001,2.0100000000000002,2.07,2.64
899,1.788862642809626e-05,0.00039305109081465257,4.95,85.97560975609755,-3.7971591339120785,,0.44999999999999996,0.87,0.75,0.87,1.56,3.21
910,4.088268389331501e-05,0.0008172703115273626,3.87,89.63414634146342,-4.461719508284072,108334.57980649103,0.18,0.75,0.45,0.75,3.81,
944,9.52217382495143e-05,0.0016392946452688363,4.68,93.90243902439025,4.143060318009846,66.83590455016635,0.09,0.33,0.33,0.33,,
957,1.2421997802317508e-05,0.005274531595912811,4.65,56.09756097560975,1.0850970494266794,,0.51,2.4,2.22,2.4,2.49,3.0300000000000002
961,8.341588941794642e-05,0.001827469258867225,4.65,96.95121951219512,-5.630283255643191,-63.1154167258759,0.06,0.21,0.21,0.21,3.39,
965,3.837104918242342e-05,0.001481740975912799,3.87,76.21951219512195,-4.755198426725226,172488007.91104326,0.18,1.77,1.17,1.77,3.24,
971,1.4541584065714767e-05,0.0005333484784373925,2.67,82.3170731707317,-17.991934011330482,,0.24,1.41,0.93,1.41,1.8900000000000001,3.54
991,2.4938592596205187e-05,0.0034723617791131227,4.17,63.41463414634146,-10.301306378453939,,0.24,2.2800000000000002,1.83,2.2800000000000002,2.5500000000000003,2.85
1030,4.5662991940618794e-05,0.0013135760585311876,4.95,93.29268292682927,-4.337182685098034,17489.70612844388,0.15,0.45,0.39,0.45,1.32,2.25
1047,1.720351046659337e-05,0.0005217967099628716,2.61,84.7560975609756,-12.138360637040082,,0.3,1.29,0.81,1.29,1.71,3.24
1072,4.431751792142365e-05,0.0008764876574429433,4.95,92.07317073170732,-2.0529564137084204,110013.21671049055,0.18,0.51,0.45,0.51,1.44,3.6
1082,2.290081900344794e-05,0.000592685419126941,2.5500000000000003,84.7560975609756,-7.174810542076619,908422782.4705456,0.27,1.35,0.81,1.35,1.6500000000000001,3.18
1085,1.0837909177314087e-05,0.0016920989127589485,4.62,64.02439024390245,-10.802619059595537,,0.42,2.49,1.83,2.49,2.7600000000000002,3.24
1087,1.659635065104522e-05,0.0009607058216772966,4.5,70.1219512195122,-9.883716917443579,,0.21,2.25,1.53,2.25,3.15,4.44
1091,4.370459675005166e-05,0.000852222432560761,4.62,92.6829268292683,-4.103942170321976,-98.35805582084954,0.21,0.45,0.39,0.45,1.23,2.22
1110,9.368446987794748e-06,0.002469403773753925,4.68,57.926829268292686,-5.8515735323571745,,0.44999999999999996,2.52,2.13,2.52,2.7600000000000002,3.21
1118,1.1381769762376826e-05,0.0023896364906128434,4.62,61.58536585365854,-11.725585241991679,,0.42,2.49,1.95,2.49,2.7600000000000002,3.18
1178,3.245123119795806e-05,0.0011983349629099528,4.23,77.4390243902439,-23.639621814155205,1227968676.282166,0.18,1.8,1.17,1.8,1.95,4.17
1186,2.3228765013877667e-05,0.0005538230050375823,2.61,81.70731707317073,-5.425500764678965,,0.24,1.47,0.87,1.47,1.77,
1192,2.949339518739582e-05,0.0016220476597352948,4.89,73.78048780487805,-20.466083571235533,1918515296.4967957,0.18,1.92,1.35,1.92,2.07,4.53
1197,4.1070764181528994e-05,0.001092406666325222,3.66,74.39024390243902,0.05902425069579505,7495228.236786981,0.18,1.8900000000000001,0.99,1.8900000000000001,3.3000000000000003,
1237,2.590132787148927e-05,0.0022371033199204025,4.2,71.34146341463415,-25.514606841606412,5901615928.088541,0.18,2.13,1.47,2.13,2.64,3.0
1280,8.759376193857123e-06,0.0004587958413337233,4.53,78.65853658536585,-16.588848352605584,,0.27,1.47,1.11,1.47,1.98,2.67
1281,7.149501103887341e-06,0.0010885895196505679,4.86,67.6829268292683,-9.443016229293466,,0.3,2.34,1.6500000000000001,2.34,2.5500000000000003,2.91
1334,2.420929114467787e-05,0.0034129713290038956,4.17,62.19512195121951,-8.982374700897664,,0.27,2.31,1.8900000000000001,2.31,2.31,2.85
1395,8.76635878557991e-06,0.0004307109025440569,3.0300000000000002,81.09756097560975,-19.847976292595845,,0.3,1.29,0.99,1.29,1.74,2.16
1412,4.520628749180646e-05,0.0015191398674326774,4.71,90.85365853658537,-3.58432575958918,-45.014147253968325,0.06,0.27,0.27,0.27,4.71,
1413,0.00013140571838722259,0.0024053048238575517,4.65,95.1219512195122,4.395361780840041,41.69258569523763,0.09,0.33,0.27,0.33,,
1422,7.641103787815844e-05,0.0014255893146955544,3.6,96.34146341463415,-16.45205837432298,-1.3366984480767832,0.18,0.27,0.24,0.27,0.75,1.41
1429,5.218719348583469e-05,0.001065889529523331,4.86,84.14634146341463,-2.5414153582766126,152727.9248320586,0.18,1.41,0.45,1.41,,
1485,1.8783393542540654e-05,0.0039088797329384995,4.41,61.58536585365854,-6.38971232940543,,0.42,2.37,1.95,2.37,2.7600000000000002,3.0
1499,1.4912800726494418e-05,0.00037985310655917434,4.95,84.7560975609756,-8.219180516849367,,0.39,0.93,0.81,0.93,1.59,3.21
1565,2.5350643837918485e-05,0.0032953566981748857,4.17,65.2439024390244,-19.06479427255403,4299003016.22695,0.21,2.22,1.77,2.22,2.67,2.91
1602,2.6995537378654292e-05,0.0005998462713181088,4.86,89.63414634146342,-7.886329712649048,9457413.163482975,0.24,0.63,0.5700000000000001,0.63,1.41,1.95
1629,2.2962009751818427e-05,0.0005316801014922797,4.47,78.04878048780488,-14.199602172850067,,0.27,1.71,1.11,1.71,1.8900000000000001,
1640,4.377991835685279e-05,0.0006805831361221741,2.37,85.97560975609755,-16.846373751250027,52563156.66229185,0.18,1.11,0.63,1.11,1.5,
1651,2.854570976285769e-05,0.004007461116936994,4.7700000000000005,66.46341463414635,-4.066790043992801,7436529392.528216,0.27,2.07,1.71,2.07,2.13,2.73
1728,3.980347901621266e-05,0.0034784570674740896,3.81,71.34146341463415,-3.406069188353809,158589059.70452413,0.21,2.07,1.47,2.07,2.64,3.5100000000000002
1732,4.970130394825836e-05,0.0006253317448816872,3.75,87.1951219512195,-15.578606703221318,12149071.081794107,0.18,0.99,0.5700000000000001,0.99,1.53,
1739,1.6673383476343214e-05,0.004146901612314717,4.5,59.146341463414636,-1.9157460234260666,,0.48,2.37,2.07,2.37,2.67,3.0
1750,4.195931871317223e-05,0.001010289148653875,3.81,79.8780487804878,-11.993076842087255,69585678.01326796,0.18,1.11,0.6900000000000001,1.11,1.77,
1797,3.186511694496922e-05,0.0010739802319189875,3.99,73.17073170731707,-17.677720793807257,914196695.9590262,0.24,1.86,1.35,1.86,2.07,
1813,3.527898498933805e-05,0.003786494620721898,4.7700000000000005,71.34146341463415,1.9776540088073982,1802319540.8024015,0.27,1.83,1.47,1.83,2.0100000000000002,2.5500000000000003
1843,4.252510299310484e-05,0.0009420821913546774,3.69,78.04878048780488,0.7606685926768403,10829423.638833292,0.21,1.8900000000000001,0.99,1.8900000000000001,4.53,
1854,2.786318117657071e-05,0.001256597292630236,4.95,76.21951219512195,-24.862820689489336,3831922935.2492256,0.18,1.95,1.23,1.95,2.0100000000000002,4.32
1859,1.1700662305431526e-05,0.004689332995106977,4.65,58.53658536585366,-20.46814129156904,,0.42,2.49,2.1,2.49,2.73,3.15
1863,1.2746633543631366e-05,0.0003808983285508526,2.61,83.53658536585365,-12.219610500924514,,0.27,1.17,0.87,1.17,1.6500000000000001,2.85
1875,4.2661338669199134e-05,0.001169185152591217,3.48,89.02439024390245,-4.801871555145638,7238.733699617549,0.12,0.45,0.39,0.45,3.42,
1877,3.367248830205745e-05,0.0035150806950372615,4.5600000000000005,69.51219512195122,-1.0448375653039599,1446126353.1163068,0.24,1.86,1.41,1.86,2.07,3.09
1885,7.602933704547275e-06,0.0016676562052156895,4.86,64.02439024390245,-8.940972426968441,,0.39,2.5500000000000003,1.83,2.5500000000000003,2.79,3.27
1887,5.337595732676249e-05,0.0012233627977019208,4.83,93.29268292682927,-2.8878490031715733,246.6681792067911,0.09,0.39,0.33,0.39,4.83,
1899,9.810867383122101e-05,0.0013549041180360131,3.21,96.95121951219512,-13.28388510023768,-99.86262471851066,0.09,0.21,0.21,0.21,1.11,1.98
1935,2.6211943447502607e-05,0.0006043682535978546,2.5500000000000003,85.97560975609755,-2.4455786472724115,440840207.9361519,0.27,1.29,0.75,1.29,1.59,3.15
1973,2.1783612411834028e-05,0.0023000242700408724,4.3500000000000005,68.90243902439025,-25.1794363664271,,0.24,2.46,1.59,2.46,2.7600000000000002,3.06
1974,5.589113190946124e-05,0.0012757719210318727,3.45,92.07317073170732,-4.953315837141544,2717.7533531934414,0.12,0.63,0.39,0.63,3.69,
