traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.371365452530468e-05,0.0007838924269886497,4.95,65.85365853658537,-0.07041634757451368,10019613.2845821,0.18,2.25,1.6500000000000001,2.25,4.3500000000000005,
13,1.276022015493561e-06,0.001328472223875048,4.3500000000000005,37.80487804878049,0.49109854412989057,,0.54,3.33,2.91,3.33,3.75,3.99
39,1.6704054062023597e-05,0.0010409221845715045,4.95,65.2439024390244,0.6220628143910816,36079657.77339165,0.21,2.34,1.77,2.34,4.14,
49,3.325914312724479e-06,0.000559380154715934,4.95,48.78048780487805,-0.462094881327018,,0.27,3.27,2.25,3.27,3.5700000000000003,4.62
57,3.368267021755265e-05,0.0008592915191762458,4.5600000000000005,97.5609756097561,-14.876887191158133,-98.70592454249429,0.06,0.21,0.15,0.21,3.3000000000000003,
58,1.123698597211269e-06,0.0006442021707126688,4.47,37.80487804878049,0.4867712790549679,,0.57,3.3000000000000003,2.97,3.3000000000000003,3.93,
104,2.2404228654380643e-06,0.002322339558943631,4.95,48.78048780487805,-2.8009214796761857,,0.12,2.67,2.5500000000000003,2.67,4.08,4.83
108,2.3268159216152708e-05,0.0013875195846608074,4.95,67.07317073170732,-0.5073606449804523,565351.0842964669,0.18,2.07,1.59,2.07,4.0200000000000005,
112,6.317358051010815e-06,0.0004617980791712566,4.95,65.2439024390244,-1.6087753713770563,45531512.62435656,0.21,2.2800000000000002,1.74,2.2800000000000002,4.11,
136,2.2223639778826614e-05,0.0008688755044586843,4.95,71.95121951219512,0.6925246877639953,5097855.8730532965,0.18,2.1,1.3800000000000001,2.1,4.11,
179,2.4790612240426378e-05,0.0015627578795270381,4.95,66.46341463414635,-0.6216740562416416,573564.6189134978,0.18,2.1,1.6500000000000001,2.1,3.99,
183,3.6477073700307893e-06,0.00035983895056866926,3.9,51.21951219512195,-0.1908782119100211,1296738192.2345593,0.21,3.39,2.19,3.39,3.69,
189,5.155655980051116e-05,0.0013391207669140328,4.5600000000000005,96.95121951219512,-3.3245838885007024,-95.65388792642518,0.06,0.21,0.15,0.21,3.96,
194,3.4294575068765326e-05,0.0014588254116188104,4.86,73.78048780487805,-0.41588005957805824,47774.39704766637,0.18,1.92,1.26,1.92,4.08,
195,1.346837081243335e-06,0.00017841214016122575,4.71,44.51219512195122,-0.93160309195037,,0.27,2.94,2.64,2.94,4.05,4.86
196,1.2511373937058768e-06,0.000914566293459458,4.3500000000000005,42.073170731707314,0.1942457707405071,,0.44999999999999996,3.21,2.85,3.21,3.69,
