architecture,run_id,n_params,E_short_mean,E_short_std,P_thr_5pct_mean,P_thr_5pct_std,E_max_mean,E_max_std,t_E_max_mean,t_E_max_std,T_max_5pct_median,T_max_5pct_pct_reached,T_max_10pct_median,T_max_10pct_pct_reached,T_mean_5pct_median,T_mean_5pct_pct_reached,T_mean_10pct_median,T_mean_10pct_pct_reached,nn_flops,nn_time_med_ms,nn_time_std_ms,fd_flops,fd_time_med_ms,fd_time_std_ms,speedup_fd_over_nn
64,p4_arch_64,4610,4.6901198034973894e-05,4.659742342381127e-05,78.3321015028332,13.100854713440011,0.0012337004838054054,0.0006534811225943669,3.977575757575757,0.7751364701077434,0.93,100.0,1.71,100.0,2.58,97.97979797979798,2.94,52.525252525252526,73612800.0,40.86756199831143,0.12821811802848604,353500.0,27.47007698053494,2.5793248501395363,0.6721731279607517
128,p4_arch_128,9218,3.967577438961284e-05,3.355948164599718e-05,78.04878048780488,12.349053149247226,0.001783024202465147,0.001264430357842802,4.220303030303031,0.7195810432950587,0.99,100.0,1.71,100.0,2.43,93.93939393939394,3.06,63.63636363636363,147225600.0,46.10905796289444,0.17642257748526358,353500.0,36.174173990730196,0.2487137907337556,0.7845350911276654
256,p4_arch_256,18434,3.143911742707058e-05,2.9115744809379053e-05,75.83764474008376,11.696374927577065,0.001558370122353128,0.000902171009152357,4.266969696969697,0.5846650678003337,0.99,100.0,1.77,100.0,2.61,98.98989898989899,3.555,78.78787878787878,294451200.0,42.79937199316919,0.03865639828986718,353500.0,27.413964038714767,0.04435578279243687,0.6405225768987932
64+16,p4_arch_64_16,5554,1.9253616445451515e-05,2.1803212559770276e-05,67.17787632421779,13.503101532028321,0.0016811338369061013,0.0008750631506215296,4.651818181818182,0.4324311439002469,1.77,100.0,2.22,100.0,2.88,100.0,3.66,95.95959595959596,88646400.0,42.33145102625713,0.10146390431245739,353500.0,27.515245019458234,1.903997325174318,0.6499953191396918
128+32,p4_arch_128_32,13154,1.963421667513112e-05,2.4580399211175854e-05,63.254496181325436,17.836890754323232,0.0008691151135297338,0.0005225305930872622,4.117878787878788,0.8939349768766066,1.83,100.0,2.2800000000000002,100.0,3.48,61.61616161616162,3.7800000000000002,33.333333333333336,210470400.0,49.40850398270413,0.2585710866934077,353500.0,36.50614101206884,0.18684222531300593,0.7388635167915248
256+16,p4_arch_256_16,22066,1.6737357762385468e-05,2.352060267894489e-05,61.46834195614684,17.46950424469192,0.0009563928859486141,0.0005919289720725736,4.594545454545456,0.4879710057773299,2.04,100.0,2.52,100.0,3.285,90.9090909090909,3.81,39.39393939393939,353030400.0,44.70928502269089,0.17018686373863673,353500.0,27.42893702816218,2.5855533780842226,0.613495317901895
128+64+16,p4_arch_128_64_16,18290,1.3977423849594347e-05,1.9102942002242785e-05,58.19783197831979,17.0130620661901,0.000754541667092242,0.0005069236139679571,4.5996969696969705,0.3665025928924349,1.8900000000000001,100.0,3.12,98.98989898989899,3.99,63.63636363636363,4.32,15.151515151515152,292896000.0,46.326653042342514,0.1216193720899703,353500.0,27.672086958773434,0.051881706385381476,0.5973254086255956
256+128+32,p4_arch_256_128_32,55010,1.079862846886994e-05,1.8909696199677594e-05,49.71051983247105,18.856456367898314,0.0006222296670941702,0.00044478796382358906,4.626363636363636,0.35105743449476984,2.61,100.0,3.465,88.88888888888889,4.44,57.57575757575758,4.904999999999999,14.141414141414142,884390400.0,57.06967896549031,0.18065774078293628,353500.0,36.45167901413515,0.10327017326842391,0.6387223421420902
512+256+64 (reference),p4_arch_512_256_64,183746,1.3584906626359676e-05,1.788378665715628e-05,59.928553830992854,16.701341267793914,0.0009175418993776938,0.000536904747236097,4.604848484848485,0.3400901949182342,2.19,100.0,2.58,100.0,3.93,100.0,4.62,27.272727272727273,2963174400.0,59.76676498539746,0.18194118664574618,353500.0,27.467039006296545,0.17219867369036912,0.45957044877713293
linear,p4_arch_ridge,140,0.0004601943236733543,0.0005783636479605963,84.56516383345652,7.768012404836706,1142.7600429188233,1230.3151095296996,4.950000000000001,8.881784197001252e-16,0.87,100.0,0.99,100.0,1.17,100.0,1.29,100.0,2235600.0,24.04416201170534,0.11522718347252812,353500.0,27.650318981613964,3.0101104324526307,1.1499805636042983
