traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,9.671456839363237e-06,0.00036432183425132506,3.66,40.853658536585364,0.6011619663342498,2249.590180564831,0.27,3.6,1.59,3.6,,
13,6.127399746867556e-06,0.0004963129615922234,4.32,21.341463414634145,-2.6898252918191,32819662.188026715,0.18,4.32,3.42,4.32,,
39,2.274726635758768e-05,0.0007313477844699701,3.9,54.8780487804878,-5.418337169449092,16877.023506037167,0.12,3.7800000000000002,1.47,3.7800000000000002,,
49,5.1923270585740325e-06,0.00018246549413985635,4.2,39.63414634146341,-2.38283007075688,,0.18,3.81,2.31,3.81,,
57,6.005366912596575e-05,0.0006535931265210427,4.5600000000000005,98.78048780487805,23.51014569494006,-78.71504376974572,0.06,0.18,0.12,0.18,4.41,
58,2.521034936659122e-06,0.0002827561456535462,4.65,30.48780487804878,-1.0829733702665882,,0.44999999999999996,,3.27,,,
104,1.4732449296603876e-05,0.00022343143907482452,4.17,33.53658536585366,-0.663273300167824,3376.214345272875,0.27,,2.7,,,
108,1.2435830937792562e-05,0.000877728265010526,4.32,61.58536585365854,0.6016073857390748,1399.3207091343386,0.54,2.85,1.95,2.85,4.14,
112,1.2557313583598597e-05,0.0003538985508414361,4.95,59.75609756097561,-16.802093811873704,17317.79158246214,0.48,3.5700000000000003,1.47,3.5700000000000003,4.14,
136,2.7929029177990532e-05,0.0004626813264326439,4.14,23.170731707317074,4.160024740146463,351.56546350982734,0.24,,1.35,,,
179,2.7763236217450577e-05,0.0007475295229513734,3.72,61.58536585365854,-1.5629870500018745,957304.9798879224,0.12,2.34,0.87,2.34,,
183,7.809053353757772e-06,0.0003039476507883201,4.0200000000000005,60.36585365853659,-11.14431255145794,784450.3050307662,0.27,2.46,1.95,2.46,4.38,
189,6.849731601428918e-05,0.001239434683358184,4.65,94.51219512195122,13.902560658843957,-39.091138079202864,0.06,1.3800000000000001,0.21,1.3800000000000001,4.83,
194,4.8733973885569766e-05,0.0006161091891862449,0.39,23.78048780487805,5.274252947801438,244.84234948970763,0.12,,0.39,,,
195,1.4355705105912311e-05,0.0004124839080381113,3.27,51.829268292682926,13.114873109236406,577.4786784874791,0.48,2.67,2.4,2.67,2.7600000000000002,2.94
196,1.550528579379886e-05,0.0012821500869740956,4.95,35.36585365853659,6.725307409356952,592.9832554745129,0.48,3.12,2.97,3.12,3.06,
197,1.3291943972148855e-05,0.0006498909758741525,3.33,26.829268292682926,7.283688841349923,1335.7104546656976,0.42,,3.06,,,
208,4.764656699233481e-05,0.0010112428037972825,4.59,96.95121951219512,-18.08316476914174,-88.05940976898532,0.06,0.21,0.18,0.21,,
217,1.66168547686559e-05,0.0002476784625636854,3.66,58.53658536585366,0.2647665567839156,83.15584994234477,0.15,0.33,0.33,0.33,,
225,2.4313056490447268e-05,0.00040900088526308557,0.39,37.19512195121951,2.533242930302852,251.68430001110096,0.24,,0.39,,,
229,0.00012191704828063515,0.0017766042916292871,3.24,96.34146341463415,18.915490165169903,-33.752716800234545,0.06,0.15,0.15,0.15,,
258,1.486597647293269e-05,0.0004405515325523045,3.81,39.63414634146341,-1.374445560793668,9731656.629130725,0.18,3.7800000000000002,0.99,3.7800000000000002,,
322,1.5450114760918948e-05,0.0004987127790288569,3.87,39.63414634146341,-0.5618135949548656,29923545.630712528,0.18,3.84,1.05,3.84,,
389,5.4475840546846816e-05,0.0007067622694186871,0.33,43.292682926829265,3.8762039136739035,123.0174009211694,0.15,0.33,0.33,0.33,,
426,8.630862081375269e-05,0.002094286855016245,4.68,95.1219512195122,2.685164933694377,-22.64888894572046,0.06,0.39,0.27,0.39,,
447,2.8562593471790973e-05,0.001177907837113655,4.7700000000000005,37.80487804878049,4.3351415305833,377.80255069929103,0.6,4.41,2.52,4.41,3.0,
