traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
9,9.150476787989069e-05,0.0007883657020839553,3.84,78.04878048780488,3.605174833901147,310.7300703724749,0.32999999999999996,1.68,0.9,1.68,,
11,8.466055299565408e-06,0.00032002164469611944,4.32,73.78048780487805,-13.53730406123806,12365982.289875563,0.36,1.95,1.35,1.95,1.8900000000000001,3.33
24,0.00011952636191796158,0.0012901284305159213,4.7700000000000005,69.51219512195122,-0.5745911757554855,120.05851766028223,0.36,4.0200000000000005,1.1400000000000001,4.0200000000000005,4.32,
32,2.640566676587796e-05,0.0008970302147017694,4.0200000000000005,66.46341463414635,-4.466061848869499,18883188.59491284,0.44999999999999996,3.45,0.99,3.45,3.5100000000000002,3.87
35,6.22254269010038e-05,0.0013265805183795528,4.44,35.97560975609756,-0.6712330572736189,1128.6241831552738,0.42,4.0200000000000005,1.8900000000000001,4.0200000000000005,4.08,
51,6.619201823439493e-05,0.0009990592215550242,4.5,89.63414634146342,0.810376072798828,-36.437606952344225,0.15,1.08,0.21,1.08,1.62,
52,1.6960354651379435e-05,0.0013619720622588577,4.89,57.31707317073171,-2.839105307552047,15330715.029474583,0.24,2.5500000000000003,2.1,2.5500000000000003,2.58,
142,0.00010428032896814737,0.0011861474798907255,3.5100000000000002,70.1219512195122,-2.683458259769676,212.00383385559866,0.27,2.07,1.5,2.07,3.63,
143,3.889233743363691e-05,0.0014232274725638754,4.74,82.3170731707317,-5.600309217834365,-30.770278583042547,0.06,1.71,0.39,1.71,,
211,9.002115960568189e-05,0.0016265254798945245,3.63,71.34146341463415,7.291497048040299,159.2667560655831,0.3,2.22,0.45,2.22,2.91,
275,1.710721320434081e-05,0.00043742228747679836,4.83,71.34146341463415,6.0215839159278495e-05,3528301.5686782817,0.24,2.04,1.47,2.04,2.13,
361,1.506444050055275e-05,0.0009084833470184507,4.92,67.07317073170732,-1.9857216640863333,334394117.84537756,0.42,2.13,1.59,2.13,2.19,4.89
369,5.10271423133746e-05,0.00170031789252054,4.74,59.75609756097561,3.8166647595862075,2204.5277134743505,0.36,3.27,0.81,3.27,4.3500000000000005,
390,2.5659533996326368e-05,0.0006335328476977321,4.95,69.51219512195122,8.816483251338886,11531.667150063817,0.51,1.95,1.56,1.95,1.83,3.39
407,5.764650134622042e-05,0.0010511536339774816,4.89,81.70731707317073,0.0017724763047310874,7319.620435554842,0.51,1.47,0.96,1.47,1.68,4.41
408,8.232801656252833e-05,0.0013223235865723573,4.62,87.1951219512195,9.477460744880783,542.6581736111633,0.51,1.26,0.66,1.26,1.53,3.39
426,0.00011575636518488975,0.0014317375347530294,4.7700000000000005,87.8048780487805,9.08351897366344,2.851142589523387,0.15,0.21,0.21,0.21,4.2,
441,0.00010639119344082372,0.001313825467240404,4.5,95.1219512195122,11.017122882135942,-14.287791911428139,0.09,0.63,0.21,0.63,4.5,
449,6.412732790336321e-05,0.0012635912545723793,3.99,64.02439024390245,6.805633596017357,875.4949941227501,0.42,3.63,1.5,3.63,3.81,
451,2.9495097878211464e-05,0.0009827603870134344,4.83,78.04878048780488,1.0804502127735063,27.38167382134503,0.09,1.74,0.33,1.74,,
455,8.991963030610073e-05,0.001504141376911944,3.66,73.17073170731707,6.953343960000933,176.07679017970997,0.32999999999999996,2.25,0.45,2.25,2.88,
458,0.0001057513732267087,0.0017026772688776837,3.42,81.70731707317073,9.912994687773054,21.71771091715917,0.18,0.33,0.33,0.33,3.96,
467,2.4362659496213684e-05,0.0005699503712517933,4.95,43.292682926829265,0.0,1121.6624573518309,0.39,3.63,2.43,3.63,4.86,
491,4.8537848021321126e-05,0.00129171683865968,3.45,73.78048780487805,-4.160332741112633,901.211754171303,0.48,0.81,0.81,0.81,3.24,
499,9.034411329774729e-06,0.0003021396312079637,3.75,73.78048780487805,-2.500830262647708,8855923.156306125,0.27,1.95,1.17,1.95,3.0300000000000002,
544,0.0002118304362177609,0.0019931608591861184,4.95,98.17073170731707,6.562646100734971,51.52827111583956,0.3,1.26,0.15,1.26,3.0,
563,1.9498040557453512e-05,0.0005562943152105737,4.5,65.85365853658537,-0.531406600411852,74684.50663740517,0.36,2.4,1.62,2.4,4.38,
612,2.0215569344561404e-05,0.0005327529104447879,3.18,87.1951219512195,-24.760581997835235,959.6676289183698,0.57,1.11,0.21,1.11,1.41,2.37
621,2.774364256981519e-05,0.0025312960707015372,4.95,34.75609756097561,3.2845158991440773,3086.7373225580727,0.39,4.41,2.04,4.41,4.38,4.59
632,0.0001931784953548564,0.0034496764351447315,4.53,98.17073170731707,23.98429313244436,-50.792891339593936,0.09,0.39,0.15,0.39,4.5,
654,7.176688116283956e-05,0.0012269933856977936,4.65,92.07317073170732,11.497998117397175,-22.151671010876044,0.09,0.21,0.21,0.21,,
692,2.1775107766263545e-05,0.0002665534722805753,3.75,90.85365853658537,-17.273425440491028,3589.0172923786386,0.57,0.5700000000000001,0.51,0.5700000000000001,1.1400000000000001,1.56
700,1.8704260160822873e-05,0.0007203910932523097,3.12,53.048780487804876,-1.6840962285884045,3854.396162391063,0.32999999999999996,2.7,2.37,2.7,2.73,
704,3.745014008313368e-05,0.0007542248452051337,4.32,43.292682926829265,0.41663781826764196,806.3387157117442,0.69,3.48,2.49,3.48,3.72,
737,9.826696934225781e-05,0.0014311585379481809,4.74,57.926829268292686,1.2736350312060696,400.31381858319565,0.48,3.87,1.68,3.87,3.96,
762,4.8953859991975355e-05,0.0014471684311990916,4.92,59.146341463414636,3.047697350134215,2252.6733323634053,0.44999999999999996,2.85,0.81,2.85,2.94,3.21
776,1.0162365961166588e-05,0.00047934655120736465,3.6,64.63414634146342,0.7889655860379046,1702.7097179323825,0.51,1.53,1.53,1.53,2.46,2.79
781,2.4885084606533855e-05,0.0009469574996611952,4.92,49.390243902439025,1.2403068833108986,1542.042823785897,0.44999999999999996,3.15,2.4,3.15,4.32,
794,0.0001313495887633242,0.0016931246980992718,4.89,78.04878048780488,4.335125951776303,127.8949970780395,0.24,2.0100000000000002,1.1400000000000001,2.0100000000000002,3.27,
796,7.105604227245408e-05,0.002021018005763497,4.92,78.65853658536585,0.26403658710193734,194.5633514753319,0.44999999999999996,0.63,0.63,0.63,3.0,
825,7.753553351573858e-05,0.0015322366063850994,4.32,64.02439024390245,1.6260822529077563,256.3382144847371,0.57,3.81,1.53,3.81,3.9,4.3500000000000005
842,7.741526321939138e-05,0.0016813294982292691,4.95,68.90243902439025,3.402611879914671,640.1063743705005,0.48,1.68,1.44,1.68,1.62,
