traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.0317157542661416e-05,0.0006911705168864105,4.29,60.36585365853659,-8.49414968166075,2590.118125090075,0.3,2.64,1.83,2.64,2.82,
13,1.3181322104194182e-05,0.0009655783963795099,3.75,66.46341463414635,-16.182163677664917,42483147.51277377,0.54,2.49,1.59,2.49,2.43,3.7800000000000002
39,3.3215814511353465e-05,0.0014811612900044176,3.75,69.51219512195122,-9.332436770719447,17153.61002177059,0.15,2.13,1.23,2.13,3.45,
49,8.076134651760447e-06,0.0007014108319368295,4.05,69.51219512195122,-23.507648654014055,,0.32999999999999996,1.6500000000000001,1.35,1.6500000000000001,2.07,4.62
57,6.694772637559237e-05,0.0005627374727202622,4.41,98.78048780487805,8.658626304980473,-85.19717637081804,0.09,0.15,0.12,0.15,2.5500000000000003,
58,3.43597303563525e-06,0.0007298911012998551,4.3500000000000005,35.36585365853659,-19.391221847238043,,0.3,3.87,1.95,3.87,4.08,
104,6.348464627399174e-06,0.00031134006533591746,4.14,32.926829268292686,-1.2760551290055602,6203.772013441995,0.6,3.69,2.67,3.69,3.93,
108,1.4336557661473712e-05,0.0012067427627360677,4.05,66.46341463414635,-6.09490779996736,2270.754589939244,0.48,2.22,1.62,2.22,2.79,
112,2.672097320273005e-05,0.0006835051323885867,4.05,77.4390243902439,-30.91956413980175,16933.657625602624,0.36,1.41,0.51,1.41,2.64,3.12
136,2.7073777590044674e-05,0.0011872407850744445,4.59,48.170731707317074,-0.7710931286225943,352.8437351142993,0.51,3.33,1.35,3.33,3.84,
179,3.5531077809881736e-05,0.0012304875760117818,4.95,73.78048780487805,-1.7899773193504902,488839.16067089065,0.15,1.92,1.29,1.92,,
183,1.6211252679890918e-05,0.0006732860590006975,3.93,72.5609756097561,-33.060470042019624,602483.4864195761,0.42,1.77,1.32,1.77,2.94,3.18
189,9.217311163785227e-05,0.001335468108367046,4.5,94.51219512195122,26.220150394370442,-47.280008168475426,0.06,0.81,0.27,0.81,3.66,
194,6.719935905091277e-05,0.001618371647486132,3.5700000000000003,71.34146341463415,3.9735443161821213,199.81814203749084,0.3,3.36,0.39,3.36,3.81,
