traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,0.00020625917297709015,0.0008028393612426045,0.84,92.5,-4.1117489873837645,-22.067105220093428,0.24,0.6,0.6,0.6,2.16,
13,9.921910910417922e-05,0.0005143500932816188,3.96,40.0,1.2830969501060325,859.7042993894441,0.6,3.96,1.8,3.96,,
39,0.0002446089635642427,0.00118146961887049,3.96,92.5,-8.050868753520895,-30.920736565214,0.24,0.84,0.6,0.84,2.88,
49,6.292842847467972e-05,0.0002878213535791284,4.44,77.5,3.7343761618828704,47.40825491907868,0.24,2.4,0.84,2.4,4.32,
57,0.00011898305243790091,0.0009709819449972534,4.5600000000000005,95.0,4.178450555851027,-72.34078203471054,0.12,0.48,0.48,0.48,1.32,3.48
58,4.696403285471321e-05,0.0002548307910379224,2.7600000000000002,25.0,0.29578932193011237,1035.9662349461146,0.36,,2.4,,,
104,7.696157315009269e-05,0.0003077637114717064,4.68,60.0,-2.3644307029773453,66.38064096473452,0.36,3.12,1.92,3.12,4.68,
108,0.00033549034544862806,0.0016180326603547723,4.92,92.5,0.6902219502809365,-48.734877056975634,0.24,0.6,0.6,0.6,2.64,4.5600000000000005
112,0.00011164819031839997,0.0005162334260864099,3.96,92.5,-1.6925908054017647,-28.47303865707066,0.24,0.84,0.6,0.84,3.24,
136,0.00021989879477374963,0.0010591200376256892,0.84,92.5,-5.298003735351205,-22.876856855637598,0.24,0.6,0.6,0.6,2.7600000000000002,
179,0.0003803824814936246,0.001848483643485034,3.72,92.5,0.894630180846217,-50.32692805534013,0.24,0.6,0.6,0.6,2.64,4.5600000000000005
183,7.153350269371984e-05,0.0003483738048111172,3.96,67.5,1.5177587864638864,52.92366955042515,0.24,2.52,0.84,2.52,4.32,
189,0.0001884149185031483,0.0015670369178239505,4.5600000000000005,95.0,4.796728524258163,-80.15014893465033,0.12,0.48,0.48,0.48,2.04,
194,0.00036907837971097887,0.003173295793203579,0.84,95.0,-34.93651536783764,-64.82736058906441,0.12,0.6,0.48,0.6,0.84,
195,2.4508218612109064e-05,0.00015198463473828567,4.92,72.5,-19.09996804976367,151.4693519564961,0.24,1.8,1.08,1.8,2.52,
196,5.527032919420566e-05,0.00024091418537981095,4.68,32.5,-0.03112741995360543,516.560811394673,0.36,,1.56,,,
197,5.9445663952205414e-05,0.00026186614391550053,3.84,30.0,0.5464290365020605,674.4921881679754,0.36,,1.56,,,
208,0.0001623278421544725,0.0010209066641289528,4.5600000000000005,95.0,4.609978502972392,-74.39562514440638,0.12,0.48,0.48,0.48,2.04,
217,0.00010319445217777254,0.0005652766572893596,0.6,95.0,-53.28996721777665,-52.054226714423955,0.12,0.48,0.48,0.48,1.2,
225,0.00020396408487920458,0.0021072363526218395,0.84,95.0,-44.73620987892588,-65.23224176077946,0.12,0.6,0.48,0.6,0.84,
229,0.00041259530054995697,0.003183507474542518,4.5600000000000005,95.0,1.3074890418826226,-80.37381186158058,0.12,0.48,0.48,0.48,1.44,
