traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.3923864132776816e-05,0.0006320078228236195,4.86,50.920245398773005,-13.407778978258632,9735477.21892105,0.32999999999999996,3.96,2.22,3.96,4.11,
13,1.5359435742489272e-06,0.0010040252435250222,4.92,41.717791411042946,-7.661725724504286,,0.3,4.47,2.7600000000000002,4.47,4.47,
39,1.5533715061509233e-05,0.0007936891708487971,4.29,49.693251533742334,-10.579424706070714,42877817.63541919,0.39,4.08,2.22,4.08,4.2,
49,3.04560302963228e-06,0.00023316011175930932,4.47,37.423312883435585,-13.525596892285924,,0.32999999999999996,4.29,2.49,4.29,4.44,
57,3.871938661915985e-05,0.0008472193808121347,4.5600000000000005,97.54601226993866,-59.092103976819566,-85.95813813287184,0.06,0.21,0.15,0.21,3.96,
58,8.31018621538911e-07,0.0004403108120702964,4.92,39.877300613496935,-8.331335637564427,,0.3,4.86,3.0,4.86,,
104,1.7134518384493097e-06,0.0005774925692318441,4.92,30.061349693251532,-20.52840319068579,,0.3,4.59,3.18,4.59,4.62,4.89
108,2.9837366434700036e-05,0.0008731789183043159,4.86,52.760736196319016,-11.25038740664927,809536.0020684544,0.36,3.87,0.96,3.87,4.0200000000000005,
112,6.821366078741349e-06,0.00038865606853990685,4.2,46.625766871165645,-12.914215617906255,89632616.5999918,0.32999999999999996,4.08,2.58,4.08,4.26,
136,1.4166357645262895e-05,0.0006481306624649039,4.86,53.374233128834355,-10.48371064856411,5316915.0823641615,0.32999999999999996,3.96,2.13,3.96,,
179,3.1072851188393854e-05,0.000933725153233264,4.86,53.374233128834355,-11.92809294858102,724578.224211596,0.36,3.84,1.98,3.84,3.99,
183,2.6407673283907145e-06,0.00037657150253311063,4.5600000000000005,39.263803680981596,-16.603104422986412,2976464742.424387,0.3,4.29,2.49,4.29,4.38,
189,5.998796387692244e-05,0.0012882651269017702,4.5600000000000005,97.54601226993866,-22.027717304553285,-86.12459604806818,0.06,0.24,0.15,0.24,,
194,2.674688806991034e-05,0.0008545139801849773,4.7700000000000005,61.34969325153374,-9.626268671222975,97600.22265760033,0.24,2.34,1.71,2.34,,
195,8.903138849416285e-07,0.00016598660583209838,4.53,44.785276073619634,-19.00682483022698,,0.21,3.5700000000000003,2.64,3.5700000000000003,4.44,
196,1.432943804254186e-06,0.0005472317973234837,4.92,29.447852760736197,-8.74159042078004,,0.32999999999999996,4.8,3.0300000000000002,4.8,,
197,1.399824248588444e-06,0.0006117806396503003,4.92,36.19631901840491,-7.832852718405136,,0.24,4.47,2.94,4.47,4.89,
208,4.3161419330318836e-05,0.0011534274500777718,4.59,95.0920245398773,-20.98653062841369,-86.74254258954969,0.06,0.24,0.24,0.24,4.8,
217,8.326109196420245e-06,0.00030491516045237475,4.89,78.52760736196319,-2.5761071490208134,4692.07259853846,0.12,1.8,0.6,1.8,,
225,1.4465363348236708e-05,0.000523775445370659,4.7700000000000005,66.25766871165644,-7.468380380599168,64464.47042849248,0.18,2.13,1.62,2.13,,
229,0.00012825407566600854,0.0024459018410905816,4.5600000000000005,97.54601226993866,7.784633672621835,-85.45007849876171,0.06,0.21,0.15,0.21,,
258,1.473797437529412e-05,0.0006981621306388153,4.7700000000000005,53.987730061349694,-10.385402551491795,4675184.648744837,0.32999999999999996,3.96,2.13,3.96,,
322,1.52908051473061e-05,0.0008687499801469309,4.2,50.920245398773005,-12.83054324047562,19120299.430661418,0.36,4.0200000000000005,2.22,4.0200000000000005,4.14,
389,2.9048792161455397e-05,0.0010173442074722413,4.89,72.39263803680981,-1.6766869345192523,5741.663812267992,0.12,2.0100000000000002,1.35,2.0100000000000002,,
426,0.00010980316831615987,0.0025851329735230274,4.68,92.63803680981596,-0.0656181165720746,-33.95694150814932,0.06,0.33,0.33,0.33,,
447,4.322974237743644e-06,0.0007923494244187748,4.62,37.423312883435585,-17.41891815847845,4289005260.667261,0.3,4.29,2.49,4.29,4.41,
464,8.341887723378291e-07,0.00047701386844973106,4.92,39.877300613496935,-7.482472000941471,,0.39,4.5600000000000005,2.94,4.5600000000000005,4.7700000000000005,
477,2.0939910492442333e-06,0.001069794432581062,4.83,35.58282208588957,-8.157602631949192,,0.27,4.65,2.94,4.65,4.74,
573,5.999383068467972e-06,0.00018996502225091406,4.8,55.214723926380366,-5.6532442648518435,1236416.5828528637,0.24,3.9,1.98,3.9,,
605,1.2170179415473202e-06,0.0003429388923813844,4.92,36.19631901840491,-24.80629644696459,,0.24,4.44,3.18,4.44,4.5600000000000005,4.74
609,1.1446182506080468e-06,0.0007814551024670621,4.92,39.877300613496935,-7.786198683429351,,0.27,4.5600000000000005,2.94,4.5600000000000005,4.89,
623,9.269527289175061e-07,0.00039101282226451563,4.92,30.061349693251532,-15.599960616808866,,0.27,4.71,3.27,4.71,4.71,
687,5.360830061756178e-06,0.0006227753871489777,4.53,36.19631901840491,-15.455483165519977,1835698073.8386207,0.3,4.29,2.85,4.29,4.41,
698,1.422634918803874e-05,0.00039416007866603306,4.74,94.47852760736197,0.4043872288903625,40.71944993099798,0.09,0.99,0.3,0.99,4.32,
709,8.499413752280182e-07,0.0005508402780141808,4.92,41.717791411042946,-7.890464438563653,,0.36,4.53,2.85,4.53,,
711,3.0295554295845653e-05,0.0010994236480990416,4.83,79.14110429447852,-6.1502126182684735,949.2003145449787,0.09,1.71,0.51,1.71,,
745,9.00773225254463e-06,0.0005910577144994885,4.29,46.625766871165645,-14.844290150488403,134181326.0400648,0.3,4.08,2.31,4.08,4.26,
770,8.922869541758408e-07,0.0003005075041549088,4.92,40.49079754601227,-6.190919536431139,,0.42,4.62,2.82,4.62,4.7700000000000005,
815,2.079338434392468e-06,0.0007545367176534949,4.7700000000000005,33.12883435582822,-13.50551225731233,,0.3,4.62,3.21,4.62,4.8,
824,1.2063494363315163e-05,0.0006660006188906752,4.23,50.306748466257666,-12.788346244797577,31868812.32064742,0.36,4.0200000000000005,2.22,4.0200000000000005,4.17,
860,0.0001117860143976544,0.002763517522226376,4.65,93.25153374233129,-14.519449716834727,-62.42226028104713,0.06,0.33,0.24,0.33,,
871,2.0745624213638807e-06,0.0007399323532703461,4.7700000000000005,33.12883435582822,-13.345611076781946,,0.3,4.62,3.21,4.62,4.8,
876,3.2618302918726313e-06,0.00012152381294252559,4.05,38.65030674846626,-6.987322281506015,8976052.666104024,0.44999999999999996,3.93,2.22,3.93,,
891,3.118450329496938e-06,0.000924147980467924,4.65,38.65030674846626,-18.852063901664142,8352689504.446939,0.3,4.32,2.58,4.32,4.44,
899,3.004098587989084e-06,8.916488334403331e-05,2.67,71.16564417177914,-7.479365513093509,,0.21,2.67,1.32,2.67,,
910,1.2985554296920055e-05,0.0003583999008880765,3.81,66.87116564417178,-3.3756730939098363,44949.7600056497,0.15,2.13,1.47,2.13,,
944,4.160626026102771e-05,0.0015437151505275127,4.7700000000000005,80.3680981595092,-2.624882390605861,130.13553171247932,0.09,1.62,0.33,1.62,,
957,1.5116819272861462e-06,0.0007926542157808527,4.92,38.03680981595092,-8.02064869519828,,0.3,4.44,2.94,4.44,4.92,
961,5.851662495385604e-05,0.0015597773880864482,4.65,93.86503067484662,-12.626393395536617,-67.33976249211135,0.06,0.33,0.24,0.33,,
965,9.376146915626098e-06,0.0005917298106792443,4.38,44.785276073619634,-11.955491196107415,195474290.5436274,0.32999999999999996,4.14,2.31,4.14,,
971,1.3236675293515576e-06,0.00019068901853702388,4.65,38.03680981595092,-18.447892309755144,,0.32999999999999996,4.32,2.91,4.32,4.41,
991,2.9761967217467682e-06,0.000864189535948405,4.7700000000000005,35.58282208588957,-18.718726325410366,,0.27,4.44,3.09,4.44,4.53,
1030,1.001157000790764e-05,0.00032910059079314377,4.92,78.52760736196319,-3.432016728031856,9625.01376336702,0.12,1.83,1.08,1.83,,
1047,1.8903920228378077e-06,0.00013205797758839835,4.47,36.809815950920246,-12.053687541811263,,0.32999999999999996,4.32,2.85,4.32,4.47,
