traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,2.1371253474343426e-05,0.0009054643648061414,4.98,66.66666666666667,-0.14408153266659507,16691320.74908101,0.15,2.1,1.62,2.1,,
13,3.0950435033329487e-06,0.0015334229952895036,4.38,54.54545454545455,1.258003427936258,,0.63,2.91,2.16,2.91,3.48,3.66
39,3.124359082575936e-05,0.001184738812863008,4.98,69.6969696969697,0.7440373952585109,45085352.73717652,0.21,2.0100000000000002,1.5,2.0100000000000002,3.5100000000000002,
49,5.881789839834483e-06,0.0005482863693315751,3.99,64.24242424242425,0.51809661881759,,0.21,3.33,1.44,3.33,3.42,4.5
57,4.7697681825258987e-05,0.0009608503468323939,4.5600000000000005,97.57575757575758,-36.917028673972354,-99.99999678683652,0.06,0.18,0.18,0.18,2.13,
58,2.9532137369787176e-06,0.001193149400257914,4.74,49.696969696969695,0.8693577917938291,,0.63,3.0,2.4,3.0,3.72,4.08
104,4.900426384150561e-06,0.0008030716500661874,4.3500000000000005,47.878787878787875,-1.071883192912168,,0.3,2.46,1.95,2.46,4.08,4.32
108,4.412267233262882e-05,0.001545353828083144,4.92,74.54545454545455,0.6205541794442968,1659482.323239161,0.12,2.0100000000000002,1.26,2.0100000000000002,4.11,
112,1.0870899486245474e-05,0.0004587659503338076,4.98,61.81818181818182,-0.8113073927164479,62465113.71353933,0.24,2.16,1.8,2.16,4.41,
136,2.7231694602823607e-05,0.0010504197510030717,4.98,70.9090909090909,0.16795206252592243,10390394.75548879,0.15,2.07,1.44,2.07,4.95,
179,5.325694106588154e-05,0.0017808298765838878,4.92,76.36363636363636,0.7175664761754047,1446001.9716435103,0.12,1.8900000000000001,1.2,1.8900000000000001,4.0200000000000005,
183,6.275558218739001e-06,0.00048192377290375926,4.0200000000000005,60.0,-2.281543604060877,,0.21,3.81,1.44,3.81,3.9,
189,8.033959845712471e-05,0.001389986484109563,4.5600000000000005,97.57575757575758,-22.60265788007486,-95.94718903736445,0.06,0.18,0.18,0.18,2.67,
194,4.684635725096617e-05,0.0014846624428084725,4.86,75.15151515151516,0.2771193429322069,168015.74003032997,0.12,1.92,1.23,1.92,4.8,
195,3.359998006262837e-06,0.0005781500837283867,4.98,64.24242424242425,-7.073276452444546,,0.32999999999999996,2.07,1.83,2.07,2.46,3.21
196,3.2398864556340946e-06,0.0010802858327697215,4.59,49.696969696969695,0.6337084601464286,,0.72,3.5100000000000002,2.4,3.5100000000000002,3.5100000000000002,3.87
197,3.133907374550866e-06,0.001124339395354318,4.65,50.90909090909091,0.8469560642138138,,0.72,3.69,2.34,3.69,3.54,3.93
208,6.702821429085062e-05,0.0013504461124889814,4.47,95.15151515151516,-9.952788993898645,-96.96577419599409,0.06,0.18,0.18,0.18,2.37,
217,1.460488914161446e-05,0.000570596821598493,4.95,81.81818181818181,-3.550231582255637,3075.4729158269943,0.12,1.44,0.96,1.44,2.37,
225,1.8396555751300944e-05,0.0007627151868999603,4.83,72.12121212121212,-1.2886156119583623,203399.0202168848,0.12,1.95,1.35,1.95,,
229,0.0001615416275867531,0.00280357408662645,4.5600000000000005,97.57575757575758,-2.118565763213334,-94.27342851649207,0.06,0.18,0.18,0.18,3.27,
258,3.1291740368256884e-05,0.00117994311287596,4.98,70.9090909090909,0.35971451355875966,9180449.739923757,0.15,2.07,1.41,2.07,4.32,
322,3.7971802269000886e-05,0.0012880273482539792,4.98,75.15151515151516,0.6727450327412459,27313656.52675271,0.18,1.8,1.26,1.8,4.17,
389,5.51434992684789e-05,0.0014551561809061963,4.74,81.81818181818181,1.1026750774408314,2579.1141100716295,0.09,1.6500000000000001,0.93,1.6500000000000001,4.71,
426,0.00016261727312258343,0.003377463085552597,4.68,95.15151515151516,5.64540752678949,-70.45263732781568,0.06,0.3,0.3,0.3,3.27,
447,1.468459716763418e-05,0.000886924262376923,3.93,69.6969696969697,0.29352390341319934,2615697976.1355863,0.21,2.13,1.44,2.13,2.82,
464,3.0665345087378208e-06,0.0011015121453375033,4.59,50.90909090909091,0.8077583269271956,,0.57,2.91,2.34,2.91,3.66,3.93
477,3.913052861905666e-06,0.0015585879993952768,4.26,58.78787878787879,0.7300480253855703,,0.57,2.7600000000000002,2.04,2.7600000000000002,3.27,3.48
573,1.1316100119152389e-05,0.0004247701510548792,4.92,74.54545454545455,-1.1972451541054538,1485082.4311984736,0.15,2.0100000000000002,1.26,2.0100000000000002,3.42,
605,4.131159234435828e-06,0.0007780176123350994,4.26,60.0,1.0805551544746597,,0.39,2.58,1.74,2.58,3.39,3.66
609,3.0439683216073452e-06,0.0011272043655503328,4.41,53.93939393939394,1.0387250713506297,,0.69,2.97,2.2800000000000002,2.97,3.54,3.84
623,3.685447220721715e-06,0.0009371384837856152,4.41,50.303030303030305,0.7797395113713878,,0.51,2.79,2.34,2.79,3.63,3.96
687,1.4312469709673293e-05,0.0007142626874764831,3.87,72.12121212121212,0.9700924133693182,1236300807.619794,0.21,2.31,1.3800000000000001,2.31,3.72,
698,2.872798877450127e-05,0.0006706357079926564,4.8,93.33333333333333,-5.22537731981607,-99.99967972433622,0.12,0.48,0.3,0.48,2.07,3.36
709,2.909278171425546e-06,0.00113766453983097,4.7700000000000005,49.09090909090909,0.8615745416946695,,0.6599999999999999,3.0300000000000002,2.4,3.0300000000000002,3.66,3.96
711,4.969433704457945e-05,0.0014124308169329682,4.86,82.42424242424242,0.299490781660656,372.8884901334945,0.09,1.47,0.42,1.47,4.14,
745,1.5111759208982887e-05,0.0005625815674788074,4.98,61.21212121212121,0.2886415160885357,97400956.5876279,0.21,2.19,1.86,2.19,4.5600000000000005,
