traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.4465022437438693e-05,0.00031171947912922893,3.66,22.699386503067483,-3.2577184060274043,19898359.64408198,0.12,,2.4,,,
13,2.8595967727005516e-06,0.0006419715568009004,4.26,37.423312883435585,-2.511906331085449,,0.21,3.21,3.09,3.21,,
39,1.8801784493291155e-05,0.00047804843776502303,3.63,41.717791411042946,-2.1633263726221363,61618542.799343996,0.21,3.5700000000000003,2.64,3.5700000000000003,,
49,4.825373561870912e-06,0.0002394698636304345,4.38,41.104294478527606,-10.394076771229185,,0.42,3.0,1.32,3.0,4.3500000000000005,
57,4.6232404546861065e-05,0.0012247619078968163,0.24,97.54601226993866,-104.56847047578322,-71.58937986378649,0.06,0.21,0.15,0.21,3.21,
58,3.1743830153928466e-06,0.0005246557869084516,4.92,37.423312883435585,-0.2981616197235275,,0.42,3.66,3.12,3.66,4.92,
104,3.387931838774815e-06,0.0003047397169453537,4.92,36.809815950920246,-4.485693082751602,,0.18,4.89,2.67,4.89,,
108,2.3081221613633126e-05,0.0006386609539252327,4.89,52.147239263803684,-1.6049274336653883,490191.37599882553,0.15,3.42,1.56,3.42,,
112,9.712888925827227e-06,0.00024720516502827286,3.63,47.852760736196316,-2.9388084920567183,83977414.07283783,0.15,2.73,2.4,2.73,,
136,1.3353109396563083e-05,0.00031063309219966917,3.5700000000000003,19.01840490797546,-2.928579116171808,11368860.624000823,0.12,,2.5500000000000003,,,
179,2.9704975143092846e-05,0.0008381875804971631,4.89,60.736196319018404,-1.675228320960045,405674.96413780696,0.15,3.33,1.53,3.33,,
183,5.315804113256431e-06,0.0003175755318017764,4.89,46.012269938650306,-12.080870835589494,2540063744.6376452,0.32999999999999996,3.0,1.41,3.0,4.38,
189,5.795267695466315e-05,0.0014847397482058698,0.24,97.54601226993866,-68.8639550472051,-95.37674112141666,0.06,0.21,0.15,0.21,4.71,
194,2.183299975710336e-05,0.0006703019929613419,4.83,62.576687116564415,-1.7804128902208378,45999.53218949708,0.12,3.36,1.32,3.36,,
195,3.9386424387477995e-06,0.0003214675247016326,4.83,50.306748466257666,-7.123223433193152,,0.18,3.0,1.1400000000000001,3.0,3.12,4.8
196,2.778997221881995e-06,0.0005632211857161968,4.92,37.423312883435585,-4.578923114991601,,0.21,3.21,3.0300000000000002,3.21,4.92,
197,2.8286661217538216e-06,0.0003778412459805565,4.92,36.19631901840491,-2.370677845022594,,0.24,3.33,3.06,3.33,,
208,4.8438036999200917e-05,0.001053451025921053,4.59,96.93251533742331,-37.503870003593306,-88.88808525494727,0.06,0.24,0.21,0.24,,
217,1.1197017169607217e-05,0.00032323554721213027,3.72,79.14110429447852,-8.026188840237348,2665.167957286632,0.15,0.6,0.51,0.6,3.69,
225,1.996844334207132e-05,0.0004708290007985464,3.6,65.6441717791411,-3.9792175912866594,39636.350346486994,0.12,1.77,0.78,1.77,,
229,0.00011788408630351576,0.0022509296270245356,4.59,96.31901840490798,-14.382023802813897,-89.74192047715513,0.06,0.24,0.15,0.24,,
258,1.6538667591692864e-05,0.0003453691118449017,4.86,23.312883435582823,-4.088578568958414,9488790.648074966,0.15,,2.04,,,
322,2.1393486757751873e-05,0.0004902291487898659,2.73,44.785276073619634,-5.503495893774708,40337344.94092623,0.27,2.67,1.05,2.67,,
389,4.3289830514175815e-05,0.0005911137334645264,4.92,82.20858895705521,-5.413488248573103,3485.617834515349,0.09,0.6900000000000001,0.6,0.6900000000000001,,
426,0.00011119157875662078,0.0025491005843767648,4.68,93.25153374233129,1.9919997003899688,-53.09455861205559,0.06,0.33,0.33,0.33,,
447,9.093313976358956e-06,0.00034178315485499863,3.81,57.668711656441715,-3.694699149828567,3477632267.636285,0.21,,1.41,,,
464,3.0671601720272728e-06,0.0004787050857676168,4.89,30.67484662576687,-2.5082687565487007,,0.36,4.71,3.12,4.71,4.86,
477,3.1402034389409867e-06,0.0006049871214781176,3.24,41.104294478527606,-3.0972346539638003,,0.21,3.09,2.94,3.09,,
573,9.676842731106585e-06,0.0002163709264995596,3.54,77.30061349693251,-3.719477703157326,2442784.295571565,0.15,1.83,0.87,1.83,,
605,3.2172009664931237e-06,0.0002759953347323896,4.59,37.423312883435585,-11.813788530028647,,0.84,4.2,2.37,4.2,4.53,
609,2.880030166695266e-06,0.0004898672321906688,3.33,35.58282208588957,-3.7246503416695367,,0.24,3.21,3.09,3.21,,
623,2.9400144174924255e-06,0.0005568009797172358,4.92,33.12883435582822,-20.33808032982168,,0.18,3.48,2.94,3.48,4.65,4.92
687,1.0881596747236217e-05,0.0003150900801467903,4.47,33.74233128834356,-6.578390442616206,1633707230.8053358,0.18,,1.32,,,
698,1.9625182723962588e-05,0.00043041665480909235,3.33,94.47852760736197,-27.31838031584316,-58.81775053492262,0.09,0.33,0.3,0.33,2.79,
709,3.189027396692598e-06,0.0004627032728269022,4.47,36.19631901840491,-0.46683778756410726,,0.32999999999999996,4.14,2.85,4.14,4.08,
711,4.3232837251425066e-05,0.0007262760274500978,4.71,89.57055214723927,-11.476066728393448,688.684768488667,0.09,0.51,0.42,0.51,,
745,1.4452122987251076e-05,0.0003425193016575417,2.82,44.171779141104295,-6.687841530848351,128835769.14792489,0.27,2.7600000000000002,1.1400000000000001,2.7600000000000002,,
770,3.0646918300646153e-06,0.00038889687352242617,4.86,27.607361963190183,-1.1533410740551417,,0.39,4.47,3.24,4.47,4.68,
815,2.9860400461442477e-06,0.0005143704747859732,3.15,43.558282208588956,-7.304016078371916,,0.18,3.0300000000000002,2.82,3.0300000000000002,,
824,1.6465299854482755e-05,0.0003545759518035806,2.67,15.950920245398773,-3.9327843393497766,50886467.08961054,0.15,,2.58,,,
860,0.00011809992677280467,0.0026375485191158007,4.65,96.31901840490798,-10.338630447769532,-76.81870437211086,0.06,0.33,0.24,0.33,,
871,2.9210360681798624e-06,0.0005099509581080555,3.15,43.558282208588956,-7.6278554684471525,,0.18,3.0300000000000002,2.82,3.0300000000000002,,
876,5.4479223107304895e-06,0.0002064117343987782,3.84,67.48466257668711,-12.715987461785858,11885879.59461361,0.3,1.86,0.78,1.86,3.93,
891,7.267059059889054e-06,0.0006897438910946333,4.29,58.895705521472394,-6.307667655899527,7241946185.210684,0.15,2.79,1.5,2.79,,
899,3.913617706157634e-06,0.0002426156769423447,4.2,51.533742331288344,-28.342633334397657,,0.42,3.0,0.96,3.0,4.05,4.17
910,1.743497954995094e-05,0.00034708899779786187,3.84,74.23312883435582,-3.0064606348293244,37031.41347740707,0.12,1.74,0.6,1.74,,
944,5.2865839252607706e-05,0.0014184315669253946,4.8,82.20858895705521,-2.0605057176963992,52.53759357704218,0.09,1.47,0.33,1.47,,
957,2.8434324806549816e-06,0.0005724376776113345,3.3000000000000003,36.809815950920246,-1.4545057496078027,,0.27,3.18,3.06,3.18,,
961,6.612828449324126e-05,0.001451612932378515,4.65,95.0920245398773,-24.89944851907505,-81.13362707082214,0.06,0.3,0.3,0.3,,
965,1.566303431345518e-05,0.0003547140012742007,4.2,28.220858895705522,-7.65336383632565,210865581.64094332,0.48,,1.1400000000000001,,,
971,3.0954758346768484e-06,0.00019962337782042394,4.47,41.717791411042946,-13.809554673505458,,0.18,4.26,2.13,4.26,4.41,
991,4.460779153047095e-06,0.0005592643303933782,4.3500000000000005,46.625766871165645,-7.2192327954712665,,0.21,2.88,1.59,2.88,,
1030,8.593107920820784e-06,0.00031931213609363667,3.54,67.48466257668711,-9.242686938252621,7632.67544190617,0.12,1.86,0.6,1.86,,
1047,3.0183336973702653e-06,0.00026302592135116394,4.65,39.263803680981596,-15.675522751763268,,0.3,2.97,2.31,2.97,4.32,4.83
1072,1.8617617169678456e-05,0.00045588008279056507,3.84,88.95705521472392,-7.4163894104430295,23733.971611705136,0.18,1.83,0.51,1.83,3.75,
1082,4.260615282508027e-06,0.00020154423624726124,4.29,33.74233128834356,-12.479165623369221,,0.24,4.2,1.32,4.2,,
1085,2.9328300931965022e-06,0.0004892184901321515,4.92,31.901840490797547,-2.600858869005742,,0.3,4.74,3.09,4.74,4.86,
1087,2.550556253411027e-06,0.0005658804512136857,4.83,39.263803680981596,-18.7529976052326,,0.24,4.53,2.7600000000000002,4.53,4.59,4.8
1091,1.0056632545494633e-05,0.0002867085491082813,4.8,81.59509202453988,-12.429779400400125,7352.294716548929,0.12,0.51,0.42,0.51,3.81,
1110,3.1235656148149868e-06,0.0005131642456787926,4.47,37.423312883435585,-0.837790173907378,,0.32999999999999996,4.08,3.12,4.08,4.14,
1118,2.860099887574954e-06,0.0004143382637672964,4.92,35.58282208588957,-1.83059575684268,,0.3,4.29,3.12,4.29,,
1178,8.550348539525137e-06,0.00034475356933731855,3.06,49.079754601226995,-5.95949527283777,881559970.0069333,0.18,2.91,1.32,2.91,,
1186,4.542529912580603e-06,0.00026220532819010026,4.38,41.717791411042946,-12.03365571372099,,0.44999999999999996,3.0300000000000002,1.41,3.0300000000000002,4.29,
1192,7.139050876314425e-06,0.0002931774440164702,3.81,54.60122699386503,-4.701704577405416,2330231940.234994,0.15,,1.41,,,
1197,2.0982865937651967e-05,0.0005728996837344462,4.86,32.515337423312886,-3.279742104559656,6951423.101165594,0.24,4.3500000000000005,0.96,4.3500000000000005,,
1237,4.850165519971668e-06,0.00025375681465689885,2.82,56.441717791411044,-4.224819787214376,,0.15,,1.5,,,
